form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00648808,500035712,,,ORG,Alexandria Strategies,,,,,,301 Springfield Ave,,Hudson,IA,506439704,,,2024-10-01,7500.00,0.00,Fundraising Consultant,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035720,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-10-07,107.86,0.00,Google Apps,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035735,,,ORG,Paypal,,,,,,2211 N 1St St,,San Jose,CA,951312021,,,2024-10-07,0.70,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035722,,,ORG,"Printful, Inc.",,,,,,11025 Westlake Dr,,Charlotte,NC,282733782,,,2024-10-07,23.70,0.00,Fundraising Printing,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035719,,,ORG,SquareSpace,,,,,,225 Varick St,Fl 12,New York,NY,100144383,,,2024-10-07,15.26,0.00,Web Hosting,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035724,,,ORG,UnitedHealthcare,,,,,,9700 Health Care Ln,,Minnetonka,MN,553434522,,,2024-10-07,858.44,0.00,Health Insurance,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035725,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-08,51.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035726,,,ORG,Printify,,,,,,814 Mission St,,San Francisco,CA,941033018,,,2024-10-08,15.32,0.00,Fundraising Printing,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035728,,,ORG,Printify,,,,,,814 Mission St,,San Francisco,CA,941033018,,,2024-10-08,1.00,0.00,Printing Expenses,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035727,,,ORG,US Postal Service,,,,,,475 Lenfant Plz SW,,Washington,DC,202600004,,,2024-10-08,19.30,0.00,Postage,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035730,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-09,57.00,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035736,,,ORG,Paypal,,,,,,2211 N 1St St,,San Jose,CA,951312021,,,2024-10-10,4.10,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035731,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2024-10-11,5.62,0.00,Digital Ads,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035737,,,ORG,Paypal,,,,,,2211 N 1St St,,San Jose,CA,951312021,,,2024-10-14,1.22,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035734,,,ORG,CommonCentsConsulting LLC,,,,,,PO Box 26430,,Tempe,AZ,852856430,,,2024-10-15,8378.81,0.00,Compliance & Accounting Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035882,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-16,28.28,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00648808,500035630,,,IND,,Coleman,Lisel,Nicole,,,6119 N Willowdale Pl,,Garden City,ID,837141821,,,2024-10-16,600.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
