form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00540443,500026838,,,ORG,"AB Data, Ltd.",,,,,,PO Box 170062,,Milwaukee,WI,532178000,,,2024-11-22,7152.00,0.00,Direct Marketing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026858,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,Fl 12,New York,NY,100016995,,,2024-10-29,1690.71,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026924,,,COM,Averie Bishop Campaign,,,,,,819 W Arapaho Rd,Ste 24B,Richardson,TX,750805040,,,2024-10-22,3500.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026862,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2024-10-18,3315.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026863,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2024-11-22,3209.60,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026925,,,COM,Elizabeth for Texas,,,,,,502 W LOVERS Ln,,Dallas,TX,75230,,,2024-10-24,500.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026864,,,ORG,EveryAction,,,,,,1101 15th St NW,Ste 500,Washington,DC,200055006,,,2024-11-19,275.60,0.00,Software,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026865,,,ORG,FII Marketing,,,,,,1 Weingeroff Blvd,,Cranston,RI,029104009,,,2024-11-22,85.23,0.00,Printing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026825,,,IND,,Fukunaga,S. Diane,,,,15860 Eagle Point Ct,,Chesterfield,MO,630177206,,,2024-11-24,500.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026870,,,ORG,Giffords,,,,,,PO Box 15642,,Washington,DC,200030642,,,2024-11-20,120000.00,0.00,Staff and Overhead Expenses,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026874,,,ORG,Intuit,,,,,,2632 Marine Way,,Mountain View,CA,940431126,,,2024-11-04,249.10,0.00,Software,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026875,,,ORG,"Jesse Ferguson, LLC",,,,,,111 Montague St,Apt 1C,Brooklyn,NY,112013448,,,2024-11-21,27500.00,0.00,Strategic Consulting,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026926,,,COM,Joyce Craig for NH,,,,,,396 N Bend Dr,,Manchester,NH,031041854,,,2024-10-22,1000.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026927,,,COM,Kristian Carranza for Texas,,,,,,11405 Whisper Valley St,,San Antonio,TX,782303733,,,2024-10-24,1000.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026928,,,COM,Laurel Jordan Swift Campaign,,,,,,7627 Woodridge Dr,,San Antonio,TX,782092941,,,2024-10-22,2000.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026929,,,COM,Mihaela Plesa for Texas,,,,,,18904 Fortson Ave,,Dallas,TX,752522555,,,2024-10-22,1000.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026876,,,ORG,Moore Response Management Group,,,,,,100 Jamison Ct,,Hagerstown,MD,217405185,,,2024-10-18,6070.13,0.00,Contribution Processing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026877,,,ORG,Moore Response Management Group,,,,,,100 Jamison Ct,,Hagerstown,MD,217405185,,,2024-11-22,6145.11,0.00,Contribution Processing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026878,,,ORG,Mount Vernon Print Communications,,,,,,13201 Mid Atlantic Blvd,Ste 100,Laurel,MD,207081433,,,2024-10-30,31.61,0.00,Printing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026879,,,ORG,Mount Vernon Print Communications,,,,,,13201 Mid Atlantic Blvd,Ste 100,Laurel,MD,207081433,,,2024-11-22,41.95,0.00,Printing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026880,,,ORG,"Ning Consulting, LLC",,,,,,1331 Park Ave SW,Unit 609,Albuquerque,NM,871022853,,,2024-11-06,6457.50,0.00,Strategic Consulting,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026881,,,ORG,Open Labs LLC,,,,,,1800 M St NW,Frnt 1,Washington,DC,200365828,,,2024-11-21,73964.00,0.00,Research,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026930,,,COM,Ortiz for Texas,,,,,,401 N Chaparral St,Apt 435,Corpus Christi,TX,784011220,,,2024-10-22,500.00,0.00,Non-Federal Candidate Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00540443,500026788,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,13.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026789,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,13.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026790,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,25.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026791,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026792,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,25.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026793,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026794,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,13.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026795,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,25.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026796,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,25.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026797,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026798,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026799,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026800,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026801,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,3.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026802,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026803,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,20.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026804,,,IND,,Otto,Robert,,,,5312 Lair Dr,,Greensboro,NC,274072635,,,2024-11-03,10.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026776,,,IND,,Polep,Charles,,,,12525 Appleton Way,,Los Angeles,CA,900661803,,,2024-10-27,1000.00,0.00,Refund,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00540443,500026914,,,ORG,R.R. Donnelley & Sons Co,,,,,,PO Box 538602,,Atlanta,GA,303538602,,,2024-11-22,3140.22,0.00,Printing,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
SB29,C00540443,500026763,,,ORG,SKDKnickerbocker,,,,,,1150 18th St NW,Ste 800,Washington,DC,200363845,,,2024-10-22,-797449.16,0.00,Media Buy | Orig Rpt 10/15/24,,,,,,,,,,,,,,,,,,,,"Non-Contribution Account  See Line 24 Media Buy $797,449.16 10/22/24"
SB29,C00540443,500026923,,,ORG,Upland Software,,,,,,PO Box 205921,,Dallas,TX,753205921,,,2024-10-30,1054.50,0.00,Text Messaging,,,,,,,,,,,,,,,,,,,,Non-Contributon Account
