form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00757419,500034100,,,ORG,Numero,,,,,,200 Spectrum Center Dr,Ste 300,Irvine,CA,926185004,,,2024-09-03,1000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035033,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-18,50080.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035043,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-26,51605.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035053,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-29,1846.27,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035063,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-26,160.76,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035073,,,ORG,Bitly.Com,,,,,,601 W 26Th St,Rm 357,New York,NY,100011133,,,2024-09-26,35.00,0.00,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500034083,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-08,5326.97,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035034,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-18,16761.78,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035044,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-15,7366.77,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035054,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-29,0.40,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035064,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-29,80.00,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035074,,,ORG,Olson Remcho LLP,,,,,,555 Capitol Mall,Ste 400,Sacramento,CA,958144503,,,2024-09-16,108.00,0.00,Legal Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035035,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-20,28000.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035045,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-15,1.39,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035055,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-30,820.04,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035075,,,ORG,NGP VAN Inc,,,,,,655 15Th St NW,# 650,Washington,DC,200055701,,,2024-09-30,6360.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035046,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-18,4969.04,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035056,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-30,0.99,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035066,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-13,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035076,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-09-30,68.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500034096,,,ORG,Blue Wave Political Partners LLC,,,,,,514 Daniels St,# 286,Raleigh,NC,276051317,,,2024-09-05,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035037,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-20,100000.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035047,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-19,519.54,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035067,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-13,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035077,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2024-09-23,300.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035038,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-26,50000.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035048,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-22,2464.94,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035058,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-19,1225.00,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035068,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-17,1.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035039,,,ORG,Mothership Strategies,,,,,,2121 Ward Pl NW,Fl 3,Washington,DC,200371213,,,2024-09-26,50000.00,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035049,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-23,672.51,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035059,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-22,690.80,0.00,Contribution Refund,,,,,,,,,,,,,,,,,,,,
SB21B,C00757419,500035069,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-09-23,5.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
