form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00693838,SB21B.7130,,,ORG,ALLIANCE FORGE CORPORATION,,,,,,5648 SPANDRELL CIR,,SPARKS,NV,89436,,,2024-07-31,5051.03,,TEXT MESSAGES (NON-IE RELATED),,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7124,,,ORG,JONES DAY,,,,,,P.O. BOX 7805,BEN FRANKLIN STATION,WASHINGTON,DC,20044,,,2024-07-24,12025.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7141,,,ORG,JONES DAY,,,,,,P.O. BOX 7805,BEN FRANKLIN STATION,WASHINGTON,DC,20044,,,2024-08-12,6825.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7178,,,ORG,JONES DAY,,,,,,P.O. BOX 7805,BEN FRANKLIN STATION,WASHINGTON,DC,20044,,,2024-09-24,7150.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7122,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,STE 200,ARLINGTON,VA,22201,,,2024-07-02,6070.27,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7128,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,STE 200,ARLINGTON,VA,22201,,,2024-07-30,4610.04,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7149,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,STE 200,ARLINGTON,VA,22201,,,2024-08-16,3071.94,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7177,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,STE 200,ARLINGTON,VA,22201,,,2024-09-24,9439.15,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7175,,,ORG,"THE CHARLES GROUP, LLC",,,,,,8700 WEST BRYN MAWR,STE 730S,CHICAGO,IL,60631,,,2024-09-23,25000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7198,,,ORG,WHISTLESTOP STRATEGIES LLC,,,,,,23150 FASHION DR,STE 231,ESTERO,FL,33928,,,2024-09-27,137876.88,,PRE-PAYMENT FOR DIRECT MAIL: PRINTING AND POSTAGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7137,,,ORG,WINRED,,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-07,724.96,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7139,,,ORG,WINRED,,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-09,724.96,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7146,,,ORG,WINRED,,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-15,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
