form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00487470,SB21B.13169,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13176,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14722,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,36706.68,,"pull from advance, Line 21, for administrative, fundraising and compliance support",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14723,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,-36706.88,,pull from advance for operating expenditure Line 21,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14740,,,ORG,DONOR BUREAU,,,,,,1900 Reston Metro Plaza,,Reston,VA,20190,,,2024-09-03,129.65,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14741,,,ORG,DONOR BUREAU,,,,,,1900 Reston Metro Plaza,,Reston,VA,20190,,,2024-09-09,38.74,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14742,,,ORG,DONOR BUREAU,,,,,,1900 Reston Metro Plaza,,Reston,VA,20190,,,2024-09-16,90.00,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14744,,,ORG,Eye Popper Digital LLC,,,,,,1005 Trinity Gate St.,,Herndon,VA,20170,,,2024-09-30,307.69,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14779,,,ORG,"FatLab, LLC",,,,,,1732 11ST AVE,#24150,NEW YORK,NY,10128,,,2024-09-30,390.00,,website maintenance,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14755,,,ORG,FRONTLINE STRATEGIES,,,,,,108 South Washington St.,2nd floor,Alexandria,VA,22314,,,2024-09-23,4.12,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14756,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-09-03,255.96,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14757,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-09-09,488.52,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14758,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-09-16,91.76,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14759,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-09-23,492.42,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14760,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-09-30,113.40,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14780,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-09-30,5000.00,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14708,,,IND,,Nguyen,David,T.,,,212 Long Trail Lane,,Rockville,MD,20850,,,2024-09-09,57211.63,,In-kind - Donation made by Bitcoin,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14761,,,ORG,POPACTA,,,,,,PO Box 7865,,Loveland,CO,80537,,,2024-09-16,86.45,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14762,,,ORG,POPACTA,,,,,,PO Box 7865,,Loveland,CO,80537,,,2024-09-23,82.08,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14763,,,ORG,POPACTA,,,,,,PO Box 7865,,Loveland,CO,80537,,,2024-09-30,40.28,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14767,,,ORG,ROC,,,,,,1201 Wilson Blvd.,,Arlington,VA,22209,,,2024-09-03,1591.95,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14768,,,ORG,ROC,,,,,,1201 Wilson Blvd.,,Arlington,VA,22209,,,2024-09-09,2982.58,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14769,,,ORG,ROC,,,,,,1201 Wilson Blvd.,,Arlington,VA,22209,,,2024-09-16,94.50,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14770,,,ORG,ROC,,,,,,1201 Wilson Blvd.,,Arlington,VA,22209,,,2024-09-23,106.61,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14771,,,ORG,ROC,,,,,,1201 Wilson Blvd.,,Arlington,VA,22209,,,2024-09-30,604.80,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14725,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-06,9.51,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14726,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-13,783.31,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14727,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-20,33.80,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14728,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-20,593.15,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14729,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-27,577.42,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14730,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-27,409.02,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14731,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-09-27,39.10,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14775,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-09-03,236.00,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14776,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-09-09,132.00,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14777,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-09-23,452.18,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14774,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-09-30,661.05,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14732,,,ORG,Truist Merchant Services,,,,,,PO Box 2394,,Omaha,NE,68103,,,2024-09-10,54.90,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14781,,,ORG,"Wiley Rein, LLC",,,,,,"2050 M ST., NW",,Washington,DC,20036,,,2024-09-16,18000.00,,legal fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14745,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-03,1.69,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14746,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-03,114.37,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14747,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-03,25.00,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14748,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-09,30.82,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14749,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-09,239.31,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14750,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-16,23.03,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14751,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-16,67.81,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14733,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-23,4.55,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14752,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-23,215.57,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14753,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-30,150.66,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.14754,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-09-30,2.50,,digital prospecting,,C00694323,,,,,,,,,,,,,,,,,,
