form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00830687,500916329,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-02-29,2638.42,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916330,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-03,334.19,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916331,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-10,1502.68,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916332,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-17,1822.02,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916333,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-24,1548.61,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500916334,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-03-31,2599.03,0.00,credit card processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917627,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,P2024,,2024-01-26,130.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917628,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,P2024,,2024-02-27,87.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917629,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,P2024,,2024-03-27,87.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917636,,,ORG,Big Top Events LLC,,,,,,917 E Mifflin St,,Madison,WI,537032831,P2024,,2024-02-21,800.00,0.00,Fundraising Event Facility Use Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,13528549I,13528549,SA11AI,IND,,Dexter,Kristen,G,,,7410 Lakeview Dr,,Eau Claire,WI,547018329,,,2024-03-24,700.00,0.00,Fundraiser food and beverage.,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00830687,500917644,,,IND,,Fitzhenry,James,Nathan,,,PO Box 696,,Madison,WI,537010696,P2024,,2024-03-18,654.91,0.00,"Travel - Mileage, Meals, Parking",,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917632,,,ORG,FPC Live,,,,,,155 E Wilson St,Ste 100,Madison,WI,537033489,P2024,,2024-02-06,1128.85,0.00,"Fundraising Event Catering, Facility Use Fees and Equipment Rental",,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,13528553I,13528553,SA11AI,IND,,Hanewicz,Melissa,,,,26 Elver Ct,,Madison,WI,537193002,,,2024-03-01,587.64,0.00,Fundraiser food and beverage,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00830687,500917639,,,ORG,Majestic Theatre,,,,,,119 E Main St,Ste 308,Madison,WI,537033358,P2024,,2024-03-13,1257.25,0.00,Fundraising Event Catering and Facility Use Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917634,,,ORG,Milwaukee Athletic Club,,,,,,758 N Broadway,,Milwaukee,WI,532023654,P2024,,2024-02-12,1000.00,0.00,Fundraising Event Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917640,,,ORG,Milwaukee Athletic Club,,,,,,758 N Broadway,,Milwaukee,WI,532023654,P2024,,2024-03-13,2141.88,0.00,Fundraising Event Catering and Facility Use Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917637,,,ORG,Salvatore's Tomato Pies,,,,,,10 N Livingston St,,Madison,WI,537032326,P2024,,2024-02-23,506.40,0.00,Fundraising Event Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917630,,,ORG,The Coopers Tavern,,,,,,20 W Mifflin St,,Madison,WI,537032523,P2024,,2024-01-05,125.00,0.00,Fundraising Event Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917631,,,ORG,The Coopers Tavern,,,,,,20 W Mifflin St,,Madison,WI,537032523,P2024,,2024-01-26,1375.61,0.00,Fundraising Event Catering and Facility Use Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917633,,,ORG,The Fields Reserve,,,,,,2479 Glenn Dr,,Stoughton,WI,535892930,P2024,,2024-02-12,3000.00,0.00,Fundraising Event Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917641,,,ORG,Tornado Steak House,,,,,,116 S Hamilton St,,Madison,WI,537033210,P2024,,2024-03-15,300.00,0.00,Fundraising Event Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00830687,500917643,,,ORG,Wild Rice Retreat,,,,,,84860 Old San Rd,,Bayfield,WI,548146002,P2024,,2024-03-18,1055.00,0.00,Fundraising Event Catering,,,,,,,,,,,,,,,,,,,,
