form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.47101,,,ORG,A&R PROTECTION SERVICES LLC,,,,,,1913 W BALTIMORE ST,APT F,BALTIMORE,MD,21223,,,2024-01-03,1500.00,,EVENT EXPENSE: SECURITY SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47186,,,ORG,HILTON,,,,,,7930 JONES BRANCH DR,,MCLEAN,VA,22102,,,2024-01-16,928.56,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47198,,,ORG,MID-ATLANTIC,,,,,,100 WEST PENNSYLVANIA AVE,SUITE 200,TOWSON,MD,21204,,,2024-01-05,1047.64,,RENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47199,,,ORG,MID-ATLANTIC,,,,,,100 WEST PENNSYLVANIA AVE,SUITE 200,TOWSON,MD,21204,,,2024-02-09,1183.52,,RENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47200,,,ORG,MID-ATLANTIC,,,,,,100 WEST PENNSYLVANIA AVE,SUITE 200,TOWSON,MD,21204,,,2024-03-15,1149.99,,RENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47203,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-04,63.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47204,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-05,390.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47205,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-09,208.90,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47206,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-10,47.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47207,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-11,532.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47208,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-12,79.08,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47209,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-16,329.09,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47210,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-17,25.90,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47211,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-18,202.13,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47212,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-19,396.58,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47213,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-22,36.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47221,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-23,149.90,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47214,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-24,49.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47215,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-25,130.04,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47216,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-26,52.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47217,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-29,24.90,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47218,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-30,140.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47219,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-01-31,40.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47220,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-01,163.14,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47222,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-02,81.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47223,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-05,52.59,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47224,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-06,56.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47225,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-07,78.59,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47226,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-08,392.67,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47227,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-09,10.82,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47228,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-12,92.19,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47229,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-13,464.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47230,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-14,16.90,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47231,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-15,248.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47232,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-16,47.70,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47233,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-20,76.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47234,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-21,62.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47235,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-22,32.19,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47236,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-23,76.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47237,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-26,27.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47238,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-27,29.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47239,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-02-29,98.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47240,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-01,11.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47241,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-04,76.17,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47242,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-05,133.09,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47243,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-06,33.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47244,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-07,218.69,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47245,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-08,23.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47246,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-11,8.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47247,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-12,12.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47248,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-13,64.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47249,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-14,130.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47250,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-15,44.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47251,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-18,44.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47252,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-19,78.48,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47253,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-20,60.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47254,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-21,39.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47255,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-22,15.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47256,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-25,24.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47257,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-26,51.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47258,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-27,33.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47259,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-28,108.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47260,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2024-03-29,8.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47261,,,ORG,RYLEIGH'S OYSTER,,,,,,22 W PADONIA RD,,LUTHERVILLE-TIMONIUM,MD,21093,,,2024-01-12,3148.23,,EVENT EXPENSE: FACILITY RENTAL & CATERING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47262,,,ORG,SOUTHWEST AIRLINES,,,,,,2702 LOVE FIELD DR,,DALLAS,TX,75235,,,2024-01-04,1233.91,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47272,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-10,4.10,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47273,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-11,45.09,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47274,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-12,17.21,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47275,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-16,31.76,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47276,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-17,5.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47277,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-18,12.57,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47278,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-19,35.44,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47279,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-22,1.81,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47287,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-23,9.41,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47280,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-24,2.79,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47281,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-25,10.01,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47282,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-26,2.56,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47283,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-29,1.53,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47284,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-30,6.90,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47285,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-31,9.85,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47286,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-01,8.51,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47288,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-02,6.63,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47289,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-05,2.59,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47290,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-06,3.24,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47291,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-07,3.88,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47292,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-08,19.67,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47293,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-09,1.62,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47294,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-12,4.55,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47295,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-13,39.03,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47296,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-14,1.14,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47297,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-15,14.28,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47298,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-16,2.92,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47299,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-20,3.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47300,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-21,3.18,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47301,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-22,2.57,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47302,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-23,4.03,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47303,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-26,1.53,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47304,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-27,1.47,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
