form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00831651,SB23.I178,,,CCM,BERNIE MORENO FOR SENATE,,,,,,PO BOX 340797,,COLUMBUS,OH,43234,P2024,,2023-09-29,3300.00,,CONTRIBUTION,,C00837484,,S4OH00192,MORENO,BERNIE,,,,S,OH,,  ,,,,,,,
SB23,C00831651,SB23.I246,SB23.I244,SB23,PAC,GROW THE MAJORITY NY,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-12-06,10000.00,,EARMARKED BY GEORGE KOFINAS,,C00858019,,,,,,,,,,,  ,,,,,,X,
SB23,C00831651,SB23.I249,,,PAC,GROW THE MAJORITY NY,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-12-11,104400.00,,TRANSMITTAL OF EARMARKS,011,C00858019,,,,,,,,,,,  ,,,,,,,
SB23,C00831651,SB23.I250,SB23.I249,SB23,PAC,GROW THE MAJORITY NY,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-12-11,40000.00,,EARMARKED BY RICHARD KURTZ,,C00858019,,,,,,,,,,,  ,,,,,,X,
SB23,C00831651,SB23.I251,SB23.I249,SB23,PAC,GROW THE MAJORITY NY,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-12-11,64400.00,,EARMARKED BY CARYL RATNER,,C00858019,,,,,,,,,,,  ,,,,,,X,
SB23,C00831651,SB23.I254,,,PAC,MVL PAC,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,,,2023-12-11,5000.00,,TRANSMITTAL OF EARMARKS,011,C00817338,,,,,,,,,,,  ,,,,,,,
SB23,C00831651,SB23.I255,SB23.I254,SB23,PAC,MVL PAC,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,,,2023-12-11,5000.00,,EARMARKED BY CARYL RATNER,,C00817338,,,,,,,,,,,  ,,,,,,X,
SB23,C00831651,SB23.I258,,,PAC,STEFANIK- ESPOSITO NY VICTORY,,,,,,P.O. BOX 500,,GLENS FALLS,NY,12801,,,2023-12-11,79500.00,,TRANSMITTAL OF EARMARKS,011,C00854414,,,,,,,,,,,  ,,,,,,,
SB23,C00831651,SB23.I259,SB23.I258,SB23,PAC,STEFANIK- ESPOSITO NY VICTORY,,,,,,P.O. BOX 500,,GLENS FALLS,NY,12801,,,2023-12-11,10000.00,,EARMARKED BY RICHARD KURTZ,,C00854414,,,,,,,,,,,  ,,,,,,X,
SB23,C00831651,SB23.I260,SB23.I258,SB23,PAC,STEFANIK- ESPOSITO NY VICTORY,,,,,,P.O. BOX 500,,GLENS FALLS,NY,12801,,,2023-12-11,69500.00,,EARMARKED BY CARYL RATNER,,C00854414,,,,,,,,,,,  ,,,,,,X,
SB23,C00831651,SB23.I256,,,PTY,NEW YORK REPUBLICAN STATE COMMITTEE,,,,,,315 STATE ST,,ALBANY,NY,12210,,,2023-12-11,50000.00,,TRANSMITTAL OF EARMARKS,,,,,,,,,,,,,  ,,,,,,,
SB23,C00831651,SB23.I257,SB23.I256,SB23,PTY,NEW YORK REPUBLICAN STATE COMMITTEE,,,,,,315 STATE ST,,ALBANY,NY,12210,,,2023-12-11,50000.00,,EARMARKED BY CARYL RATNER,,,,,,,,,,,,,  ,,,,,,X,
