form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00756569,500691437,,,ORG,"Higher Wages, Lower Rent Alliance",,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,G2024,,2024-10-04,10917.83,2024-10-04,10917.83,Campaign expenses,,,S,H8CA45148,MIN,DAVID,,,,H,47,CA,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691506,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,157.54,2024-10-01,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691507,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-01,157.54,2024-10-01,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691508,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-03,818.54,2024-10-03,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691509,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-03,818.54,2024-10-03,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691510,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-04,88.24,2024-10-04,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691511,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-04,88.24,2024-10-04,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691512,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-04,87.96,2024-10-04,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691513,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-04,87.96,2024-10-04,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691514,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-07,333.64,2024-10-07,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691515,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-07,333.64,2024-10-07,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691516,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-07,349.85,2024-10-07,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691517,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-07,349.85,2024-10-07,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691518,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-09,72.28,2024-10-09,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691519,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-09,72.28,2024-10-09,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691520,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-09,74.98,2024-10-09,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691521,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-09,74.98,2024-10-09,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691522,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-10,264.11,2024-10-10,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691523,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-10,264.11,2024-10-10,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691524,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-11,6.56,2024-10-11,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691525,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-11,6.56,2024-10-11,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691526,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-11,180.91,2024-10-11,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691527,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-11,180.91,2024-10-11,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691528,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-15,583.78,2024-10-15,425505.21,Texting,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691529,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-10-15,583.78,2024-10-15,418245.61,Texting,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691552,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-02,7144.37,2024-10-02,87912.36,Payroll,,,S,H2AZ02311,ENGEL,KIRSTEN,,,,H,06,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691553,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-02,7144.37,2024-10-02,74529.27,Payroll,,,S,H4AZ01194,SHAH,AMISH,DR.,,,H,01,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691554,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-02,34531.12,2024-10-02,418245.61,Payroll,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691555,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-02,34531.12,2024-10-02,425505.21,Payroll,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691585,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-02,328.00,2024-10-02,425505.21,Digitial Ads,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691556,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-04,121713.60,2024-10-04,425505.21,Payroll,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691557,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-04,121713.60,2024-10-04,418245.61,Payroll,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691558,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-04,25182.12,2024-10-04,74529.27,Payroll,,,S,H4AZ01194,SHAH,AMISH,DR.,,,H,01,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691559,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-04,25182.12,2024-10-04,87912.36,Payroll,,,S,H2AZ02311,ENGEL,KIRSTEN,,,,H,06,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691560,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-08,571.59,2024-10-08,87912.36,Payroll,,,S,H2AZ02311,ENGEL,KIRSTEN,,,,H,06,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691561,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-08,571.59,2024-10-08,74529.27,Payroll,,,S,H4AZ01194,SHAH,AMISH,DR.,,,H,01,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691563,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-08,2762.67,2024-10-08,418245.61,Payroll,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691564,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-08,2762.67,2024-10-08,425505.21,Payroll,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691565,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-11,2579.97,2024-10-11,425505.21,Payroll,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691566,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-11,2579.97,2024-10-11,418245.61,Payroll,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691568,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-11,538.07,2024-10-11,74529.27,Payroll,,,S,H4AZ01194,SHAH,AMISH,DR.,,,H,01,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691569,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-11,524.27,2024-10-11,87912.36,Payroll,,,S,H2AZ02311,ENGEL,KIRSTEN,,,,H,06,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691570,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-16,9882.27,2024-10-16,87912.36,Payroll,,,S,H2AZ02311,ENGEL,KIRSTEN,,,,H,06,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691571,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-16,6588.18,2024-10-16,74529.27,Payroll,,,S,H4AZ01194,SHAH,AMISH,DR.,,,H,01,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691572,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-16,37264.40,2024-10-16,418245.61,Payroll,,,S,H4AZ07043,GALLEGO,RUBEN,,,,S,03,AZ,Walsh,Brendan,,,,2025-01-31,
SE,C00756569,500691573,,,ORG,Worker Power,,,,,,1021 S 7th Ave,,Phoenix,AZ,850073725,G2024,,2024-10-16,39323.21,2024-10-16,425505.21,Payroll,,,S,P80000722,Harris,Kamala,,,,P,00,US,Walsh,Brendan,,,,2025-01-31,
