form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00139659,SB21B.59797.3,SB21B.59797,SB21B,ORG,Comcast,,,,,,2508 W. Route 129,,McHenry,IL,60050,,,2023-05-19,505.75,,utility,,,,,,,,,,,,,,,,,,,X,
SB21B,C00139659,SB21B.59810,,,IND,,Balonick,Marcia,,,,367 Charal Lane,,Highland Park,IL,60035,,,2023-06-15,979.63,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59818,,,IND,,Balonick,Marcia,,,,367 Charal Lane,,Highland Park,IL,60035,,,2023-06-30,979.63,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59812,,,ORG,Beal  Properties,,,,,,2320 N. Damen,Suite 1D,Chicago,IL,60647,,,2023-06-30,3150.00,,rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59817,,,IND,,Blanco,Jose,,,,5604 Lyons,,Morton Grove,IL,60053,,,2023-06-30,140.00,,office expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59805,,,ORG,Brainwrap Website Design,,,,,,3711 Thornbrier Way,,Bloomfield Hills,MI,48302,,,2023-06-15,35.00,,computer maintainance,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59804,,,ORG,Coby Resnick Production,,,,,,2502 The Strand,,Northbrook,IL,60062,,,2023-06-15,1550.00,,video production for event,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59838,,,ORG,Harland Clarke Corp,,,,,,15955 La Cantera,,San Antonio,TX,78256,,,2023-06-28,287.77,,office supply-new checks,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59837,,,ORG,Illinois Dept of Revenue,,,,,,P.O. Box 19447,,Springfield,IL,62794,,,2023-06-09,529.13,,employee withholding,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59836,,,ORG,Internal Revenue Service,,,,,,P. O. Box,,Kansas City,MO,64999,,,2023-06-09,2586.32,,employee withholding,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59798,,,PAC,Joint Action Committee for Political Affairs,,,,,,P.O. Box 105,,Highland Park,IL,60035,,,2023-06-07,700.00,,"cash for event fees, tips, valet parking",,C00139659,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59798.0,SB21B.59798,SB21B,ORG,Bryn Mawr,,,,,,6600 North Crawford Ave,,Lincolnwood,IL,60712,,,2023-06-15,700.00,,"event tips, valet, wait staff, set up crew",,,,,,,,,,,,,,,,,,,X,
SB21B,C00139659,SB21B.59815,,,ORG,Just Cause Consulting,,,,,,101 W Grand,,Chicago,IL,60654,,,2023-06-30,4000.00,,"marketing, business develpment",,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59796,,,ORG,Kehoe Designs,,,,,,2520 S Hoyne,,Chicago,IL,60608,,,2023-06-02,13276.86,,"events fees-luncheon centerpieces, decorations",,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59813,,,ORG,MAXX Multimedia,,,,,,2424 S Gunderson,,Berwyn,IL,60402,,,2023-06-30,11356.40,,video production for event,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59799,,,IND,,Schoenberg,Danielle,,,,3216 Highland,,Northbrook,IL,60062,,,2023-06-15,1392.77,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59823,,,IND,,Schoenberg,Danielle,,,,3216 Highland,,Northbrook,IL,60062,,,2023-06-30,248.66,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59800,,,IND,,Shaewitz,Allison,,,,206 Fairview,,Glencoe,IL,60022,,,2023-06-15,1725.86,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59809,,,IND,,Shaewitz,Allison,,,,206 Fairview,,Glencoe,IL,60022,,,2023-06-15,560.31,,reimbursement-event supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59809.0,SB21B.59809,SB21B,ORG,Ghiradelli Chocolate,,,,,,1111 139th Avenue,,San Leandro,CA,94578,,,2023-06-15,399.64,,event catering desserts,,,,,,,,,,,,,,,,,,,X,
SB21B,C00139659,SB21B.59806,,,ORG,Sheri Whitko Photography,,,,,,77 Estate Drive,,Glencoe,IL,60022,,,2023-06-15,1000.00,,photography for event,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59816,,,IND,,Silverman,Jamie,,,,1255 New Hampshire Ave NW,,Washington,DC,20036,,,2023-06-30,1940.00,,marketing-media,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59808,,,ORG,State Graphics,,,,,,468 Diens Drive,,Wheeling,IL,60090,,,2023-06-15,385.22,,printing-administrative,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59801,,,IND,,Wein,Hollis,,,,136 E. St. Andrews,,Deerfield,IL,60015,,,2023-06-15,2240.10,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59819,,,IND,,Wein,Hollis,,,,136 E. St. Andrews,,Deerfield,IL,60015,,,2023-06-30,2240.10,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59802,,,IND,,Wilgus,Miranda,M.,,,3317A Beacon,#73,North Chicago,IL,60064,,,2023-06-15,1614.02,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59821,,,IND,,Wilgus,Miranda,M.,,,3317A Beacon,#73,North Chicago,IL,60064,,,2023-06-30,1284.71,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59803,,,IND,,Young,Denise,,,,1910 Cherry Lane,Apt. 223,Northbrook,IL,60062,,,2023-06-15,987.14,,salary,,,,,,,,,,,,,,,,,,,,
SB21B,C00139659,SB21B.59822,,,IND,,Young,Denise,,,,1910 Cherry Lane,Apt. 223,Northbrook,IL,60062,,,2023-06-30,1172.61,,salary,,,,,,,,,,,,,,,,,,,,
