form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00540229,SB21B.103092,,,ORG,CAMPAIGN COMPLIANCE CENTER,,,,,,7151 RICHMOND ROAD,SUITE 201A,WILLIAMSBURG,VA,23188,G2024,,2024-12-02,3000.00,,Campaign Compliance,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103300,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-02,7.52,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103295,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-03,5.64,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103296,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-03,1.88,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103294,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-04,1.88,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103293,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-05,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103290,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-10,5.64,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103289,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-12,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103285,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-17,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103286,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-17,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103283,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-18,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103280,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-23,7.52,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103277,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-24,5.64,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103278,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-24,4.32,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103276,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-26,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103275,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-12-31,3.76,,Postage,,,,,,,,,,,,,,,,,,,,
