form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00013342,SB23.56836,,,ORG,ANDY BESHEAR FOR GOVERNOR,,,,,,PO BOX 4278,,LOUISVILLE,KY,40204,P2023,,2023-06-12,-2000.00,,VOIDED UNCASHED CONTRIBUTION,,,,,,,,,,,,,,,,,,,,
SB23,C00013342,SB23.56803,,,CCM,MONTANANS FOR TESTER,,,,,,PO BOX 1135,,HELENA,MT,59624,G2024,,2023-06-14,1000.00,,CONTRIBUTION,,C00412304,MONTANANS FOR TESTER,S6MT00162,TESTER,JON,,,,S,MT,00,,,,,,,,
SB23,C00013342,SB23.56801,,,CCM,MORGAN MCGARVEY FOR CONGRESS,,,,,,2250 WINSTON AVENUE,,LOUISVILLE,KY,40205,P2024,,2023-06-13,2500.00,,CONTRIBUTION,,C00791392,MORGAN MCGARVEY FOR CONGRESS,H2KY03206,MCGARVEY,MORGAN,,,,H,KY,03,,,,,,,,
SB23,C00013342,SB23.56794,,,CCM,MRVAN FOR CONGRESS,,,,,,PO BOX 55,,CROWN POINT,IN,46308,P2024,,2023-06-13,1000.00,,CONTRIBUTION,,C00727529,MRVAN FOR CONGRESS,H0IN01150,MRVAN,FRANK J,,,,H,IN,01,,,,,,,,
SB23,C00013342,SB23.56806,,,CCM,NIKKI FOR CONGRESS,,,,,,PO BOX 5171,,SPRINGFIELD,IL,62705,P2024,,2023-06-19,1000.00,,CONTRIBUTION,,C00787812,NIKKI FOR CONGRESS,H2IL13153,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,,
SB23,C00013342,SB23.56817,,,CCM,SHARICE FOR CONGRESS,,,,,,13851 W. 63RD ST.,NUM 303,SHAWNEE,KS,66216,P2024,,2023-06-19,1000.00,,CONTRIBUTION,,C00670034,SHARICE FOR CONGRESS,H8KS03155,DAVIDS,SHARICE,,,,H,KS,03,,,,,,,,
SB23,C00013342,SB23.56813,,,CCM,SPANBERGER FOR CONGRESS,,,,,,PO BOX 3121,,GLEN ALLEN,VA,23058,P2024,,2023-06-19,1000.00,,CONTRIBUTION,,C00649913,SPANBERGER FOR CONGRESS,H8VA07094,SPANBERGER,ABIGAIL,,,,,,,,,,,,,,
SB23,C00013342,SB23.56818,,,CCM,SUSAN WILD FOR CONGRESS,,,,,,1636 N CEDAR CREST BLVD,#183,ALLENTOWN,PA,18104,P2024,,2023-06-19,1000.00,,CONTRIBUTION,,C00658567,SUSAN WILD FOR CONGRESS,H8PA15229,WILD,SUSAN,,,,H,PA,15,,,,,,,,
SB23,C00013342,SB23.56820,,,PAC,TAKING THE HILL PAC,,,,,,"499 S. CAPITOL STREET, SW",SUITE 420,WASHINGTON,DC,20003,O2023,,2023-06-19,1000.00,,CONTRIBUTION,,C00677591,,,,,,,,,,,,,,,,,,
SB23,C00013342,SB23.56802,,,CCM,TAMMY BALDWIN FOR SENATE,,,,,,POBOX 696,,MADISON,WI,53701,P2024,,2023-06-13,1000.00,,CONTRIBUTION,,C00326801,TAMMY BALDWIN FOR SENATE,S2WI00219,BALDWIN,TAMMY,,,,S,WI,00,,,,,,,,
SB23,C00013342,SB23.56821,,,CCM,WEXTON FOR CONGRESS,,,,,,PO BOX 650550,,STERLING,VA,20165,P2024,,2023-06-19,1000.00,,CONTRIBUTION,,C00638023,WEXTON FOR CONGRESS,H8VA10106,WEXTON,JENNIFER,,,,H,VA,10,,,,,,,,
SB23,C00013342,SB23.56822,,,CCM,WILEY NICKEL FOR CONGRESS,,,,,,499 SOUTH CAPITOL ST SW,SUITE 407,WASHINGTON,DC,20003,P2024,,2023-06-19,1000.00,,CONTRIBUTION,,C00763045,WILEY NICKEL FOR CONGRESS,H2NC14019,NICKEL,WILEY,,,,H,NC,13,,,,,,,,
