form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00483883,21b-17-00759-01401,,,ORG,"Message Digital, LLC",,,,,,PO Box 391527,,Mountain View,CA,94039,,,2024-10-17,143.93,,Texting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00770-01417,,,ORG,"Magnify Strategies, LLC",,,,,,2723 Prairie Ave,,Evanston,IL,60201,,,2024-10-24,-90000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00733-01356,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-10-27,16923.18,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00734-01359,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-10-31,13068.15,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00735-01362,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-11-03,9738.24,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00736-01365,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-11-05,6171.43,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00745-01387,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-11-05,86824.60,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00746-01388,,,ORG,"Magnify Strategies, LLC",,,,,,2723 Prairie Ave,,Evanston,IL,60201,,,2024-11-05,15047.80,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00747-01389,,,ORG,Alper Strategies,,,,,,"17000 Kercheval, Suite 211",,Grosse Pointe,MI,48230,,,2024-11-05,1004.69,,Advertisement Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00748-01390,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-11-05,25000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00749-01391,,,ORG,Lake Research,,,,,,"1101 17th Street NW, Suite 301",,Washington,DC,20036,,,2024-11-08,16000.00,,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00750-01392,,,ORG,Perkins Coie,,,,,,1201 Third Avenue Ste 4800,,Seattle,WA,98101,,,2024-11-08,2500.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00751-01393,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-11-08,50000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00737-01368,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-11-10,4103.88,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00752-01394,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-11-15,197525.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00738-01371,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-11-17,4393.08,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00753-01395,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-11-18,150000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00754-01396,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW Building C,,Washington,DC,20009,,,2024-11-18,25000.00,,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00743-01385,,,ORG,Truist,,,,,,214 N Tryon Street,,Charlotte,NC,28202,,,2024-11-21,346.12,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00739-01374,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-11-24,3606.54,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00483883,21b-17-00740-01377,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2024-11-25,672.67,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
