form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00139659,SB23.60411,,,CCM,ADAM FOR COLORADO,,,,,,PO BOX 371,,WOODY CREEK,CO,81656,P2024,,2023-09-26,30.00,,earmarked through ActBlue-Milgrom/Barnett,,C00805275,ADAM FOR COLORADO,H2CO03351,FRISCH,ADAM,,,,H,CO,03,,,,,,,X,
SB23,C00139659,SB23.60442,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-04,150.00,,"earmarked through ActBlue-Metzl, Andrea",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60443,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-05,250.00,,"earmarked through ActBlue-hartstein, Elliot",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60444,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-05,250.00,,"earmarked through ActBlue-Zisook, Amy",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60439,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,1000.00,,"earmarked contribution-Bluhm-Kaul, Barbara",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60445,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,250.00,,"earmarked through ActBlue-Balonick, Marcia",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60446,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,250.00,,"earmarked through ActBlue-Chez, Marissa",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60447,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,150.00,,"earmarked through ActBlue-Emanuel, Kathy",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60448,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,150.00,,"earmarked through ActBlue-Greenberg, Shana",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60449,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,250.00,,"earmarked through ActBlue-Insoft, Susan",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60450,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,250.00,,"earmarked through ActBlue-Jacobs, Jeri",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60451,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,150.00,,"earmarked through ActBlue-Koltin, Susan",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60452,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,150.00,,"earmarked through ActBlue-Ross, Yumi",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60453,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,500.00,,"earmarked through ActBlue-Michelon, Stacey",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60454,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-06,500.00,,"earmarked through ActBlue-Washlow, Roberta",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60455,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-07,150.00,,"earmarked through ActBlue-Kreloff, Michael",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60456,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-07,150.00,,"earmarked through ActBlue-Reed, Joan",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60435,,,CCM,MIKIE SHERRILL FOR CONGRESS,,,,,,P.O. BOX 43032,,MONTCLAIR,NJ,07043,P2024,,2023-09-08,150.00,,"earmarked contribution-Saltzberg, Roberta",,C00640003,MIKIE SHERRILL FOR CONGRESS,H8NJ11142,SHERRILL,REBECCA MICHELLE,,,,H,NJ,11,,,,,,,X,
SB23,C00139659,SB23.60243,,,CCM,SHARICE FOR CONGRESS,,,,,,13851 W. 63RD ST.,NUM 303,SHAWNEE,KS,66216,P2024,,2023-09-29,2500.00,,direct campaign contribution,,C00670034,SHARICE FOR CONGRESS,H8KS03155,DAVIDS,SHARICE,,,,H,KS,03,,,,,,,,
