form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00543504,500063994,,,ORG,4C Partners LLC,,,,,,PO Box 25755,,Alexandria,VA,223135755,,,2023-11-03,5000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064021,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-17,2.98,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064022,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-24,2.39,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064023,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-31,7.09,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064032,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2023-11-20,580.88,0.00,Credit Card - See Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064038,500064032,SB21B,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2023-11-20,250.00,0.00,Membership Fee,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00543504,500064033,500064032,SB21B,ORG,Google Inc,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-11-20,17.87,0.00,Website Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00543504,500064034,500064032,SB21B,ORG,Google Inc,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-11-20,198.25,0.00,Website Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00543504,500064035,500064032,SB21B,ORG,Google Inc,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-11-20,6.38,0.00,Website Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00543504,500064036,500064032,SB21B,ORG,Google Inc,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-11-20,6.38,0.00,Website Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00543504,500064037,500064032,SB21B,ORG,Google Inc,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-11-20,102.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00543504,500064024,,,ORG,"EveryAction, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2023-11-10,7360.73,0.00,Database Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064026,,,ORG,"Verdolino & Lowey, PC",,,,,,124 Washington St,Ste 101,Foxboro,MA,020351368,,,2023-07-25,352.00,0.00,Accounting & Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064027,,,ORG,"Verdolino & Lowey, PC",,,,,,124 Washington St,Ste 101,Foxboro,MA,020351368,,,2023-08-30,240.00,0.00,Accounting & Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064028,,,ORG,"Verdolino & Lowey, PC",,,,,,124 Washington St,Ste 101,Foxboro,MA,020351368,,,2023-10-20,315.00,0.00,Accounting & Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064029,,,ORG,"Verdolino & Lowey, PC",,,,,,124 Washington St,Ste 101,Foxboro,MA,020351368,,,2023-10-20,285.00,0.00,Accounting & Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064030,,,ORG,"Verdolino & Lowey, PC",,,,,,124 Washington St,Ste 101,Foxboro,MA,020351368,,,2023-11-15,270.00,0.00,Accounting & Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00543504,500064031,,,ORG,"Verdolino & Lowey, PC",,,,,,124 Washington St,Ste 101,Foxboro,MA,020351368,,,2023-12-13,435.00,0.00,Accounting & Compliance Services,,,,,,,,,,,,,,,,,,,,
