form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00589507,501067665,,,ORG,"Blue Wave Political Partners, LLC",,,,,,401 2Nd Ave S,Ste 303,Seattle,WA,981042862,,,2023-03-07,1250.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067688,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-04-06,81.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067695,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-04-11,1295.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067696,,,ORG,Guideline,,,,,,625 Avenue Of The Americas,,New York,NY,100112020,,,2023-04-25,1295.00,0.00,Employee Benefits,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067725,,,ORG,Hay Adams Restaurant,,,,,,800 16Th St NW,,Washington,DC,200064102,,,2023-01-05,219.70,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067728,,,ORG,Intercontinental Hotel,,,,,,801 Wharf St SW,,Washington,DC,200243444,,,2023-01-09,267.95,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067735,,,ORG,L&O Creative,,,,,,842 Delafield Pl NW,,Washington,DC,200114514,,,2023-01-12,820.00,0.00,Media Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067745,,,ORG,Moxy,,,,,,1011 K St NW,,Washington,DC,200014403,,,2023-04-14,576.27,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067775,,,ORG,"Salesforce, Inc.",,,,,,PO Box 203141,,Dallas,TX,753203141,,,2023-03-01,477.01,0.00,Software Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067776,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birken",,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2023-02-28,374.00,0.00,Legal Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067781,,,ORG,"SquareSpace, Inc.",,,,,,8 Clarkson St,,New York,NY,100144301,,,2023-04-10,292.56,0.00,Software Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067784,,,ORG,St. Regis,,,,,,923 Black Lives Matter Plz NW,,Washington,DC,20006,,,2023-01-06,223.70,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067785,,,ORG,St. Regis,,,,,,923 Black Lives Matter Plz NW,,Washington,DC,20006,,,2023-02-17,322.00,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067798,,,ORG,The Madison Hotel,,,,,,1177 15Th St NW,,Washington,DC,200052701,,,2023-02-21,163.23,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00589507,501067797,,,ORG,The Madison Hotel,,,,,,1177 15Th St NW,,Washington,DC,200052701,,,2023-02-27,64.99,0.00,Meals,,,,,,,,,,,,,,,,,,,,
