form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00802389,VVAG5ART1H1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-13,1.67,2023-01-13,56.67,email services (via drawdown),,,S,S6MT00162,TESTER,JON,,,,S,,MT,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1J9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-13,1.67,2023-01-13,226.68,email services (via drawdown),,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1K7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-25,1.66,2023-01-25,54.99,email services (via drawdown),,,S,S2WI00219,BALDWIN,TAMMY,,,,S,,WI,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1M5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-25,1.67,2023-01-25,55.00,email services (via drawdown),,,S,S6PA00217,CASEY,ROBERT P JR,,,,S,,PA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1N3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-25,1.67,2023-01-25,55.01,email services (via drawdown),,,S,S8WA00194,CANTWELL,MARIA,,,,S,,WA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1P1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,8.00,2023-02-01,9.00,Staff time and emails for online message (via drawdown),,,S,H8CT05245,HAYES,JAHANA,,,,H,05,CT,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1Q9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,8.00,2023-02-01,139.00,Staff time and emails for online message (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1R7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,8.00,2023-02-01,9.00,Staff time and emails for online message (via drawdown),,,S,H2NV04011,HORSFORD,STEVEN ALEXZANDER,,,,H,04,NV,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1S5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,8.00,2023-02-01,94.00,Staff time and emails for online message (via drawdown),,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1T3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,8.00,2023-02-01,9.00,Staff time and emails for online message (via drawdown),,,S,H8TX32098,ALLRED,COLIN,,,,H,32,TX,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1V0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,1.00,2023-02-01,9.00,email services (via drawdown),,,S,H8CT05245,HAYES,JAHANA,,,,H,05,CT,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1W8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,1.00,2023-02-01,139.00,email services (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1X6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,1.00,2023-02-01,9.00,email services (via drawdown),,,S,H2NV04011,HORSFORD,STEVEN ALEXZANDER,,,,H,04,NV,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1Y4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,1.00,2023-02-01,94.00,email services (via drawdown),,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1Z2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-01,1.00,2023-02-01,9.00,email services (via drawdown),,,S,H8TX32098,ALLRED,COLIN,,,,H,32,TX,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART200,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-07,1.25,2023-02-07,42.50,email services (via drawdown),,,S,H2OR04095,HOYLE,VALERIE,,,,H,04,OR,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART218,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-07,1.25,2023-02-07,42.50,email services (via drawdown),,,S,H2WA03217,GLUESENKAMP PEREZ,MARIE,,,,H,03,WA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART226,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-07,1.25,2023-02-07,42.50,email services (via drawdown),,,S,H2IL13153,BUDZINSKI,NIKKI,,,,H,13,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART234,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-07,1.25,2023-02-07,42.50,email services (via drawdown),,,S,H2PA17079,CARTWRIGHT,MATT,,,,H,08,PA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART242,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-08,1.25,2023-02-08,42.50,email services (via drawdown),,,S,H2OR04095,HOYLE,VALERIE,,,,H,04,OR,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART259,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-08,1.25,2023-02-08,42.50,email services (via drawdown),,,S,H2WA03217,GLUESENKAMP PEREZ,MARIE,,,,H,03,WA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART267,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-08,1.25,2023-02-08,42.50,email services (via drawdown),,,S,H2IL13153,BUDZINSKI,NIKKI,,,,H,13,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART275,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-08,1.25,2023-02-08,42.50,email services (via drawdown),,,S,H2PA17079,CARTWRIGHT,MATT,,,,H,08,PA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART283,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-13,40.00,2023-02-13,139.00,Staff time and emails for online message (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART291,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-13,5.00,2023-02-13,139.00,email services (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2A9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,O2023,Special General,2023-02-17,5.00,2023-02-17,170.00,email services (via drawdown),,,S,H4VA04066,MCCLELLAN,JENNIFER,,,,H,04,VA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2B7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,O2023,Special General,2023-02-17,5.00,2023-02-17,170.00,email services (via drawdown),,,S,H4VA04066,MCCLELLAN,JENNIFER,,,,H,04,VA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2C5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-28,2.50,2023-02-28,139.00,email services (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2D3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-28,2.50,2023-02-28,94.00,email services (via drawdown),,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2E1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-28,2.50,2023-02-28,139.00,email services (via drawdown),,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2F8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-02-28,2.50,2023-02-28,94.00,email services (via drawdown),,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2G6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-03-09,5.00,2023-03-09,226.68,email services (via drawdown),,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2H4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-03-09,5.00,2023-03-09,226.68,email services (via drawdown),,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2J2,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-01-13,53.33,2023-01-13,56.65,email messaging,,,S,S8NV00156,ROSEN,JACKY,,,,S,,NV,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2K0,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-01-13,53.33,2023-01-13,56.67,email messaging,,,S,S6MT00162,TESTER,JON,,,,S,,MT,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2M6,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-01-13,53.34,2023-01-13,226.68,email messaging,,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2N4,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-01-25,53.33,2023-01-25,54.99,email messaging,,,S,S2WI00219,BALDWIN,TAMMY,,,,S,,WI,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2P2,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-01-25,53.33,2023-01-25,55.00,email messaging,,,S,S6PA00217,CASEY,ROBERT P JR,,,,S,,PA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2Q0,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-01-25,53.34,2023-01-25,55.01,email messaging,,,S,S8WA00194,CANTWELL,MARIA,,,,S,,WA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2R8,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-02-07,40.00,2023-02-07,42.50,email messaging,,,S,H2OR04095,HOYLE,VALERIE,,,,H,04,OR,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2S5,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-02-07,40.00,2023-02-07,42.50,email messaging,,,S,H2WA03217,GLUESENKAMP PEREZ,MARIE,,,,H,03,WA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2T3,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-02-07,40.00,2023-02-07,42.50,email messaging,,,S,H2IL13153,BUDZINSKI,NIKKI,,,,H,13,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2V1,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-02-07,40.00,2023-02-07,42.50,email messaging,,,S,H2PA17079,CARTWRIGHT,MATT,,,,H,08,PA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2W9,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,O2023,Special General,2023-02-17,160.00,2023-02-17,170.00,email messaging,,,S,H4VA04066,MCCLELLAN,JENNIFER,,,,H,04,VA,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2X7,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-02-28,80.00,2023-02-28,139.00,email messaging,,,S,H8IL14174,UNDERWOOD,LAUREN,A,,,H,14,IL,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2Y5,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-02-28,80.00,2023-02-28,94.00,email messaging,,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART2Z3,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,P2024,,2023-03-09,160.00,2023-03-09,226.68,email messaging,,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,Sonekan,Titi,,,,2023-03-17,
