form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00235853,500692478,,,ORG,American Express Establishment Services,,,,,,12138 Central Ave,# 3886,Mitchellville,MD,207211910,,,2024-11-05,570.35,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692283,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-01,-610.74,0.00,draw 11/01/2024 adv from line 29 (Friends of Jim Haddock),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692741,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-4296.76,0.00,draw 11/02/2024 adv from line 23 (AZ Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692742,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-3089.53,0.00,draw 11/02/2024 adv from line 23 (CA Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692743,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-3709.33,0.00,draw 11/02/2024 adv from line 23 (MI Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692744,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-461.48,0.00,draw 11/02/2024 adv from line 23 (NC Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692745,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-1701.77,0.00,draw 11/02/2024 adv from line 23 (NV Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692746,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-926.81,0.00,draw 11/02/2024 adv from line 23 (NY Dem Comm),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692747,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-487.24,0.00,draw 11/02/2024 adv from line 23 (OH Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692748,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-6929.09,0.00,draw 11/02/2024 adv from line 23 (PA Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692749,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-2026.80,0.00,draw 11/02/2024 adv from line 23 (Dem Party of WI),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692753,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-4771.41,0.00,draw 11/02/2024 adv from line 29 (AZ Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692754,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-2597.63,0.00,draw 11/02/2024 adv from line 29 (CA Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692755,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-4731.93,0.00,draw 11/02/2024 adv from line 29 (MI Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692756,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-3626.25,0.00,draw 11/02/2024 adv from line 29 (PA Dem Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692757,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-02,-1513.72,0.00,draw 11/02/2024 adv from line 29 (Dem Party of WI),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692260,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-07,26089.80,0.00,Legal fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500694393,,,ORG,World Pay,,,,,,8500 Governors Hill Dr,,Symmes Twp,OH,452491384,,,2024-11-12,876.48,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
