form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00764860,SB29.I4030,,,ORG,1962 PAC OF THE LINCOLN CLUB OF ORANGE COUNTY,,,,,,9070 IRVINE CENTER DRIVE,"#150, ID #1443925",IRVINE,CA,92618,,,2024-10-25,30000.00,,NON-FEDERAL CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4036,,,ORG,CMDI,,,,,,1593 SPRING HILL RD SUITE 400,,TYSONS CORNER,VA,22182,,,2024-11-08,6843.25,,DATABASE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4037,,,ORG,CMDI,,,,,,1593 SPRING HILL RD SUITE 400,,TYSONS CORNER,VA,22182,,,2024-11-15,500.00,,DATABASE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4038,,,ORG,CMDI,,,,,,1593 SPRING HILL RD SUITE 400,,TYSONS CORNER,VA,22182,,,2024-11-15,3500.00,,DATABASE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4067,,,ORG,CMDI,,,,,,1593 SPRING HILL RD SUITE 400,,TYSONS CORNER,VA,22182,,,2024-10-08,3474.90,,DATABASE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4068,,,ORG,CMDI,,,,,,1593 SPRING HILL RD SUITE 400,,TYSONS CORNER,VA,22182,,,2024-10-16,3500.00,,DATABASE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4039,,,ORG,CONVERT DIGITAL LLC,,,,,,130 NORTH FAYETTE STREET,,ALEXANDRIA,VA,22314,,,2024-10-24,124571.27,,DIGITAL FUNDRAISING AND CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4040,,,ORG,CONVERT DIGITAL LLC,,,,,,130 NORTH FAYETTE STREET,,ALEXANDRIA,VA,22314,,,2024-11-21,156808.62,,DIGITAL FUNDRAISING AND CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4069,,,ORG,CONVERT DIGITAL LLC,,,,,,130 NORTH FAYETTE STREET,,ALEXANDRIA,VA,22314,,,2024-10-11,71467.99,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4070,,,ORG,CONVERT DIGITAL LLC,,,,,,130 NORTH FAYETTE STREET,,ALEXANDRIA,VA,22314,,,2024-10-11,59382.57,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4050,,,ORG,EUPORIE LLC,,,,,,60-53 72ND STREET,,MASPETH,NY,11378,,,2024-10-29,30000.00,,FUNDRAISING AND STRATEGIC CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4051,,,ORG,INTUIT,,,,,,2700 COAST AVE.,,MOUNTAIN VIEW,CA,94043,,,2024-10-23,99.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4052,,,ORG,INTUIT,,,,,,2700 COAST AVE.,,MOUNTAIN VIEW,CA,94043,,,2024-11-25,99.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4053,,,ORG,JEFFERSONIAN PROJECT DBA ALEC ACTION,,,,,,2733 CRYSTAL DR,SUITE 1000,ARLINGTON,VA,22202,,,2024-10-22,7500.00,,CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4071,,,ORG,LOGAN CIRCLE GROUP,,,,,,5500 MILITARY TRAIL,STE 22-399,JUPITER,FL,33458,,,2024-10-04,248582.64,,NON-FEDERAL MAILERS AND TEXTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4072,,,ORG,LOGAN CIRCLE GROUP,,,,,,5500 MILITARY TRAIL,STE 22-399,JUPITER,FL,33458,,,2024-10-16,53251.52,,NON-FEDERAL MAILERS AND TEXTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4054,,,ORG,SAGE ADVISORY GROUP LLC,,,,,,7816 ROSE GARDEN LANE,,SPRINGFIELD,VA,22153,,,2024-10-31,4000.00,,ACCOUNTING SERVICES,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4055,,,ORG,SAGE ADVISORY GROUP LLC,,,,,,7816 ROSE GARDEN LANE,,SPRINGFIELD,VA,22153,,,2024-10-31,8.69,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4041,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-10-17,45791.03,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4042,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-10-21,48212.59,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4043,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-10-28,24266.04,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4044,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-10-28,17561.00,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4045,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-11-01,21586.98,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4046,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-11-04,21335.46,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4047,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-11-08,22440.61,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4048,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-11-15,18616.15,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4049,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-11-22,8980.67,,"FUNDRAISING CONSULTING, AGENCY FEES",,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4058,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-11-25,32720.32,,ONLINE DONATION PROCESSING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4073,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22209,,,2024-10-16,15536.35,,ONLINE DONATION PROCESSING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
