form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00630632,SB.74,,,ORG,INTUIT,,,,,,4055 CORPORATE DRIVE STE 100,,GRAPEVINE,TX,76051,,,2023-04-03,631.30,,SUBSCRIPTIONS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.16,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-04-20,82.16,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.73,,,ORG,ARENA LLC,,,,,,1260 STRINGHAM AVE #400,,SALT LAKE CITY,UT,84106,,,2023-04-20,2385.00,,PRINTING/POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.1,,,ORG,BB&T,,,,,,2200 WILSON BLVD STE 100,,ARLINGTON,VA,22209,,,2023-04-21,60.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.2,,,ORG,BB&T,,,,,,2200 WILSON BLVD STE 100,,ARLINGTON,VA,22209,,,2023-04-21,15.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.5,,,ORG,COMPLIANCE CONSULTING CO OF VA LLA,,,,,,PO BOX 365,,MCLEAN,VA,22101,,,2023-04-21,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.17,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-04-24,272.43,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.18,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-04-25,121.84,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.19,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-04-26,601.52,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.76,,,ORG,NORTH COUNTRY STRATEGIES LLC,,,,,,123 YORK AVENUE,,SARATOGA SPRINGS,NY,12866,,,2023-04-27,8637.19,,TRAVEL/FOOD/BEVERAGES/PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.20,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-02,26.61,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.52,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,TYSONS CORNER,VA,22182,,,2023-05-02,500.00,,DATABASE MANAGEMENT SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.65,,,ORG,CAPITAL HOUSE CONSULTING LLC,,,,,,579 LENAPE COURT,,SUFFERN,NY,10901,,,2023-05-03,2610.76,,FINANCE CONSULTING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.53,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,TYSONS CORNER,VA,22182,,,2023-05-03,250.00,,DATABASE MANAGEMENT SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.21,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-04,18.17,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.22,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-08,83.45,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.23,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-09,50.53,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.24,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-10,55.28,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.75,,,IND,,CORTESE,WILLIAM,,,JR,226 5TH STREET SE APT 101,,WASHINGTON,DC,20003,,,2023-05-12,957.04,,TRAVEL- MILEAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SBUV-456,SB.75,SB21B,ORG,MARRIOTT,,,,,,59 W 49TH STREET,,NEW YORK,NY,10036,,,2023-05-12,324.98,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00630632,SB.25,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-12,56.55,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.72,,,ORG,BLACK DOG CONSULTING LLC,,,,,,4611 3RD STREET S,,ARLINGTON,VA,22204,,,2023-05-12,544.93,,PRINTING/FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.26,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-16,5.93,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.27,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-18,86.74,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.6,,,ORG,COMPLIANCE CONSULTING CO OF VA LLA,,,,,,PO BOX 365,,MCLEAN,VA,22101,,,2023-05-18,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.28,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-22,41.52,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.3,,,ORG,BB&T,,,,,,2200 WILSON BLVD STE 100,,ARLINGTON,VA,22209,,,2023-05-22,15.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.49,,,ORG,GOLD STRAT LLC,,,,,,17517 EDINBURGH DRIVE,,TAMPA,FL,33647,,,2023-05-22,1350.00,,DATA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.29,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-23,84.98,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.30,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-24,825.28,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.58,,,ORG,MASON STRATEGIES LLC,,,,,,219 E HOWELL AVENUE,,ALEXANDRIA,VA,22301,,,2023-05-24,5143.10,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.31,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-26,262.23,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.32,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-31,15.99,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.33,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-05-31,458.92,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.34,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-01,229.31,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.54,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,TYSONS CORNER,VA,22182,,,2023-06-02,750.00,,DATABASE MANAGEMENT SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.35,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-05,335.77,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.50,,,ORG,GOLD STRAT LLC,,,,,,17517 EDINBURGH DRIVE,,TAMPA,FL,33647,,,2023-06-05,1350.00,,DATA CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.55,,,ORG,NORTH COUNTRY STRATEGIES LLC,,,,,,123 YORK AVENUE,,SARATOGA SPRINGS,NY,12866,,,2023-06-05,27994.91,,FACILITY RENTAL/CATERING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.36,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-07,400.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.37,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-09,204.65,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.38,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-13,1211.25,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.61,,,ORG,CAPITAL HOUSE CONSULTING LLC,,,,,,579 LENAPE COURT,,SUFFERN,NY,10901,,,2023-06-13,2500.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.60,,,ORG,COLADA CONSULTING LLC,,,,,,1603 CAPITOL AVE SUITE 310 A276,,CHEYENNE,WY,82001,,,2023-06-13,10800.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.59,,,ORG,MASON STRATEGIES LLC,,,,,,219 E HOWELL AVENUE,,ALEXANDRIA,VA,22301,,,2023-06-13,6174.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.64,,,ORG,MASON STRATEGIES LLC,,,,,,219 E HOWELL AVENUE,,ALEXANDRIA,VA,22301,,,2023-06-13,5174.13,,FINANCE CONSULTING/DELIVERY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.71,,,ORG,WILEY REIN LLP,,,,,,PO BOX 800,,NEWARK,NJ,07101,,,2023-06-13,5000.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.39,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-14,2880.90,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.70,,,IND,,SLEEM,EYAD,,,,1102 KINGSLEY PLACE APT B,,CORAM,NY,11727,,,2023-06-15,500.00,,INTERN STIPEND,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.40,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-15,20.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.66,,,ORG,CAPITAL HOUSE CONSULTING LLC,,,,,,579 LENAPE COURT,,SUFFERN,NY,10901,,,2023-06-15,8225.22,,FINANCE CONSULTING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.41,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-20,80.60,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.42,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-21,136.60,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.4,,,ORG,BB&T,,,,,,2200 WILSON BLVD STE 100,,ARLINGTON,VA,22209,,,2023-06-21,15.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.43,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-23,1450.86,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.44,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-27,838.40,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.45,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-28,302.10,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.46,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-29,120.60,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.68,,,IND,,CORTESE,WILLIAM,,,JR,226 5TH STREET SE APT 101,,WASHINGTON,DC,20003,,,2023-06-30,5134.27,,FINANCE CONSULTING/TRAVEL- MILEAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.47,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-30,1676.97,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.48,,,ORG,ANEDOT,,,,,,1920 MCKINNEY AVE 7TH FLOOR,,DALLAS,TX,75201,,,2023-06-30,522.58,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.67,,,ORG,CAPITAL HOUSE CONSULTING LLC,,,,,,579 LENAPE COURT,,SUFFERN,NY,10901,,,2023-06-30,6022.00,,FINANCE CONSULTING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.69,,,ORG,COLADA CONSULTING LLC,,,,,,1603 CAPITOL AVE SUITE 310 A276,,CHEYENNE,WY,82001,,,2023-06-30,7814.80,,FINANCE CONSULTING/TRAVEL/FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.7,,,ORG,COMPLIANCE CONSULTING CO OF VA LLA,,,,,,PO BOX 365,,MCLEAN,VA,22101,,,2023-06-30,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.62,,,ORG,MASON STRATEGIES LLC,,,,,,219 E HOWELL AVENUE,,ALEXANDRIA,VA,22301,,,2023-06-30,1869.06,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.56,,,ORG,NORTH COUNTRY STRATEGIES LLC,,,,,,123 YORK AVENUE,,SARATOGA SPRINGS,NY,12866,,,2023-06-30,23469.07,,FACILITY RENTAL/CATERING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00630632,SB.63,,,ORG,TRAILMAPPER INC,,,,,,17 DEPOT STREET,,CONCORD,NH,03301,,,2023-06-30,3760.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
