form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00439646,EB5263,,,ORG,Crummitt & Associates Inc.,,,,,,249 E. Ocean Blvd. #670,,Long Beach,CA,90802,,,2023-08-22,994.50,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5269,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-08,33.68,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5259,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-09,29.55,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5336,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-10,83.30,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5260,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-14,65.35,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5270,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-15,31.74,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5264,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-17,17.35,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5335,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-18,12.10,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5271,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-21,41.51,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5281,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-22,56.23,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5280,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-23,1.63,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5284,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-24,1.63,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5282,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-25,1.18,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5283,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-25,3.64,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5286,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-28,2.75,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5285,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-29,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5292,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-30,8.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5293,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-31,5.00,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5294,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-01,0.95,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5296,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-06,13.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5298,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-12,2.88,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5311,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-18,1.23,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5312,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-20,4.72,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5348,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-21,45.50,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5318,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-22,9.22,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5331,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-27,9.27,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5332,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-28,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5333,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-09-29,1.00,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5337,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-02,15.84,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5342,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-03,5.95,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5341,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-04,5.47,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5340,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-05,8.12,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5350,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-18,6.23,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5360,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-19,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5359,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-20,3.02,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5358,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-23,7.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5356,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-25,4.82,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5371,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-26,2.75,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5370,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-27,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5458,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-10-31,2.78,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5385,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-07,2.87,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5386,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-09,2.88,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5392,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-14,6.41,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5389,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-16,115.00,,Chargeback - Michael Kaufman,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5442,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-22,10.92,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5430,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-27,4.82,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5443,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-28,2.75,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5448,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-11-30,7.07,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5479,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-01,5.00,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5477,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-04,0.95,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5449,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-05,0.95,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5451,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-06,4.88,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5452,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-08,2.88,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5478,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-18,1.23,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5466,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-20,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5467,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-22,10.92,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5468,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-27,6.39,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5471,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-12-29,1.78,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5309,,,IND,,Pierce,Linda Lang,,,,"305 East Bay Ave., #1",,Newport Beach,CA,92661,,,2023-09-21,400.00,,Website,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5104,,,ORG,University Synagogue,,,,,,3400 Michelson Dr.,,Irvine,CA,92612,,,2023-08-02,740.00,,Facility Rental,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5383,,,ORG,University Synagogue,,,,,,3400 Michelson Dr.,,Irvine,CA,92612,,,2023-11-07,587.50,,Facility Rental,001,,,,,,,,,,,,,,,,,,,
