form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770214,SB21B.I26306,,,ORG,BREWHOUSE INN & SUITES,,,,,,1215 N 10TH ST,,MILWAUKEE,WI,53205,,,2024-06-27,15303.40,,LODGING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26293,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-13,454.22,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26294,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-14,375.61,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26295,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-15,371.00,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26296,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-16,318.44,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26297,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-17,386.21,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26298,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-18,367.95,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26299,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-19,551.02,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26300,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-20,260.17,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26301,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-21,338.53,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26302,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-22,274.94,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26303,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-23,327.02,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26304,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-24,332.38,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26447,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-25,514.41,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26448,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-26,362.41,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26449,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-27,672.15,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26450,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-28,439.57,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26451,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-29,250.67,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I26452,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-30,687.52,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
