form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.208080,,,PAC,ACTION NC,,,,,,5500 EXECUTIVE CENTER DRIVE,SUITE 234,CHARLOTTE,NC,28212,,,2024-10-18,50000.00,,contribution,,C90016759,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208145,,,ORG,Colonial Printing,,,,,,2997 S Howell Ave,,Milwaukee,WI,53207,,,2024-10-29,2699.66,,printed lit for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208585,,,ORG,Colonial Printing,,,,,,2997 S Howell Ave,,Milwaukee,WI,53207,,,2024-10-29,663.57,,printed lit for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208143,,,PTY,Colorado Working Families Party IE Committee,,,,,,77 Sands Street,,Brooklyn,NY,11201,,,2024-10-22,100000.00,,contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208584,,,ORG,Community Labor Administrative Services,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-11-20,675.00,,phone banking for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208068,,,ORG,Deliver Strategies,,,,,,4301 Fairfax Drive,,Arlington,VA,22203,,,2024-10-22,11868.49,,postcards for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208112,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-17,2300.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208111,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-22,750.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208110,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-23,750.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208109,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-24,863.29,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208108,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-25,750.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208107,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-28,2369.64,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208106,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-29,1000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208104,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-31,750.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208105,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-10-31,750.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208103,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-11-01,1000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208102,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-11-04,2250.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208101,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-11-05,750.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208100,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-11-06,500.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208451,,,ORG,Firefighers Print and Design,,,,,,1780 Creedside Oaks Drive,,Sacramento,CA,95833,,,2024-10-21,2053.25,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208076,,,IND,,Godinez,Joel Jr,,,,2005 N. 23rd St,,Phoenix,AZ,85006,,,2024-11-15,1500.00,,video production for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208062,,,IND,,gonzalez,Noemi,,,,2322 N 13th Street,,Phoenix,AZ,85006,,,2024-10-31,3400.00,,graphic design for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208115,,,ORG,House of Print and Thread LLC,,,,,,11890 Old Baltimore Pike,,Beltsville,MD,20705,,,2024-10-28,5436.86,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208069,,,ORG,J&R Printing,,,,,,638 W Indian School Rd,,Phoenix,AZ,85013,,,2024-10-23,2030.00,,printed literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208402,,,IND,,Martinez,Claudio,,,,2136 North Prospect Ave,,Milwaukee,WI,53202,,,2024-11-25,1550.00,,Graphic Design for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208148,,,ORG,Movement Labs LLC,,,,,,2045 W Grand Ave,Ste B 31638,Chicago,IL,60612,,,2024-10-17,10000.00,,texting for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208049,,,ORG,Movement Labs LLC,,,,,,2045 W Grand Ave,Ste B 31638,Chicago,IL,60612,,,2024-11-01,22600.00,,texting for non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208071,,,ORG,Native Broadcast Enterprise,,,,,,PO Box 2569 Window Rock,,Window Rock,AZ,86515,,,2024-10-21,20008.56,,radio ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208057,,,ORG,Nepantla Strategies,,,,,,525 Silver Ave,,Albuquerque,NM,87102,,,2024-11-20,25717.83,,canvass for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208114,,,ORG,Nepantla Strategies,,,,,,525 Silver Ave,,Albuquerque,NM,87102,,,2024-11-20,29940.60,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208448,,,ORG,Nepantla Strategies,,,,,,525 Silver Ave,,Albuquerque,NM,87102,,,2024-11-20,11959.74,,canvass for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208060,,,ORG,Neta Collab LLC,,,,,,564 Saint Johns Place,,New York,NY,19958,,,2024-11-13,4000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208061,,,ORG,Neta Collab LLC,,,,,,564 Saint Johns Place,,New York,NY,19958,,,2024-11-14,20000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208150,,,ORG,Pelican Print,,,,,,3930 Flagstone Ct,,Florissant,MO,63033,,,2024-10-17,38899.10,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208151,,,ORG,Pelican Print,,,,,,3930 Flagstone Ct,,Florissant,MO,63033,,,2024-11-05,37060.53,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208152,,,COM,Portland voter Guide PAC,,,,,,321 SE 20th Ave,,Portlant,OR,97202,,,2024-10-31,2500.00,,contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208154,,,COM,Progressive Voice for Oregon,,,,,,po Box 42307,,Portland,OR,97242,,,2024-10-31,2500.00,,contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208149,,,PAC,RAILROADERS FOR PUBLIC SAFETY,,,,,,1090 COUNTY ROAD 75,,HEMINGFORD,NE,69348,,,2024-10-25,40000.00,,contribution,,C00854893,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208155,,,ORG,Red Cypress,,,,,,1456 N Prieur St,,New Prleans,LA,70116,,,2024-10-31,45000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208456,,,ORG,Red Horse Strategies,,,,,,55 Washington St,,Brooklyn,NY,11201,,,2024-10-28,89970.96,,mail and digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208157,,,ORG,reverbal communications,,,,,,5113 Sudbury Way,,Madison,WI,53714,,,2024-11-07,3300.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208116,,,IND,,Rosario,David,,,,2100 SW 8th St,,Maimi,FL,33135,,,2024-10-23,675.00,,graphic design for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208147,,,ORG,Rosemont Capitol Consulting LLC,,,,,,40 Miller Hill Rd,,Osage,WV,26543,,,2024-11-14,2000.00,,consulting on non-federal campaigns,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208058,,,COM,Rural Arizona Action,,,,,,381 Central Ave,,Coolage,AZ,85128,,,2024-11-14,25000.00,,canvass for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208064,,,ORG,SB Digital,,,,,,2010 Massachusettes Ave,,Washington,DC,20036,,,2024-10-22,80000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208074,,,ORG,Scale to Win,,,,,,13742 Harper Street,,Santa Ana,CA,92703,,,2024-11-20,873.04,,texting for non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208159,,,ORG,Scale to Win,,,,,,13742 Harper Street,,Santa Ana,CA,92703,,,2024-11-20,5343.79,,texting for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208160,,,ORG,The Law Offices of Fallon F. McClure LLC,,,,,,4644 Powder Springs Dallas Rd,,Powder Springs,GA,30127,,,2024-10-22,10604.26,,consulting on non-federal campaigns,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208162,,,ORG,The Law Offices of Fallon F. McClure LLC,,,,,,4644 Powder Springs Dallas Rd,,Powder Springs,GA,30127,,,2024-11-21,10000.00,,consulting on non-federal campaigns,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208070,,,ORG,Union Print Shop,,,,,,49 S Sycamore St,,Mesa,AZ,85202,,,2024-11-15,8000.00,,printed literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208164,,,ORG,Verafast,,,,,,20545 Center Ridge Rd,300,Rocky River,OH,44116,,,2024-10-24,4063.00,,phone banks for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208163,,,ORG,Verafast,,,,,,20545 Center Ridge Rd,300,Rocky River,OH,44116,,,2024-11-08,6686.10,,phone banks for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208165,,,ORG,Wells Print and Digital Service,,,,,,PO Box 1744,,Madison,WI,53701,,,2024-10-29,3646.82,,printed literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208113,,,ORG,With The Ranks,,,,,,206 N Ferguson Ave,,Cookeville,TN,38501,,,2024-11-21,1615.84,,texting for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208440,,,ORG,With The Ranks,,,,,,206 N Ferguson Ave,,Cookeville,TN,38501,,,2024-11-21,1960.20,,texting for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208167,,,ORG,working Famililes Party of Oregon,,,,,,PO Box 38,,Woodburn,OR,97071,,,2024-11-04,65660.76,,contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208169,,,ORG,Working for a Better Portland,,,,,,PO Box 42307,,Portland,OR,97242,,,2024-11-04,5000.00,,contribution,,,,,,,,,,,,,,,,,,,,
