form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00828251,SB21B.4578,,,ORG,9Seven Consuling LLC,,,,,,PO Box 183,,Hudson,WI,54016,,,2023-02-14,389.95,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4580,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-02-01,99.00,,Credit Card Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4468,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-02-07,69.69,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4475,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-02-16,1.97,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4614,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-03-02,99.00,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4607,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-03-10,104.64,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4608,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-03-26,27.52,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4609,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-03-28,14.57,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4610,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-03-31,8.09,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4769,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-04-03,99.00,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4611,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-04-05,29.67,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4679,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-04-07,26.97,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4680,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-04-19,154.55,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4681,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-04-26,23.11,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4777,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-05-01,99.00,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4683,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-05-02,1.19,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4682,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-05-11,422.44,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4684,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-05-14,26.98,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4685,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-05-21,5.39,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4821,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-06-01,99.00,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4811,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-06-08,56.64,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4792,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-06-15,13.49,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4798,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-06-22,5.39,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4808,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-06-29,0.39,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
