form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763227,SB21B.I22577,,,ORG,"AMH PRINT GROUP, LLC",,,,,,P.O. BOX 518,,MECHANICSVILLE,VA,23111,,,2024-02-22,4666.12,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22603,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-03-14,6480.00,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22604,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-03-21,1058.27,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22605,,,ORG,IMAGE DIRECT,,,,,,"200 MONROE AVENUE, BUILDING 4",,FREDERICK,MD,21701,,,2024-01-18,4004.95,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22606,,,ORG,IMAGE DIRECT,,,,,,"200 MONROE AVENUE, BUILDING 4",,FREDERICK,MD,21701,,,2024-02-01,11837.16,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22607,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-01-04,22905.51,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22608,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-01-03,12003.34,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22609,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-02-01,8991.58,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22610,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-02-08,6000.00,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22611,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-02-12,10109.31,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22612,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-02-15,9769.03,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22613,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-02-22,6184.33,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22614,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-02-29,3857.07,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22615,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-03-21,2861.62,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22616,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2024-01-02,615.25,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22617,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2024-01-03,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22618,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2024-02-01,141.11,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22619,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2024-03-05,146.01,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22688,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2024-03-31,0.01,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22620,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-02-01,6571.35,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22621,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-02-15,5470.42,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22622,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-02-29,3124.24,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22623,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-01-04,2311.49,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22624,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-01-11,1404.20,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22625,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-02-01,3455.71,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22626,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-02-15,1665.92,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22627,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-02-22,1738.69,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22628,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-02-29,1795.04,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22629,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-03-21,316.22,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22630,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2024-03-28,1352.31,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22631,,,ORG,RST MARKETING,,,,,,1272 CORPORATE PARK DRIVE,,FOREST,VA,24551,,,2024-01-11,10254.73,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22632,,,ORG,RST MARKETING,,,,,,1272 CORPORATE PARK DRIVE,,FOREST,VA,24551,,,2024-01-18,10264.99,,DIRECT MAIL SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22576,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-03-31,2054.43,,FUNDRAISING FEES,,,,,,,,,,,,,  ,,,,,,,
