form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00793687,500078660,,,ORG,Momentum Campaign,,,,,,1835 7Th St NW,# 272,Washington,DC,200013107,,,2024-12-19,2323.70,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078674,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-12-31,11.06,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078665,,,ORG,Tatango,,,,,,600 Stewart St,Ste 400,Seattle,WA,981011217,,,2024-12-17,131.44,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078685,,,ORG,NGP VAN Inc,,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2024-11-29,2320.61,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078666,,,ORG,Tatango,,,,,,600 Stewart St,Ste 400,Seattle,WA,981011217,,,2024-12-30,131.44,0.00,Text Messaging Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078676,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-11-26,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078686,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-12-09,68.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078677,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-11-27,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078668,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-11-30,43.60,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078678,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-12-03,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078659,,,ORG,Digital Strategy Group,,,,,,4234 8Th St NW,,Washington,DC,200117206,,,2024-11-27,1000.00,0.00,Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078669,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2024-12-01,13.41,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00793687,500078679,,,ORG,Bank Of America,,,,,,201 Pennsylvania Ave SE,,Washington,DC,200031107,,,2024-12-03,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
