form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00544387,SB21B.8882,,,ORG,Amy N Haab dba Amy's Bookkeeping Edge LLC,,,,,,3277 Beneva Rd,Unit 102,Sarasota,FL,34232,,,2024-11-04,175.00,,Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8863,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-22,2.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8862,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-24,0.70,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8861,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-10-31,40.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8860,,,ORG,"Anedot, Inc.",,,,,,"Third Street, Suite 2B",,Baton Rouge,LA,70801,,,2024-11-22,2.30,,Platform Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8833,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-18,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8872,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-21,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8873,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-22,75.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8874,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-28,75.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8875,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-29,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8876,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-31,75.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8877,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-11-01,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8878,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-11-04,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8879,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-11-08,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8880,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-11-18,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8885,,,ORG,"Evolving Strategies, LLC",,,,,,6015 Overlea Rd,,Bethesda,MD,208162453,,,2024-10-22,216258.00,,Research and Data Collection Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8897,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2024-11-08,23450.92,,Fundraising Event,003,,,,,,,,,,,,,,,,,,,
