form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00760108,SB21B.6263,,,ORG,"D&D EVENTS, INC.",,,,,,2026 KIMBERLY DR,,MOUNT JULIET,TN,37122,,,2024-05-30,4398.41,,CATERING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6290,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-23,563.42,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6291,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-26,985.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6292,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-04-30,0.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6293,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-01,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6294,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-09,9.85,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6295,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-10,394.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6296,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-16,0.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6297,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-17,197.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6298,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-23,98.50,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6299,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-24,197.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6300,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-28,98.50,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6301,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-29,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6302,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-30,78.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6303,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-05-31,433.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6304,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-03,555.54,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6305,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-04,394.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6306,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-05,78.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6307,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-06,208.82,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6308,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-07,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6309,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-10,78.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6310,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-11,197.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6311,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-12,275.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6312,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-13,543.72,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6313,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-14,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6314,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-17,248.22,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6315,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-18,0.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6316,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-20,260.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6317,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-24,591.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6318,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-25,492.50,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6319,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-26,39.40,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6320,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD SUITE 530,,ARLINGTON,VA,22219,,,2024-06-27,985.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00760108,SB21B.6321,,,ORG,"ZDB GROUP, INC",,,,,,1417 COLUMBUS BLVD,,CORAL GABLES,FL,33134,,,2024-05-22,1250.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
