form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00509463,SB21B.6500,,,ORG,"Angerholzer Broz Consulting, LLC",,,,,,499 South Capitol Street SW,Suite 420,Washington,DC,20003,,,2023-06-20,58.30,,Consulting Fees and Rimbursed Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6458,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-06-06,19.07,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6457,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-06-22,228.83,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6455,,,ORG,GoDaddy,,,,,,14455 N. Hayden Rd,"#219,",Scottsdale,AZ,85260,,,2023-06-29,84.79,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6482,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-02-01,38.16,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6481,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-02-02,127.20,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6498,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-02-02,24.95,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6479,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-03-01,38.16,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6480,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-03-01,127.20,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6499,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-03-02,25.33,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6477,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-03-27,38.16,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6476,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-04-03,127.20,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6478,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-04-03,25.33,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6474,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-05-01,127.20,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6475,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-05-01,38.16,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6473,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-05-02,24.96,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6472,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-06-02,127.20,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6491,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-06-02,38.16,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6492,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-06-02,24.96,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00509463,SB21B.6510,,,ORG,Perkins Coie,,,,,,1201 Third Avenue,40th Floor,Seattle,WA,98101,,,2023-01-10,12730.50,,Legal Fees,,,,,,,,,,,,,,,,,,,,
