form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00873893,SB21B.1043509,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-12-31,638.92,,MERCHANT FEES
SB21B,C00873893,SB21B.1039500,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-11-26,473.18,,MERCHANT FEES
SB21B,C00873893,SB21B.1039506,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-11-27,305.96,,MERCHANT FEES
SB21B,C00873893,SB21B.1039931,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70113,,,2024-11-29,664.21,,MERCHANT FEES
SB21B,C00873893,SB21B.1042228,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-16,102.60,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042398,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-17,535.76,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042623,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-19,72.88,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042804,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-19,741.58,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043127,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-23,1502.88,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043147,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-23,1238.94,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043385,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-24,276.95,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043405,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-26,126.96,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043455,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-27,47.06,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043617,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-30,37.49,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043866,,,ORG,APEX STRATEGIES LLC,,,,,,907 CHURCH STREET,,ALEXANDRIA,VA,22314,,,2024-12-31,631.78,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041049,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-05,272.69,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041269,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-06,369.30,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041449,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-09,194.52,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041555,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-10,991.77,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041731,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-11,6604.11,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042142,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-13,7239.11,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042229,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-16,2219.12,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042399,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-17,801.22,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042624,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-19,2117.64,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042805,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-19,1980.08,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043128,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-23,2727.50,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043148,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-23,3089.09,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043386,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-24,3459.30,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043406,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-26,4027.17,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043456,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-27,924.40,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043618,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-30,836.62,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043867,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-12-31,2049.96,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1040942,,,ORG,AUTHORIZE.NET,,,,,,P.O. BOX 8999,,SAN FRANCISCO,CA,94128,,,2024-12-03,118.10,,MERCHANT FEES
SB21B,C00873893,SB21B.1040837,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-05,703.14,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041050,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-05,394.74,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041270,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-06,46.17,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041450,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-09,4435.40,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041556,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-10,11556.29,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041732,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-11,15153.10,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042143,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-13,8434.37,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042230,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-16,668.10,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042400,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-17,2717.13,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042625,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-19,6305.25,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042806,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-19,2810.05,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043129,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-23,5141.53,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043149,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-23,4599.34,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043387,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-24,3464.82,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043407,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-26,3055.76,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043457,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-27,7466.32,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043619,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-30,2494.37,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043868,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA SUITE 201,PMB 927,ST. THOMAS,VI,00802,,,2024-12-31,3607.05,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042231,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-16,1405.43,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042401,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-17,286.56,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042626,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-19,772.75,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042807,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-19,429.04,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043130,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-23,500.71,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043150,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-23,222.25,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043388,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-24,488.00,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043408,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-26,1166.76,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043458,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-27,443.82,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043620,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-30,177.81,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043869,,,ORG,"CAMPAIGN DATA GROUP, LLC",,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-12-31,526.58,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1040413,,,ORG,CAMPAIGN NUCLEUS LLC,,,,,,3593 MEDINA RD #110,,MEDINA,OH,44256,,,2024-12-04,27000.00,,FUNDRAISING SOFTWARE
SB21B,C00873893,SB21B.1038600,,,ORG,"DIRECTSND, LLC",,,,,,4141 BUTTERFIELD RD,,CEDAR FALLS,IA,50613,,,2024-12-04,500000.00,,SMS ADVERTISING
SB21B,C00873893,SB21B.1041051,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-05,172.77,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041271,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-06,167.19,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041451,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-09,133.24,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041557,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-10,875.05,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041733,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-11,2187.92,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042144,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-13,808.47,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042232,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-16,124.04,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042402,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-17,830.15,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042627,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-19,803.93,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042808,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-19,121.60,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043131,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-23,311.06,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043151,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-23,523.46,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043389,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-24,548.24,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043409,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-26,572.16,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043459,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-27,55.44,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043621,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-30,39.66,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1043870,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,,,2024-12-31,78.43,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1040215,,,ORG,DYSPATCHIT EMAIL AND TEXT SERVICES,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,,2024-12-04,3152.70,,EMAIL SERVICES
SB21B,C00873893,SB21B.1040838,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-05,1625.66,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041052,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-05,1582.00,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041272,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-06,490.44,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041452,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-09,2731.89,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041558,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-10,3499.04,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1041734,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-11,8613.39,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042145,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-13,6497.48,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042233,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-16,4585.10,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042403,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-17,5460.51,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042628,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-19,13681.55,,FUNDRAISING FEES
SB21B,C00873893,SB21B.1042809,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-12-19,4767.19,,FUNDRAISING FEES
