form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21b,C00030809,DB21b.2228,,,ORG,CLOVER,,,,,,PO Box 2394,,Omaha,NE,68103,,,2024-11-04,9.95,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2186,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-10-24,4.25,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2187,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-10-25,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2188,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-10-27,4.25,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2189,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-10-31,1.40,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2191,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-25,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2192,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-01,3.68,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2193,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-02,1.40,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2194,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-03,6.40,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2195,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-04,3.35,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2196,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-05,6.00,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2197,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-06,3.90,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2198,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-08,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2199,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-09,7.75,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2200,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-12,6.40,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2201,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-14,8.75,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2202,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-15,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2203,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-16,6.10,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2204,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-17,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2205,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-18,4.35,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2206,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-19,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2207,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-20,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2208,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-21,2.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2209,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-22,3.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2210,,,ORG,SNOWBALL,,,,,,5600 Wyoming Blvd NE,#270,Albuquerque,NM,87109,,,2024-11-24,4.25,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2165,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-29,42.21,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2166,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-28,90.43,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2167,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-27,286.33,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2168,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-26,243.03,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2169,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-25,10.50,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2213,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-08,5.80,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2214,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-19,220.84,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2215,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-20,641.44,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2216,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-21,83.70,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2217,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-22,15.20,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2218,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-24,11.30,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2219,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-25,31.30,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2230,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-23,2.80,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2231,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-22,1.75,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2232,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-21,14.36,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2233,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-20,5.02,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2234,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-11-09,1.75,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2235,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-29,0.70,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2236,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-28,2.80,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21b,C00030809,DB21b.2237,,,ORG,STRIPE,,,,,,354 Oyster Point Boulevard,,San Francisco,CA,94080,,,2024-10-27,3.15,0.00,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
