form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763227,SB21B.I22420,,,ORG,"AMH PRINT GROUP, LLC",,,,,,P.O. BOX 518,,MECHANICSVILLE,VA,23111,,,2023-08-24,5866.85,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22455,,,ORG,DIRECT MAIL PROCESSORS,,,,,,1150 CONRAD COURT,,HAGERSTOWN,MD,21740,,,2023-10-26,4838.11,,CAGING AND ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22468,,,ORG,DIRECT MAIL PROCESSORS,,,,,,1150 CONRAD COURT,,HAGERSTOWN,MD,21740,,,2023-11-02,4724.90,,CAGING AND ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22476,,,ORG,DIRECT MAIL PROCESSORS,,,,,,1150 CONRAD COURT,,HAGERSTOWN,MD,21740,,,2023-11-22,4829.02,,CAGING AND ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22497,,,ORG,DIRECT MAIL PROCESSORS,,,,,,1150 CONRAD COURT,,HAGERSTOWN,MD,21740,,,2023-12-21,9479.21,,CAGING AND ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22387,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-07-06,599.16,,STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22401,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-07-27,997.84,,STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22414,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-08-17,544.86,,STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22431,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-09-07,2116.83,,STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22456,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-10-26,1699.42,,STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22481,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2023-11-30,2280.21,,STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I663,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-08-03,1000.00,,COMPLIANCE CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I664,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-07-10,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I666,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-08-16,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I675,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-09-01,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I680,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-10-02,1232.14,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I681,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-10-31,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I684,,,ORG,ELECTION CFO,,,,,,PO BOX 26141,,ALEXANDRIA,VA,22313,,,2023-11-30,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22384,,,ORG,EPIC PAY,,,,,,9300 WADE BLVD,SUITE 200,FRISCO,TX,75035,,,2023-07-05,770.88,,CC PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22408,,,ORG,EPIC PAY,,,,,,9300 WADE BLVD,SUITE 200,FRISCO,TX,75035,,,2023-08-02,600.05,,CC PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22425,,,ORG,EPIC PAY,,,,,,9300 WADE BLVD,SUITE 200,FRISCO,TX,75035,,,2023-09-05,984.09,,CC PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22443,,,ORG,EPIC PAY,,,,,,9300 WADE BLVD,SUITE 200,FRISCO,TX,75035,,,2023-10-02,890.00,,CC PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22467,,,ORG,EPIC PAY,,,,,,9300 WADE BLVD,SUITE 200,FRISCO,TX,75035,,,2023-11-02,769.37,,CC PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22488,,,ORG,EPIC PAY,,,,,,9300 WADE BLVD,SUITE 200,FRISCO,TX,75035,,,2023-12-04,754.40,,CC PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22402,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-07-27,1505.11,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22411,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-08-04,7189.83,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22415,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-08-17,1795.58,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22419,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-08-18,15900.59,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22429,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-09-01,2072.91,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22432,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-09-07,3723.89,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22436,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-09-11,8852.55,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22448,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-10-06,10929.51,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22457,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-10-26,3365.48,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22462,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-10-27,3804.98,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22469,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-11-02,5216.56,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22477,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-11-22,5216.56,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22482,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-11-30,3172.57,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22496,,,ORG,FULFILLMENT HOUSE,,,,,,"22880 GLENN DRIVE, SUITE 120",,STERLING,VA,20164,,,2023-12-20,11064.92,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22498,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-12-21,3212.65,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22503,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,44970 FALCON PLACE,SUITE 400,STERLING,VA,20166,,,2023-12-22,10152.79,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22388,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-07-06,4320.00,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22398,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-07-20,242.57,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22403,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-07-27,9699.00,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22416,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-08-17,12362.14,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22421,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-08-24,4591.73,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22433,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-09-07,8645.08,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22444,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-10-05,11607.00,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22451,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-10-19,13554.00,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22458,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-10-26,11548.66,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22470,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-11-02,2700.00,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22478,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-11-22,3602.02,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22483,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-11-30,6268.86,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22489,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-12-07,8900.00,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22491,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-12-14,10000.00,,MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22499,,,ORG,HSP DIRECT LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-12-21,2415.29,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22437,,,ORG,IMAGE DIRECT,,,,,,"200 MONROE AVENUE, BUILDING 4",,FREDERICK,MD,21701,,,2023-09-20,7492.21,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22449,,,ORG,IMAGE DIRECT,,,,,,"200 MONROE AVENUE, BUILDING 4",,FREDERICK,MD,21701,,,2023-10-06,14628.30,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22450,,,ORG,IMAGE DIRECT,,,,,,"200 MONROE AVENUE, BUILDING 4",,FREDERICK,MD,21701,,,2023-10-16,22120.75,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22454,,,ORG,IMAGE DIRECT,,,,,,"200 MONROE AVENUE, BUILDING 4",,FREDERICK,MD,21701,,,2023-10-20,5102.51,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22393,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-07-07,1031.49,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22397,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-07-17,5710.40,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22412,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-08-07,20000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22413,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-08-09,16150.45,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22438,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-09-20,63215.67,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22445,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-10-05,11746.61,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22452,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-10-19,2947.16,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22459,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-10-26,10000.00,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22463,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-10-30,14909.46,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22471,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-11-02,4317.57,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22473,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-11-15,28511.59,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22474,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-11-17,10792.59,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22475,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-11-20,7789.05,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22490,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-12-07,6000.00,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22492,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-12-14,2000.00,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22495,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-12-18,10952.92,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22500,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2023-12-21,6000.00,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22424,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2023-09-05,221.03,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22466,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,1101 PROFESSIONAL COURT,,HAGERSTOWN,MD,21740,,,2023-11-03,240.90,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22389,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-07-06,2423.54,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22404,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-07-27,5123.38,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22434,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-09-07,5314.47,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22446,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-10-05,6603.47,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22460,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-10-26,3552.06,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22479,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-11-22,5215.10,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22484,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-11-30,4337.55,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22493,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-12-14,5868.46,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22501,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-12-21,2622.54,,MAILING LIST,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22390,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-07-06,2979.40,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22405,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-07-27,296.92,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22417,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-08-17,1486.82,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22435,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-09-07,3702.64,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22447,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-10-05,305.13,,DATA: MAIL LIST PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22461,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-10-26,3350.36,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22480,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-11-22,4341.05,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22485,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-11-30,2552.86,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
