form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00685297,500460473,,,CCM,ALLYSON FOR CONGRESS,,,,,,PO Box 1813,,Tustin,CA,927811813,P2024,,2023-09-22,5000.00,0.00,Contribution,,C00841072,,,DAMIKOLAS,ALLYSON,,,,H,CA,40,,,,,,,,
SB23,C00685297,500460736,,,CCM,Becca Balint For Vermont,,,,,,PO Box 291,,Burlington,VT,054020291,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00797175,,,BALINT,REBECCA BECCA,,,,H,VT,01,,,,,,,,
SB23,C00685297,500464963,,,CCM,Becca Balint For Vermont,,,,,,PO Box 291,,Burlington,VT,054020291,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00797175,,,BALINT,REBECCA BECCA,,,,H,VT,01,,,,,,,,
SB23,C00685297,500482049,,,CCM,Becca Balint For Vermont,,,,,,PO Box 291,,Burlington,VT,054020291,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00797175,,,BALINT,REBECCA BECCA,,,,H,VT,01,,,,,,,,
SB23,C00685297,500483627,,,PAC,BIDEN VICTORY FUND,,,,,,430 S Capitol St SE,,Washington,DC,200034024,,,2023-12-28,100000.00,0.00,Contribution,,C00744946,BIDEN VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00685297,500460775,,,CCM,Bonamici For Congress,,,,,,PO Box 1632,,Beaverton,OR,970751632,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00500421,,,BONAMICI,SUZANNE,,,,H,OR,01,,,,,,,,
SB23,C00685297,500460737,,,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY LOUISE MS.,,,,H,CO,07,,,,,,,,
SB23,C00685297,500460783,,,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00685297,500464966,,,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00685297,500460474,,,CCM,CHRISTINA BOHANNAN FOR CONGRESS,,,,,,PO Box 722,,Iowa City,IA,522440722,P2024,,2023-09-22,5000.00,0.00,Contribution,,C00787820,,,BOHANNAN,CHRISTINA,,,,H,IA,02,,,,,,,,
SB23,C00685297,500464984,,,CCM,CITIZENS FOR ELEANOR HOLMES NORTON,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00244335,,,NORTON,ELEANOR,HOLMES,,,H,DC,00,,,,,,,,
SB23,C00685297,500460738,,,CCM,CORI BUSH FOR CONGRESS,,,,,,75 N Oaks Plz,,Saint Louis,MO,631212911,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00638767,,,BUSH,CORI,,,,H,MO,01,,,,,,,,
SB23,C00685297,500482057,,,CCM,CORI BUSH FOR CONGRESS,,,,,,75 N Oaks Plz,,Saint Louis,MO,631212911,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00638767,,,BUSH,CORI,,,,H,MO,01,,,,,,,,
SB23,C00685297,500460739,,,CCM,Debbie Dingell For Congress,,,,,,19855 Outer Dr,Ste 103,Dearborn,MI,481242022,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00558213,,,DINGELL,DEBBIE,,,,H,MI,12,,,,,,,,
SB23,C00685297,500460547,,,CCM,DEBBIE FOR FLORIDA,,,,,,PO Box 432250,,South Miami,FL,332432250,P2024,,2023-09-22,5000.00,0.00,Contribution,,C00848648,,,MUCARSEL-POWELL,DEBBIE,,,,S,FL,00,,,,,,,,
SB23,C00685297,500460742,,,CCM,Debbie Wasserman Schultz For Congress,,,,,,1071 Twin Branch Ln,,Weston,FL,333262828,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00385773,,,WASSERMAN SCHULTZ,DEBBIE,,,,H,FL,23,,,,,,,,
SB23,C00685297,500465011,,,CCM,Debbie Wasserman Schultz For Congress,,,,,,1071 Twin Branch Ln,,Weston,FL,333262828,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00385773,,,WASSERMAN SCHULTZ,DEBBIE,,,,H,FL,23,,,,,,,,
SB23,C00685297,500482098,,,CCM,Debbie Wasserman Schultz For Congress,,,,,,1071 Twin Branch Ln,,Weston,FL,333262828,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00385773,,,WASSERMAN SCHULTZ,DEBBIE,,,,H,FL,23,,,,,,,,
SB23,C00685297,500460744,,,CCM,Deborah Ross For Congress,,,,,,PO Box 28258,,Raleigh,NC,276118258,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,
SB23,C00685297,500465000,,,CCM,Deborah Ross For Congress,,,,,,PO Box 28258,,Raleigh,NC,276118258,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,
SB23,C00685297,500482089,,,CCM,Deborah Ross For Congress,,,,,,PO Box 28258,,Raleigh,NC,276118258,P2024,,2023-12-14,500.00,0.00,Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,
SB23,C00685297,500482090,,,CCM,Deborah Ross For Congress,,,,,,PO Box 28258,,Raleigh,NC,276118258,G2024,,2023-12-14,500.00,0.00,Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,
SB23,C00685297,500464888,,,CCM,EHASZ FOR CONGRESS,,,,,,1800 Byberry Rd,Unit 1336,Bensalem,PA,190204747,P2024,,2023-10-30,5000.00,0.00,Contribution,,C00791335,,,EHASZ,ASHLEY,,,,H,PA,01,,,,,,,,
SB23,C00685297,500465004,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,PO Box 4145,,East Lansing,MI,488264145,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00834218,,,SLOTKIN,ELISSA,,,,S,MI,00,,,,,,,,
SB23,C00685297,500464975,,,CCM,Elizabeth Pannill Fletcher For Congress,,,,,,3262 Westheimer Rd,# 636,Houston,TX,770981002,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00640045,,,FLETCHER,ELIZABETH,,,,H,TX,07,,,,,,,,
SB23,C00685297,500460746,,,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,,
SB23,C00685297,500465008,,,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,,
SB23,C00685297,500482095,,,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,,
SB23,C00685297,500460781,,,CCM,FOUSHEE FOR CONGRESS,,,,,,PO Box 16446,,Chapel Hill,NC,275166446,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00794727,,,FOUSHEE,VALERIE,,,,H,NC,06,,,,,,,,
SB23,C00685297,500464976,,,CCM,FOUSHEE FOR CONGRESS,,,,,,PO Box 16446,,Chapel Hill,NC,275166446,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00794727,,,FOUSHEE,VALERIE,,,,H,NC,06,,,,,,,,
SB23,C00685297,500465013,,,CCM,FREDERICA S. WILSON FOR CONGRESS,,,,,,413 New Jersey Ave SE,,Washington,DC,200034007,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00460055,,,WILSON,FREDERICA,S.,,,H,FL,24,,,,,,,,
SB23,C00685297,500460747,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO Box 1487,,Waterbury,CT,067211487,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00685297,500464982,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO Box 1487,,Waterbury,CT,067211487,P2024,,2023-10-31,500.00,0.00,Contribution,,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00685297,500464983,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO Box 1487,,Waterbury,CT,067211487,G2024,,2023-10-31,500.00,0.00,Contribution,,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00685297,500482100,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO Box 1487,,Waterbury,CT,067211487,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00685297,500482069,,,CCM,Friends Of Lizzie Fletcher,,,,,,PO Box 33079,,Washington,DC,200330079,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00815621,,,Fletcher,Elizabeth,,,,H,TX,07,,,,,,,,
SB23,C00685297,500464992,,,CCM,Friends Of Lucy McBath,,,,,,375 Rockbridge Rd NW,Ste 172-255,Lilburn,GA,300476070,P2024,,2023-10-31,500.00,0.00,Contribution,,C00672295,,,MCBATH,LUCIA KAY MS.,KAY,,,H,GA,06,,,,,,,,
SB23,C00685297,500464993,,,CCM,Friends Of Lucy McBath,,,,,,375 Rockbridge Rd NW,Ste 172-255,Lilburn,GA,300476070,G2024,,2023-10-31,500.00,0.00,Contribution,,C00672295,,,MCBATH,LUCIA KAY MS.,KAY,,,H,GA,06,,,,,,,,
SB23,C00685297,500482081,,,CCM,Friends Of Lucy McBath,,,,,,375 Rockbridge Rd NW,Ste 172-255,Lilburn,GA,300476070,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00672295,,,MCBATH,LUCIA KAY MS.,KAY,,,H,GA,06,,,,,,,,
SB23,C00685297,500482067,,,CCM,Friends Of Rosa Delauro,,,,,,340 Orange St,,New Haven,CT,065116425,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00238865,,,DELAURO,ROSA L,,,,H,CT,03,,,,,,,,
SB23,C00685297,500460472,,,CCM,GILLEN FOR NY,,,,,,PO Box 33079,,Washington,DC,200330079,P2024,,2023-09-22,5000.00,0.00,Contribution,,C00840165,,,GILLEN,LAURA,,,,H,NY,04,,,,,,,,
SB23,C00685297,500464889,,,CCM,GOROFF FOR CONGRESS,,,,,,PO Box 215,,East Setauket,NY,117330215,P2024,,2023-10-30,5000.00,0.00,Contribution,,C00852434,,,GOROFF,NANCY,,,,H,NY,01,,,,,,,,
SB23,C00685297,500464995,,,CCM,Grace For New York,,,,,,PO Box 656555,,Fresh Meadows,NY,113656555,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00516666,,,MENG,GRACE,,,,H,NY,06,,,,,,,,
SB23,C00685297,500465006,,,CCM,Haley Stevens For Congress,,,,,,33717 Woodward Ave,# 539,Birmingham,MI,480090913,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00638650,,,STEVENS,HALEY,,,,H,MI,11,,,,,,,,
SB23,C00685297,500482093,,,CCM,Haley Stevens For Congress,,,,,,33717 Woodward Ave,# 539,Birmingham,MI,480090913,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00638650,,,STEVENS,HALEY,,,,H,MI,11,,,,,,,,
SB23,C00685297,500460756,,,CCM,Jasmine For US,,,,,,PO Box 227235,,Dallas,TX,752227235,G2024,,2023-09-25,1000.00,0.00,Contribution,,C00795450,,,CROCKETT,JASMINE,,,,H,TX,30,,,,,,,,
SB23,C00685297,500464970,,,CCM,Jasmine For US,,,,,,PO Box 227235,,Dallas,TX,752227235,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00795450,,,CROCKETT,JASMINE,,,,H,TX,30,,,,,,,,
SB23,C00685297,500482064,,,CCM,Jasmine For US,,,,,,PO Box 227235,,Dallas,TX,752227235,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00795450,,,CROCKETT,JASMINE,,,,H,TX,30,,,,,,,,
SB23,C00685297,500483626,,,CCM,JESSICA MORSE FOR CONGRESS,,,,,,1079 Sunrise Ave,Ste B275,Roseville,CA,956617009,P2024,,2023-12-28,5000.00,0.00,Contribution,,C00650408,,,MORSE,JESSICA,,,,H,CA,04,,,,,,,,
SB23,C00685297,500460757,,,CCM,JUDY CHU FOR CONGRESS,,,,,,16633 VENTURA BLVD # 1008,,Encino,CA,914361856,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00458125,,,CHU,JUDY,,,,H,CA,27,,,,,,,,
SB23,C00685297,500464968,,,CCM,JUDY CHU FOR CONGRESS,,,,,,16633 VENTURA BLVD # 1008,,Encino,CA,914361856,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00458125,,,CHU,JUDY,,,,H,CA,27,,,,,,,,
SB23,C00685297,500482059,,,CCM,JUDY CHU FOR CONGRESS,,,,,,16633 VENTURA BLVD # 1008,,Encino,CA,914361856,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00458125,,,CHU,JUDY,,,,H,CA,27,,,,,,,,
SB23,C00685297,500482573,,,CCM,JULIE JOHNSON FOR CONGRESS,,,,,,PO Box 802765,,Dallas,TX,753802765,P2024,,2023-12-20,5000.00,0.00,Contribution,,C00843003,,,JOHNSON,JULIE,,,,H,TX,32,,,,,,,,
SB23,C00685297,500461705,,,CCM,Kathy Manning For Congress,,,,,,PO Box 41197,,Greensboro,NC,274041197,P2024,,2023-09-29,-500.00,0.00,Void Check 8/7/23. Lost in mail. Reissued 9.29.23,,C00662577,,,MANNING,KATHY,,,,H,NC,13,,,,,,,,
SB23,C00685297,500461706,,,CCM,Kathy Manning For Congress,,,,,,PO Box 41197,,Greensboro,NC,274041197,P2024,,2023-09-29,500.00,0.00,Reissued from 8/7/23,,C00662577,,,MANNING,KATHY,,,,H,NC,13,,,,,,,,
SB23,C00685297,500463220,,,CCM,Katie Porter For Senate,,,,,,PO Box 5176,,Irvine,CA,926165176,P2024,,2023-10-12,1000.00,0.00,Contribution,,C00831107,,,Porter,Katherine,,,,S,CA,00,,,,,,,,
SB23,C00685297,500464997,,,CCM,Katie Porter For Senate,,,,,,PO Box 5176,,Irvine,CA,926165176,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00831107,,,Porter,Katherine,,,,S,CA,00,,,,,,,,
SB23,C00685297,500482085,,,CCM,Katie Porter For Senate,,,,,,PO Box 5176,,Irvine,CA,926165176,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00831107,,,Porter,Katherine,,,,S,CA,00,,,,,,,,
SB23,C00685297,500465010,,,CCM,Lauren Underwood For Congress,,,,,,13400 S Route 59,Unit 116,Plainfield,IL,605855830,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00652719,,,UNDERWOOD,LAUREN,A,,,H,IL,14,,,,,,,,
SB23,C00685297,500482097,,,CCM,Lauren Underwood For Congress,,,,,,13400 S Route 59,Unit 116,Plainfield,IL,605855830,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00652719,,,UNDERWOOD,LAUREN,A,,,H,IL,14,,,,,,,,
SB23,C00685297,500463223,,,CCM,LISA BLUNT ROCHESTER FOR SENATE,,,,,,PO Box 9767,,Wilmington,DE,198090767,G2024,,2023-10-12,1000.00,0.00,Contribution,,C00843391,,,BLUNT ROCHESTER,LISA,,,,S,DE,00,,,,,,,,
SB23,C00685297,500482052,,,CCM,LISA BLUNT ROCHESTER FOR SENATE,,,,,,PO Box 9767,,Wilmington,DE,198090767,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00843391,,,BLUNT ROCHESTER,LISA,,,,S,DE,00,,,,,,,,
SB23,C00685297,500482096,,,CCM,Lori Trahan For Congress Committee,,,,,,PO Box 1161,,Lowell,MA,018531161,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00655647,,,TRAHAN,LORI,,,,H,MA,03,,,,,,,,
SB23,C00685297,500460761,,,CCM,MAD 4 PA PAC,,,,,,PO Box 444,,Glenside,PA,190380444,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00670844,,,DEAN,MADELEINE,,,,H,PA,04,,,,,,,,
SB23,C00685297,500464972,,,CCM,MAD 4 PA PAC,,,,,,PO Box 444,,Glenside,PA,190380444,P2024,,2023-10-31,500.00,0.00,Contribution,,C00670844,,,DEAN,MADELEINE,,,,H,PA,04,,,,,,,,
SB23,C00685297,500464973,,,CCM,MAD 4 PA PAC,,,,,,PO Box 444,,Glenside,PA,190380444,G2024,,2023-10-31,500.00,0.00,Contribution,,C00670844,,,DEAN,MADELEINE,,,,H,PA,04,,,,,,,,
SB23,C00685297,500487981,,,CCM,MARIE FOR CONGRESS,,,,,,PO Box 1164,,Washougal,WA,986710926,P2024,,2023-10-12,1000.00,0.00,Contribution,,C00806174,,,GLUESENKAMP PEREZ,MARIE,,,,H,WA,03,,,,,,,,
SB23,C00685297,500464980,,,CCM,MARIE FOR CONGRESS,,,,,,PO Box 1164,,Washougal,WA,986710926,P2024,,2023-10-31,500.00,0.00,Contribution,,C00806174,,,GLUESENKAMP PEREZ,MARIE,,,,H,WA,03,,,,,,,,
SB23,C00685297,500464981,,,CCM,MARIE FOR CONGRESS,,,,,,PO Box 1164,,Washougal,WA,986710926,G2024,,2023-10-31,500.00,0.00,Contribution,,C00806174,,,GLUESENKAMP PEREZ,MARIE,,,,H,WA,03,,,,,,,,
SB23,C00685297,500482073,,,CCM,MARIE FOR CONGRESS,,,,,,PO Box 1164,,Washougal,WA,986710926,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00806174,,,GLUESENKAMP PEREZ,MARIE,,,,H,WA,03,,,,,,,,
SB23,C00685297,500477830,,,CCM,MARLENE FOR CONGRESS,,,,,,7904 E Chaparral Rd,Ste A110-472,Scottsdale,AZ,852507370,P2024,,2023-10-30,5000.00,0.00,Contribution,,C00840751,,,GALAN-WOODS,MARLENE,,,,H,AZ,01,,,,,,,,
SB23,C00685297,500460806,,,CCM,MARY PELTOLA FOR ALASKA,,,,,,PO Box 210014,,Anchorage,AK,995210014,P2024,,2023-09-26,3000.00,0.00,Contribution,,C00812388,,,PELTOLA,MARY,,,,H,AK,01,,,,,,,,
SB23,C00685297,500482572,,,CCM,MCBRIDE FOR DELAWARE INC.,,,,,,PO Box 1904,,Wilmington,DE,198991904,P2024,,2023-12-20,5000.00,0.00,Contribution,,C00843763,,,MCBRIDE,SARAH,ELIZABETH,,,H,DE,00,,,,,,,,
SB23,C00685297,500460755,,,CCM,McClellan For Congress,,,,,,PO Box 818,,Richmond,VA,232180818,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00829812,,,McClellan,Jennifer,,,,H,VA,04,,,,,,,,
SB23,C00685297,500464994,,,CCM,McClellan For Congress,,,,,,PO Box 818,,Richmond,VA,232180818,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00829812,,,McClellan,Jennifer,,,,H,VA,04,,,,,,,,
SB23,C00685297,500482082,,,CCM,McClellan For Congress,,,,,,PO Box 818,,Richmond,VA,232180818,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00829812,,,McClellan,Jennifer,,,,H,VA,04,,,,,,,,
SB23,C00685297,500465005,,,CCM,Melanie For New Mexico,,,,,,PO Box 51493,,Albuquerque,NM,871811493,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00765099,,,STANSBURY,MELANIE,,,,H,NM,01,,,,,,,,
SB23,C00685297,500482092,,,CCM,Melanie For New Mexico,,,,,,PO Box 51493,,Albuquerque,NM,871811493,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00765099,,,STANSBURY,MELANIE,,,,H,NM,01,,,,,,,,
SB23,C00685297,500465012,,,CCM,"Nikema For Congress, Inc",,,,,,PO Box 311913,,Atlanta,GA,311311913,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00752584,,,WILLIAMS,NIKEMA NATASSHA,,,,H,GA,05,,,,,,,,
SB23,C00685297,500482055,,,CCM,Nikki For Congress,,,,,,PO Box 5171,,Springfield,IL,627055171,P2024,,2023-12-14,500.00,0.00,Contribution,,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,,
SB23,C00685297,500482056,,,CCM,Nikki For Congress,,,,,,PO Box 5171,,Springfield,IL,627055171,G2024,,2023-12-14,500.00,0.00,Contribution,,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,,
SB23,C00685297,500482083,,,CCM,PINGREE FOR CONGRESS,,,,,,PO Box 17613,,Portland,ME,041128613,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00433391,,,PINGREE,CHELLIE,M,,,H,ME,01,,,,,,,,
SB23,C00685297,500483631,,,CCM,ROBIN KELLY FOR CONGRESS,,,,,,PO Box 101199,,Chicago,IL,606108913,P2024,,2023-12-28,1000.00,0.00,Contribution,,C00539866,,,KELLY,ROBIN,,,,H,IL,02,,,,,,,,
SB23,C00685297,500460769,,,CCM,Sara Jacobs For Congress,,,,,,PO Box 120085,,San Diego,CA,921120085,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00719559,,,JACOBS,SARA,,,,H,CA,53,,,,,,,,
SB23,C00685297,500464986,,,CCM,Sara Jacobs For Congress,,,,,,PO Box 120085,,San Diego,CA,921120085,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00719559,,,JACOBS,SARA,,,,H,CA,53,,,,,,,,
SB23,C00685297,500482075,,,CCM,Sara Jacobs For Congress,,,,,,PO Box 120085,,San Diego,CA,921120085,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00719559,,,JACOBS,SARA,,,,H,CA,53,,,,,,,,
SB23,C00685297,500460768,,,CCM,Scanlon For Congress,,,,,,PO Box 263,,Swarthmore,PA,190810263,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00669358,,,SCANLON,MARY GAY,,,,H,PA,05,,,,,,,,
SB23,C00685297,500464979,,,CCM,Scanlon For Congress,,,,,,PO Box 263,,Swarthmore,PA,190810263,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00669358,,,SCANLON,MARY GAY,,,,H,PA,05,,,,,,,,
SB23,C00685297,500460752,,,CCM,Schakowsky For Congress,,,,,,PO Box 5130,,Evanston,IL,602045130,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00327023,,,SCHAKOWSKY,JANICE,D,,,H,IL,09,,,,,,,,
SB23,C00685297,500465002,,,CCM,Schakowsky For Congress,,,,,,PO Box 5130,,Evanston,IL,602045130,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00327023,,,SCHAKOWSKY,JANICE,D,,,H,IL,09,,,,,,,,
