form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00797340,SB21B.6538,,,IND,,Burt,Martha,,,,127 E. Lupita Road,,Santa Fe,NM,87505,,,2023-09-25,371.00,,In-kind - ,,,,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.6537,,,IND,,Bustamante,Phyllis,,,,125 Lovato Lane,,Santa Fe,NM,87505,,,2023-09-25,382.50,,In-kind - ,,,,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.6643,,,IND,,Bustamante,Phyllis,,,,125 Lovato Lane,,Santa Fe,NM,87505,,,2023-09-25,235.00,,In-kind - ,,,,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7009,,,ORG,Constant Contact,,,,,,1601 Tupelo Rd,,Waltham,MA,02421,P2024,,2023-07-12,153.79,,email,,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7017,,,ORG,Constant Contact,,,,,,1601 Tupelo Rd,,Waltham,MA,02421,P2024,,2023-08-12,153.79,,email,001,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7021,,,ORG,Constant Contact,,,,,,1601 Tupelo Rd,,Waltham,MA,02421,P2024,,2023-09-12,153.79,,email,001,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7041,,,ORG,Constant Contact,,,,,,1601 Tupelo Rd,,Waltham,MA,02421,P2024,,2023-11-12,80.61,,email,001,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7049,,,ORG,Constant Contact,,,,,,1601 Tupelo Rd,,Waltham,MA,02421,P2024,,2023-12-12,80.61,,email,001,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.6591,,,IND,,Davis,Shirley,,,,"3045 Buena Vida Cir, Apt 112",,Las Cruces,NM,88011,,,2023-09-25,459.00,,In-kind - ,,,,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7031,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,P2024,,2023-10-23,458.92,,Advertising,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7046,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,P2024,,2023-11-23,42.97,,advertising,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7025,,,ORG,Foundation Blue Media,,,,,,325 P St NW Unit 103,,Washington,DC,20001,P2024,,2023-09-28,5000.00,,Ads,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7060,,,ORG,Heart of the Desert,,,,,,7288 Highway 54/70,,Alamogordo,NM,88310,P2024,,2023-12-26,253.91,,Fundraising,003,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7029,,,ORG,Israel Chavez Law,,,,,,P.O Box 16028,,Las Cruces,NM,88004,P2024,,2023-10-16,1500.00,,Legal services,001,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7023,,,ORG,Lindmark Outdoor Media,,,,,,2700 Technology Pl,,Norman,OK,73072,P2024,,2023-09-20,1117.37,,Billboards,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7012,,,IND,,Parker,Richard,,,,4015 Roxbury Drive,,El Paso,TX,79922,P2024,,2023-07-17,5000.00,,scriptwriter,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7038,,,ORG,Printer's Press,,,,,,3831 Hawkins St NE,,Albuquerque,NM,87109,P2024,,2023-10-27,2061.15,,Post cards,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.6567,,,IND,,Stern,Ivy,,,,648 Granada Street,,Santa Fe,NM,87501,,,2023-09-25,943.50,,In-kind - ,,,,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.6690,,,IND,,Stern,Ivy,,,,648 Granada Street,,Santa Fe,NM,87501,,,2023-09-25,51.00,,In-kind - ,,,,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7026,,,ORG,U.S. Postal Service,,,,,,111 Alvarado Dr SE,,Albuquerque,NM,87108,P2024,,2023-09-28,612.00,,postage,004,C00797340,BLUE CD2 NEW MEXICO USA,,,,,,,,,,,,,,,,,
SB21B,C00797340,SB21B.7028,,,IND,,williams,rochelle,,,,614 7th St.,,Tularosa,NM,88352,P2024,,2023-10-13,500.00,,Reimursement for Dona Ana  breakfast event,004,,,,,,,,,,,,,,,,,,,
