form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00782664,SB23.4217,,,PAC,EIGHTEEN FIFTY-FOUR FUND,,,,,,1305 W 11TH ST,#213,HOUSTON,TX,77008,,,2024-06-06,50000.00,,FEDERAL CONTRIBUTION,,C00809483,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4232,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-05-10,500000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4233,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-05-16,400000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4234,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-05-22,500000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4235,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-05-28,500000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4227,,,PAC,SOUTH CAROLINA PATRIOTS PAC,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-05-31,200000.00,,FEDERAL CONTRIBUTION,,C00872085,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4240,,,PAC,VIRGINIANS FOR FREEDOM,,,,,,2465 CENTREVILLE RD.,NO J17-714,HERNDON,VA,20171,,,2024-04-01,100000.00,,FEDERAL CONTRIBUTION,,C00872119,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4241,,,PAC,VIRGINIANS FOR FREEDOM,,,,,,2465 CENTREVILLE RD.,NO J17-714,HERNDON,VA,20171,,,2024-04-12,50000.00,,FEDERAL CONTRIBUTION,,C00872119,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4239,,,PAC,VIRGINIANS FOR FREEDOM,,,,,,2465 CENTREVILLE RD.,NO J17-714,HERNDON,VA,20171,,,2024-04-24,325000.00,,FEDERAL CONTRIBUTION,,C00872119,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4242,,,PAC,VIRGINIANS FOR FREEDOM,,,,,,2465 CENTREVILLE RD.,NO J17-714,HERNDON,VA,20171,,,2024-04-26,340000.00,,FEDERAL CONTRIBUTION,,C00872119,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4237,,,PAC,VIRGINIA PATRIOTS FOR FREEDOM,,,,,,C/O BULLDOG COMPLIANCE,138 CONANT ST STE 401,BEVERLY,MA,01915,,,2024-06-12,40000.00,,FEDERAL CONTRIBUTION,,C00872200,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4244,,,PAC,"WFW ACTION FUND, INC.",,,,,,"700 12TH STREET, NW",SUITE 700,WASHINGTON,DC,20005,,,2024-05-10,80000.00,,FEDERAL CONTRIBUTION,,C00698936,,,,,,,,,,,,,,,,,,
SB23,C00782664,SB23.4245,,,PAC,"WFW ACTION FUND, INC.",,,,,,"700 12TH STREET, NW",SUITE 700,WASHINGTON,DC,20005,,,2024-05-16,80000.00,,FEDERAL CONTRIBUTION,,C00698936,,,,,,,,,,,,,,,,,,
