form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00235853,500501345,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Susanna Gibson)
SB21B,C00235853,500501346,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Kim Adams for Virginia)
SB21B,C00235853,500501347,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Nadarius Clark for Delegate)
SB21B,C00235853,500501348,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Phil for VA)
SB21B,C00235853,500501349,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Michael Feggans for Virginia)
SB21B,C00235853,500501350,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Danica Roem for Senate)
SB21B,C00235853,500501351,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Rodney Willett for Delegate)
SB21B,C00235853,500501352,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Cole for VA)
SB21B,C00235853,500501353,,,PAC,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-08-31,-54.80,0.00,draw 8/31/2023 draw from line 29,,C00235853,,,,,,,,,,,,,,,,,,(Friends of Kelly Fowler)
SB21B,C00235853,500499773,,,ORG,World Pay,,,,,,8500 Governors Hill Dr,,Symmes Twp,OH,452491384,,,2023-08-09,817.94,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
