form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00699785,B-271014,,,ORG,ANEDOT,,,,,,555 HILTON AVENUE,SUITE 106,BATON ROUGE,LA,70808,,,2023-12-31,3639.97,,MERCHANT FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276117,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-12-04,18.98,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276115,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-12-13,18.98,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276114,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-12-14,37.97,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276112,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-12-18,38.96,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276111,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-12-20,18.98,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276028,,,ORG,ATLANTIC UNION BANK,,,,,,2300 WILSON BLVD,SUITE 100,ARLINGTON,VA,22201,,,2023-07-18,25.20,,BANK CHARGES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276162,,,ORG,AVENDI SZABO,,,,,,,,,,,,,2023-09-21,300.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276108,,,ORG,BASTIAT CREATIVE,,,,,,1601 ASHBERRY DRIVE,,AUSTIN,TX,78723,,,2023-08-07,537.13,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276105,,,ORG,BASTIAT CREATIVE,,,,,,,,,,,,,2023-10-03,2949.38,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276078,,,ORG,BITWARDEN,,,,,,1 N CALLE CESAR CHAVEZ,,SANTA BARBARA,CA,93101,,,2023-07-20,324.00,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276160,,,ORG,BRITTANY FOR PA,,,,,,2265 SAND TRAP ROAD,,JAMISON,PA,18929,,,2023-10-06,200.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276077,,,ORG,DOMAIN 6 INC,,,,,,,,,,,,,2023-07-25,2780.00,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276063,,,ORG,DOMAIN 6 INC,,,,,,,,,,,,,2023-09-12,3255.00,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276045,,,ORG,DOMAIN 6 INC,,,,,,,,,,,,,2023-11-29,606.00,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276093,,,ORG,DRIP.COM,,,,,,700 VAN NESS AVENUE,,FRESNO,CA,93721,,,2023-07-11,457.92,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276090,,,ORG,DRIP.COM,,,,,,700 VAN NESS AVENUE,,FRESNO,CA,93721,,,2023-08-11,457.92,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276087,,,ORG,DRIP.COM,,,,,,700 VAN NESS AVENUE,,FRESNO,CA,93721,,,2023-09-11,457.92,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276085,,,ORG,DRIP.COM,,,,,,700 VAN NESS AVENUE,,FRESNO,CA,93721,,,2023-10-11,457.92,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276084,,,ORG,DRIP.COM,,,,,,700 VAN NESS AVENUE,,FRESNO,CA,93721,,,2023-11-21,457.92,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276083,,,ORG,DRIP.COM,,,,,,700 VAN NESS AVENUE,,FRESNO,CA,93721,,,2023-12-11,471.96,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276082,,,ORG,EZTEXTING.COM,,,,,,,,,,,,,2023-12-19,513.91,,DIGITAL MARKETING & STRATEGY CONSULTING,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276098,,,ORG,FEDERAL ELECTION COMMISSION,,,,,,1050 FIRST STREET NORTHEAST,,WASHINGTON,DC,20463,,,2023-08-29,350.00,,DUES & SUBSCRIPTIONS,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276094,,,ORG,FEDERAL ELECTION COMMISSION,,,,,,1050 FIRST STREET NORTHEAST,,WASHINGTON,DC,20463,,,2023-12-20,500.00,,DUES & SUBSCRIPTIONS,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276147,,,ORG,GIVE BUTTER,,,,,,,,,,,,,2023-12-26,1030.18,,FUNDRAISING EXPENSE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276104,,,ORG,GOLDBERG TAX SERVICES,,,,,,,,,,,,,2023-10-11,808.55,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276103,,,ORG,GOLDBERG TAX SERVICES,,,,,,,,,,,,,2023-11-20,105.68,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276102,,,ORG,GOLDBERG TAX SERVICES,,,,,,,,,,,,,2023-12-08,1485.00,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276101,,,ORG,GOLDBERG TAX SERVICES,,,,,,,,,,,,,2023-12-29,6300.00,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276170,,,ORG,GREG WOLL,,,,,,,,,,,,,2023-10-10,200.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276171,,,ORG,GREG WOLL,,,,,,,,,,,,,2023-10-10,200.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276180,,,IND,,HARRIS,AARON,,,,,,,,,,,2023-07-24,800.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276178,,,IND,,HARRIS,AARON,,,,,,,,,,,2023-08-28,400.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276176,,,IND,,HARRIS,AARON,,,,,,,,,,,2023-10-23,800.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276175,,,IND,,HARRIS,AARON,,,,,,,,,,,2023-11-20,400.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276174,,,IND,,HARRIS,AARON,,,,,,,,,,,2023-12-14,400.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276181,,,IND,,HEISE,MICHAEL,,,,,,,,,,,2023-07-05,2500.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276179,,,IND,,HEISE,MICHAEL,,,,,,,,,,,2023-07-31,2500.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276177,,,IND,,HEISE,MICHAEL,,,,,,,,,,,2023-08-31,2500.00,,SUBCONTRACTOR EXPENSE - POLITICAL STRATEGY,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276161,,,ORG,JEFFREY DOUGLAS,,,,,,,,,,,,,2023-10-03,300.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276154,,,ORG,JEFFREY DOUGLAS,,,,,,,,,,,,,2023-10-17,200.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276163,,,ORG,JUSTIN LACHAPPELLE,,,,,,,,,,,,,2023-09-19,300.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276156,,,ORG,KEITH REDLEAD,,,,,,,,,,,,,2023-10-13,500.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276080,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-07-05,419.76,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276079,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-07-11,0.01,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276073,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-08-07,419.76,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276072,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-08-09,0.01,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276066,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-09-05,419.76,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276064,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-09-11,0.01,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276059,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-10-06,419.76,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276058,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-10-10,0.01,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276047,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-11-27,419.76,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276039,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-12-05,419.76,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276038,,,ORG,MICROSOFT,,,,,,1 MICROSOFT WAY,,REDMOND,CA,98052,,,2023-12-11,3.05,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276081,,,ORG,OVH CLOUD US LLC,,,,,,11480 COMMERCE PARK DRIVE,SUITE 500,RESTON,VA,20191,,,2023-07-03,500.99,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276076,,,ORG,OVH CLOUD US LLC,,,,,,11480 COMMERCE PARK DRIVE,SUITE 500,RESTON,VA,20191,,,2023-08-02,500.99,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276065,,,ORG,OVH CLOUD US LLC,,,,,,11480 COMMERCE PARK DRIVE,SUITE 500,RESTON,VA,20191,,,2023-09-05,500.99,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276060,,,ORG,OVH CLOUD US LLC,,,,,,11480 COMMERCE PARK DRIVE,SUITE 500,RESTON,VA,20191,,,2023-10-03,500.99,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276050,,,ORG,OVH CLOUD US LLC,,,,,,11480 COMMERCE PARK DRIVE,SUITE 500,RESTON,VA,20191,,,2023-11-03,500.99,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276040,,,ORG,OVH CLOUD US LLC,,,,,,11480 COMMERCE PARK DRIVE,SUITE 500,RESTON,VA,20191,,,2023-12-04,500.99,,COMPUTER AND INTERNET EXPENSES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276148,,,ORG,RECTENWALD  FOR PRESIDENT,,,,,,,,,,,,,2023-12-01,5000.00,,POLITICAL CONTRIBUTIONS,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276109,,,ORG,RM WARNER LAW,,,,,,,,,,,,,2023-07-24,1500.00,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276107,,,ORG,RM WARNER LAW,,,,,,,,,,,,,2023-08-29,1500.00,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276106,,,ORG,RM WARNER LAW,,,,,,,,,,,,,2023-09-21,1858.50,,LEGAL & PROFESSIONAL FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276159,,,ORG,SAMANTHA BAKER,,,,,,,,,,,,,2023-10-06,300.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276152,,,ORG,SAMANTHA BAKER,,,,,,,,,,,,,2023-10-19,200.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276167,,,ORG,SCOTT HORTON MEDIA LLC,,,,,,612 WEST 34TH STREET,,AUSTIN,TX,78705,,,2023-09-14,5.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276144,,,ORG,SHOPIFY,,,,,,151 OCONNOR ST,OTTAWA ON CANADA,WASHINGTON,DC,20000,,,2023-07-27,41.34,,MERCHANDISE REVENUE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276164,,,ORG,TOMS 4 LEBANON,,,,,,,,,,,,,2023-07-10,300.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276169,,,ORG,TOMS 4 LEBANON,,,,,,,,,,,,,2023-10-10,200.00,,OTHER DISBURSEMENT-POLITICAL CONTRIBUTION,001,,,,,,,,,,,,,,,,,,,
