form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695163,SB21B.I15327,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2023-06-19,325.50,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13104,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-14,40.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13122,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-18,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13142,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-21,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13143,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-26,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13144,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-26,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13215,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-05-15,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13284,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-06-13,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13285,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-06-13,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15328,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-06-26,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12034,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2023-04-03,250.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13172,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2023-05-03,250.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13249,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,STE 400,TYSONS CORNER,VA,22182,,,2023-06-01,250.00,,JFC DATABASE SOFTWARE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15314,,,ORG,"COMPEL, LLC",,,,,,704 KINGSTON PLACE,,ALEXANDRIA,VA,22302,,,2023-06-26,30000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13099,,,ORG,HOLTZMAN VOGEL BARAN JOSEFIAK TORCHINSKY PLLC,,,,,,15405 JOHN MARSHALL HWY,,HAYMARKET,VA,20169,,,2023-04-17,300.00,,JFC LEGAL CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13211,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2023-05-15,-20.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15325,,,ORG,OLYMPIC MEDIA,,,,,,201 KING ST,STE 201,ALEXANDRIA,VA,22314,,,2023-06-26,188.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12060,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-04-05,10.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12093,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-04-13,3185.61,,JFC DIGITAL CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12095,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-04-10,19.70,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13101,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-04-17,39.25,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13138,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-04-24,23.70,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13157,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-04-28,85.90,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13161,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-05-01,15.50,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13194,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-05-08,89.54,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13198,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-05-15,2859.30,,JFC DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13207,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-05-15,241.88,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13222,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-05-22,290.97,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13232,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-05-29,116.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13262,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-05,253.53,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13276,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-12,315.25,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13278,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-12,7661.68,,JFC DIGITAL CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15293,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-19,181.67,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15323,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-26,106.95,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15361,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-29,640.12,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15376,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-30,31.80,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15380,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2023-06-30,18.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13124,,,ORG,PROFESSIONAL DATA SERVICES,,,,,,824 S MILLEDGE AVE,STE 101,ATHENS,GA,30605,,,2023-04-20,3320.69,,JFC COMPLIANCE CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12061,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-04-05,20.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13139,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-04-24,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13158,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-04-28,108.80,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13195,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-05-08,-32.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13209,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-05-15,-12.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13233,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-05-29,52.80,,JFC DIGITAL MARKETING ,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13263,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-06-05,303.20,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13277,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-06-12,2038.43,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15294,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-06-19,735.20,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15324,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-06-26,48.80,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15362,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-06-29,68.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15377,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-06-30,8.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13137,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-04-24,26.80,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13156,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-04-28,21.25,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13193,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-05-08,30.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13206,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-05-15,107.95,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13231,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-05-29,85.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15292,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-06-19,85.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15322,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2023-06-26,42.50,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12092,,,ORG,THE ARCHMANN GROUP,,,,,,101 MARKETSIDE AVE,STE 404,PONTE VEDRA,FL,32081,,,2023-04-13,6352.71,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13273,,,ORG,THE ARCHMANN GROUP,,,,,,101 MARKETSIDE AVE,STE 404,PONTE VEDRA,FL,32081,,,2023-06-08,15997.21,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15331,,,ORG,THE ARCHMANN GROUP,,,,,,101 MARKETSIDE AVE,STE 404,PONTE VEDRA,FL,32081,,,2023-06-23,1731.70,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15333,,,ORG,THE JAY ODOM GROUP LLC,,,,,,P.O. BOX 1735,,DESTIN,FL,32540,,,2023-06-10,2500.00,,JFC REFUND OF CONTRIBUTION,010,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13165,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA ST NW,,WASHINGTON,DC,20016,,,2023-05-03,2205.79,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13253,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA ST NW,,WASHINGTON,DC,20016,,,2023-06-05,2640.00,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15363,,,ORG,TMA DIRECT,,,,,,1900 RESTON METRO PLZ,STE 600,RESTON,VA,20190,,,2023-06-29,2746.00,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15378,,,ORG,TMA DIRECT,,,,,,1900 RESTON METRO PLZ,STE 600,RESTON,VA,20190,,,2023-06-30,32.80,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12062,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-04-05,4.35,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I12094,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-04-10,346.19,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13100,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-04-17,185.66,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13136,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-04-24,129.39,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13155,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-04-28,713.55,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13160,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-05-01,65.81,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13192,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-05-08,88.68,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13205,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-05-15,140.15,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13221,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-05-22,774.50,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13230,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-05-29,150.35,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13261,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-05,325.26,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13275,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-12,167.89,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15291,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-19,230.15,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15321,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-26,73.02,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15360,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-29,374.60,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15375,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-30,545.43,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15379,,,PAC,WINRED,,,,,,P.O. BOX 9891,,ARLINGTON,VA,22219,,,2023-06-30,7.71,,JFC CC TRANSACTION FEE,001,C00694323,,,,,,,,,,,  ,,,,,,,
