form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00779595,SB29001,,,ORG,Texans For Opportunity & Prosperity PAC,,,,,,138 Conant Street,,Beverly,MA,01915,,,2023-05-05,25000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29012,,,ORG,America Rising Corp.,,,,,,1500 Wilson Blvd,5th Floor,Arlington,VA,22209,,,2023-06-30,2025.00,,Non-federal Research; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29013,,,ORG,America Rising Corp.,,,,,,1500 Wilson Blvd,5th Floor,Arlington,VA,22209,,,2023-06-30,2025.00,,Non-federal Research; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29014,,,ORG,America Rising Corp.,,,,,,1500 Wilson Blvd,5th Floor,Arlington,VA,22209,,,2023-06-30,2025.00,,Non-federal Research; In-kinded to Spirit of Virginia,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29017,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,40000.00,,Non-federal Digital Advertising Placement; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29018,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,20000.00,,Non-federal Digital Advertising Placement; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29020,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,1770.00,,Non-federal Digital Advertising Production; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29021,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,885.00,,Non-federal Digital Advertising Production; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29022,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,4740.00,,Non-federal Digital Advertising Production,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29023,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,2166.67,,Non-federal Digital Advertising Production; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29024,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-06-30,4333.33,,Non-federal Digital Advertising Production; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29015,,,ORG,DT Client Services LLC,,,,,,1101 14th Street N.W.,,Washington,DC,20005,,,2023-06-30,425.18,,Non-federal Data Purchase; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29016,,,ORG,DT Client Services LLC,,,,,,1101 14th Street N.W.,,Washington,DC,20005,,,2023-06-30,850.35,,Non-federal Data Purchase; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29019,,,ORG,Spirit Of Virginia,,,,,,P.O. Box 3950,,Merrifield,VA,22116,,,2023-06-30,750000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
