form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00208249,SB29.17792,,,COM,American Dream PAC,,,,,,PO Box 105527,,Jefferson City,MO,65102,P2024,,2024-10-23,-1000.00,,Check 3990 issued 7/16/2024 never cashed and now voided,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17845,,,CCM,Friends for Rusty Cornwell,,,,,,441094 E 320 Rd,,Vinita,OK,74301,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17812,,,CCM,Friends For Travis Fitzwater,,,,,,PO Box 694,,Fulton,MO,65251,G2024,,2024-10-25,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17807,,,CCM,Friends Of Lane Roberts,,,,,,816 North Pearl Ave,,Joplin,MO,64801,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17810,,,CCM,Friends Of Rusty Black,,,,,,PO Box 768,,Chillicothe,MO,64601,G2024,,2024-10-25,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17847,,,CCM,Friends of Steve Bashore,,,,,,1025 McKinley St,,Miami,OK,74354,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17832,,,CCM,Hawkins for Kansas,,,,,,9406 Harvest Lane,,Wichita,KS,67212,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17796,,,CCM,Hope Duke for State Representative,,,,,,18172 West Highway 72,,Gravette,AR,72736,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17814,,,CCM,Hurlbert for Missouri,,,,,,19400 Diamond Ln,,Smithville,MO,64089,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17824,,,CCM,J. R. Claeys for Kansas Senate,,,,,,2157 Redhawk Lane,,Salina,KS,67401,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17808,,,CCM,jasonbeanforsenate.com,,,,,,PO Box 112,,Holcomb,MO,63852,G2024,,2024-10-25,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17838,,,CCM,Kellie Warren for Senate,,,,,,14505 Falmouth St.,,Leawood,KS,66224,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17822,,,CCM,Ken Collins for 2nd District Kansas State Representative,,,,,,102 E 1st Street,,Mulberry,KS,66756,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17794,,,CCM,Kenneth Ferguson for State Representative,,,,,,PO Box 5661,,Pine Bluff,AR,71611,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17833,,,CCM,Kloos for Kansas,,,,,,4728 SE Berryton Road,,Berryton,KS,66409,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17839,,,CCM,Leo Delperdang for Representative,,,,,,2103 N. Pintail,,Wichita,KS,67203,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17836,,,CCM,Marci Francisco for Kansas Senate,,,,,,1101 Ohio,,Lawrence,KS,66044,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17835,,,CCM,Mark Schreiber for Kansas House,,,,,,1722 Yucca lane,,Emporia,KS,66801,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17799,,,CCM,McCreery for Missouri,,,,,,41 Rye Ln,,St Louis,MO,63132,G2024,,2024-10-25,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17826,,,CCM,Mike Fagg for Kansas State Senate,,,,,,1810 Terrace Dr.,,El Dorado,KS,67042,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17795,,,CCM,Mike Holcomb for State Representative,,,,,,9108 Sulphur Springs Road,,Pine Bluff,AR,71603,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17829,,,CCM,Mike Petersen for Kansas Senate Campaign,,,,,,2608 Southeast Drive,,Wichita,KS,67216,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17793,,,CCM,Missourians for O'Laughlin,,,,,,1103 East Briggs Drive,,Macon,MO,63552,G2024,,2024-10-23,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17827,,,CCM,Pittman for Senate,,,,,,1108 S. Broadway,,Leavenworth,KS,66048,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17821,,,CCM,Shallenburger for Kansas Senate,,,,,,1538 Garfield,,Baxter Springs,KS,66713,G2024,,2024-10-25,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17801,,,CCM,The Seitz Conservative Coalition,,,,,,1805 Miller Dr,,Branson,MO,65616,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00208249,SB29.17834,,,CCM,Ty Masterson for Kansas,,,,,,1539 Phyllis Road,,Andover,KS,67002,G2024,,2024-10-25,250.00,,,,,,,,,,,,,,,,,,,,,,
