form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00364133,B852772,,,CCM,Friends of Laura Fine,,,,,,1700 Constitution Dr,,Glenview,IL,60026,P2026,,2023-08-16,300.00,,P-2026 State Senate 9 IL,011,,,,Fine,Laura,,,,S,IL,09,,,,,,,,
SB29,C00364133,B851118,,,CCM,Tim Barhorst for Ohio,,,,,,145 E. Rich Street Suite 100,,Columbus,OH,43215,P2024,,2023-07-18,1000.00,,P-2024 State House 85 OH,011,,,,Barhorst,Tim,,,,H,OH,85,,,,,,,,
SB29,C00364133,B851117,,,CCM,Friends of Susan Manchester,,,,,,P.O. Box 844,,Columbus,OH,43216,P2024,,2023-07-18,250.00,,P-2024 State Senate 12 OH,011,,,,Manchester,Susan,,,,S,OH,12,,,,,,,,
SB29,C00364133,B851116,,,CCM,Citizens for McColley,,,,,,15 Lemans Drive,,Napoleon,OH,43545,P2026,,2023-07-18,400.00,,P-2026 State Senate 1 OH,011,,,,Robert,McColley,,,,S,OH,01,,,,,,,,
SB29,C00364133,B852140,,,CCM,Tim Barhorst for Ohio,,,,,,145 E. Rich Street Suite 100,,Columbus,OH,43215,P2024,,2023-08-03,1000.00,,P-2024 State House 85 OH,011,,,,Barhorst,Tim,,,,H,OH,85,,,,,,,,
SB29,C00364133,B855059,,,CCM,Matt Huffman for Ohio,,,,,,P.O. Box 386,,Tiffin,OH,44883,P2024,,2023-09-19,1000.00,,P-2024 State Senate 12 OH,011,,,,Huffman,Matt,,,,S,OH,12,,,,,,,,
SB29,C00364133,B855060,,,CCM,Friends of Angie King,,,,,,145 E. Rich Street Suite 100,,Columbus,OH,43215,P2024,,2023-09-19,250.00,,P-2024 State House 84 OH,011,,,,King,Angie,,,,H,OH,84,,,,,,,,
SB29,C00364133,B855062,,,CCM,Lear for Liberty,,,,,,145 E. Rich Street Suite 100,,Columbus,OH,43215,P2024,,2023-09-19,250.00,,P-2024 State House 61 OH,011,,,,Lear,Beth,,,,H,OH,61,,,,,,,,
SB29,C00364133,B855061,,,CCM,Committee to Elect Melanie Miller,,,,,,145 E. Rich Street Suite 100,,Columbus,OH,43215,P2024,,2023-09-19,250.00,,P-2024 State House 67 OH,011,,,,Miller,Melanie,,,,H,OH,67,,,,,,,,
SB29,C00364133,B857606,,,PTY,Darke County Republican Party,,,,,,P.O. Box 45,,Greenville,OH,45331,O2023,Not Applicable,2023-09-27,400.00,,County Party Cmte,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B856176,,,CCM,Friends of Jerry Cirino,,,,,,8651 Kirtland-Chardon Road,,Kirtland,OH,44094,P2024,,2023-09-28,500.00,,P-2024 State Senate 18 OH,011,,,,Cirino,Jerry,,,,S,OH,18,,,,,,,,
SB29,C00364133,B857421,,,CCM,Committee to Elect Rodney Creech,,,,,,5062 Bantas Creek Rd.,,Alexandria,OH,45381,P2024,,2023-10-17,500.00,,P-2024 State House 40 OH,011,,,,Creech,Rodney,,,,H,OH,40,,,,,,,,
SB29,C00364133,B859675,,,CCM,Al Cutrona for Ohio,,,,,,P.O. Box 3412,,Youngstown,OH,44513,P2024,,2023-11-16,1000.00,,P-2024 State House 58 OH,011,,,,Cutrona,Al,,,,H,OH,58,,,,,,,,
SB29,C00364133,B859676,,,CCM,Citizens for McColley,,,,,,15 Lemans Drive,,Napoleon,OH,43545,P2026,,2023-11-16,500.00,,P-2026 State Senate 1 OH,011,,,,Robert,McColley,,,,S,OH,01,,,,,,,,
SB29,C00364133,B853810,,,CCM,Jessica Mangrum Campaign,,,,,,PO Box 50308,,Austin,TX,78763,P2024,,2023-09-05,500.00,,P-2024 District Court Judge 200 TX,011,,,,Mangrum,Jessica,,,,,TX,20,,,,,,,,
SB29,C00364133,B853809,,,CCM,Sherine Thomas for Judge,,,,,,3005 S. Lamar Building 109D #150,,Austin,TX,78704,G2023,,2023-09-05,1000.00,,G-2023 District Court Judge Travis TX,011,,,,Thomas,Sherine,,,,,TX, ,,,,,,,,
SB29,C00364133,B851119,,,ORG,Republican Governors Association,,,,,,1747 Pennsylvania Ave. NW #250,,Washington,DC,20005,O2023,Not Applicable,2023-07-18,10000.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B853822,,,ORG,Democratic Governors Association,,,,,,1225 Eye Street NW Ste 1100,,Washington,DC,20005,O2023,Not Applicable,2023-09-05,10000.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B855092,,,ORG,Republican Governors Association,,,,,,1747 Pennsylvania Ave. NW #250,,Washington,DC,20006,O2023,Not Applicable,2023-09-19,1000.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B855063,,,ORG,Democratic Governors Association,,,,,,1225 Eye Street NW Ste 1100,,Washington,DC,20005,O2023,Not Applicable,2023-09-19,10000.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B855064,,,ORG,Democratic Governors Association,,,,,,1225 Eye Street NW Ste 1100,,Washington,DC,20005,O2023,Not Applicable,2023-09-19,2500.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B856180,,,ORG,Republican Governors Association,,,,,,1747 Pennsylvania Ave. NW #250,,Washington,DC,20006,O2023,Not Applicable,2023-09-28,1000.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B859681,,,ORG,Republican Governors Association,,,,,,1747 Pennsylvania Ave. NW #250,,Washington,DC,20006,O2023,Not Applicable,2023-11-16,1000.00,,Association,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B853820,,,PTY,House Democratic Caucus,,,,,,1021 E. Cary Street Suite 1275,,Richmond,VA,23219,O2023,Not Applicable,2023-09-05,500.00,,Non-Federal Party Cmte,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B856177,,,CCM,Friends of Ian Lovejoy for Delegate,,,,,,8665 Sudley Rd. #195,,Manassas,VA,20110,G2023,,2023-09-28,500.00,,G-2023 State House 22 VA,011,,,,Lovejoy,Ian,,,,H,VA,22,,,,,,,,
SB29,C00364133,B856178,,,CCM,Segura for Virginia,,,,,,114 Duke Street,,Alexandria,VA,22314,G2023,,2023-09-28,500.00,,G-2023 State Senate 31 VA,011,,,,Segura,Juan Pablo,,,,S,VA,31,,,,,,,,
SB29,C00364133,B860966,,,CCM,Miyares for Virginia,,,,,,P.O. Box 3193,,Virginia Beach,VA,23451,P2025,,2023-11-30,1000.00,,P-2025 State Att. General  VA,011,,,,Miyares,Jason,,,,,VA, ,,,,,,,,
