form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00813170,SB21B.4416,,,ORG,Alaska Airlines,,,,,,17801 International Blvd,,Seattle,WA,98158,,,2024-01-15,520.82,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4422,,,ORG,Garden District,,,,,,1801 14th St NW,,Washington,DC,20009,,,2024-03-15,95.95,,Credit Card Memo Entry - Event catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4423,,,ORG,Garden District,,,,,,1801 14th St NW,,Washington,DC,20009,,,2024-03-17,221.10,,Credit Card Memo Entry - Event catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4414,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-01-08,90.70,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4419,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-03-11,39.42,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4413,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-01-08,13.92,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4415,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-01-10,47.98,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4418,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-02-02,62.93,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4425,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-03-29,33.15,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4426,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-03-29,33.94,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4411,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-01-05,339.01,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4417,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-01-30,539.10,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
