form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00528950,SB21B.7610,,,ORG,ActBlue Technical Services,,,,,,PO BOX 441146,,Somerville,MA,02144,,,2024-06-30,2554.71,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7585,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-05-01,194.49,,Online Data Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7599,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-06-03,194.62,,Online Data Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7581,,,ORG,Intuit,,,,,,"601 Pennsylvania Ave, NW",,Washington,DC,20004,,,2024-04-22,95.40,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7593,,,ORG,Intuit,,,,,,"601 Pennsylvania Ave, NW",,Washington,DC,20004,,,2024-05-20,95.40,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7604,,,ORG,Intuit,,,,,,"601 Pennsylvania Ave, NW",,Washington,DC,20004,,,2024-06-20,95.40,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7576,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-04-08,92000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7592,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-05-15,18000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7602,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-06-14,8095.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7608,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-06-26,8000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7586,,,ORG,Reasonable Tech Solutions Inc.,,,,,,101 E Chesapeake Ave,,Towson,MD,21286,,,2024-05-02,681.00,,Technology Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7598,,,ORG,Reasonable Tech Solutions Inc.,,,,,,101 E Chesapeake Ave,,Towson,MD,21286,,,2024-05-31,36.00,,Technology Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7578,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1025 Vermont Ave, NW",,Washington,DC,20005,,,2024-04-08,195.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7588,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1025 Vermont Ave, NW",,Washington,DC,20005,,,2024-05-02,220.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7597,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1025 Vermont Ave, NW",,Washington,DC,20005,,,2024-05-31,290.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7582,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-04-22,59.35,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7594,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-05-21,59.35,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7605,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-06-21,59.35,,Software,,,,,,,,,,,,,,,,,,,,
