form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00785899,SB29.5468,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-02-12,592.50,,Non-Contribution Account: Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5471.14,SB29.5471,SB29,ORG,Blacklane,,,,,,929 Colorado Ave,,Santa Monica,CA,90401,,,2024-01-22,479.28,,Transportation,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-01-24,17345.68,,Non-Contribution Account: Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5472.0,SB29.5472,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-24,822.60,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.1,SB29.5472,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-24,1223.60,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.2,SB29.5472,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-24,987.60,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.3,SB29.5472,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-24,77.58,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.4,SB29.5472,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-24,44.02,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.5,SB29.5472,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-24,20.76,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.6,SB29.5472,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-24,293.36,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.7,SB29.5472,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-24,497.99,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.8,SB29.5472,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-24,497.99,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.9,SB29.5472,SB29,ORG,American Airlines,,,,,,PO Box 619616,,Fort Worth,TX,75261,,,2024-01-24,2310.60,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.10,SB29.5472,SB29,ORG,Blacklane,,,,,,929 Colorado Ave,,Santa Monica,CA,90401,,,2024-01-24,475.00,,Transportation,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.11,SB29.5472,SB29,ORG,Avis Car Rental,,,,,,379 Interpace Parkway,,Parsippany,NJ,07054,,,2024-01-24,467.98,,Car Rental,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.13,SB29.5472,SB29,ORG,Eight4Nine Restaurant,,,,,,849 N Palm Canyon Dr,,Palm Springs,CA,92262,,,2024-01-24,1351.82,,Event Space & Catering,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.14,SB29.5472,SB29,ORG,Eight4Nine Restaurant,,,,,,849 N Palm Canyon Dr,,Palm Springs,CA,92262,,,2024-01-24,1651.82,,Event Space & Catering,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5472.15,SB29.5472,SB29,ORG,Back 2 the Cutting Board,,,,,,78205 Cortez Ln,,Indian Wells,CA,92210,,,2024-01-24,6590.00,,Event Catering,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5473,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-01-31,1250.00,,Non-Contribution Account: Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5473.0,SB29.5473,SB29,IND,,Orland,Michael,,,,11729 Kling St,,North Hollywood,CA,91607,,,2024-01-31,1250.00,,Event Entertainment,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5464,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-02-02,1500.00,,Non-Contribution Account: Consultant - Fundraising/Management,,,,,,,,,,,,,,,,,,,,
