form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00790790,EB3650,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2024-06-07,369.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3515,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-24,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3516,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-27,10.50,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3517,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-28,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3518,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-30,3.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3540,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-01,34.06,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3541,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-04,4.38,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3542,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-05,9.34,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3543,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-06,3.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3548,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-08,17.07,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3549,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-11,6.12,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3584,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-12,3.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3585,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-13,16.31,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3586,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-14,4.38,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3587,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-15,4.38,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3588,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-18,7.55,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3589,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-19,12.69,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3601,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-20,14.12,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3602,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-22,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3782,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-05-26,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3688,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-01,21.14,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3689,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-02,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3690,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-03,46.75,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3691,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-04,10.05,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3692,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-05,11.79,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3693,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-08,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3694,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-09,4.38,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3699,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-10,30.35,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3700,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-11,16.91,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3738,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-12,16.45,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3739,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-15,6.26,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3740,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-16,29.14,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3741,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-18,10.50,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3742,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-22,17.74,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3743,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-23,15.72,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3744,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-24,3.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3783,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-26,3.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3784,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-29,15.33,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3785,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-06-30,32.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
