form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00564260,EB2813,,,ORG,Alaska Airlines,,,,,,P.O. Box 68900,,Seattle,WA,98168,,,2023-08-07,318.50,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2831,,,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-12-04,24.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2601,,,ORG,Kieloch Consulting,,,,,,228 2nd Street SE,,Washington,DC,20003,,,2023-07-03,500.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2618,,,ORG,Kieloch Consulting,,,,,,228 2nd Street SE,,Washington,DC,20003,,,2023-08-01,500.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2667,,,ORG,Kieloch Consulting,,,,,,228 2nd Street SE,,Washington,DC,20003,,,2023-09-01,500.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2706,,,ORG,Kieloch Consulting,,,,,,228 2nd Street SE,,Washington,DC,20003,,,2023-10-02,500.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2716,,,ORG,Kieloch Consulting,,,,,,228 2nd Street SE,,Washington,DC,20003,,,2023-11-01,500.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2722,,,ORG,Kieloch Consulting,,,,,,228 2nd Street SE,,Washington,DC,20003,,,2023-12-01,500.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2734,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-07-03,136.20,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2602,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-07-06,318.00,,Fundraising Tools,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2745,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-08-02,308.16,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2797,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-09-05,2338.27,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2798,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-10-02,176.35,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2710,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-10-03,318.00,,Fundraising Tools,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2799,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-11-02,27.50,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2835,,,ORG,"NGP VAN, Inc.",,,,,,"655 15th Street NW, Suite 650",,Washington,DC,20005,,,2023-12-04,27.50,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2614,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2023-07-26,326.49,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2660,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2023-08-22,465.99,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2701,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2023-09-25,801.98,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2712,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2023-10-27,342.99,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2718,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2023-11-28,351.00,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2825,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2023-12-26,169.50,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,NB2709,,,IND,,Sterling,Joy,,,,9786 Ross Station Road,,Sebastopol,CA,95472,,,2023-08-08,1728.00,,Wine for event,,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2695,,,ORG,The Spinnaker,,,,,,100 Spinnaker Drive,,Sausalito,CA,94965,,,2023-09-06,2444.76,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
