form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00454074,B-3014172,,,ORG,Washington Intelligence Bureau,,,,,,4128 Pepsi Place,,Chantilly,VA,201511501,,,2023-03-30,740.92,,"Caging and Escrow, Shipping",003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014196,,,ORG,Wells Fargo Bank,,,,,,6930 Skyway,,Paradise,CA,959693908,,,2023-03-28,30.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014169,,,ORG,HSP Direct LLC,,,,,,20130 Lakeview Center Plaza,Suite 300,Ashburn,VA,20147,,,2023-03-30,918.70,,"Creative, Production and Management Fees",003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2972534,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,,,2023-03-01,2.37,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3002765,,,ORG,FLS Connect,,,,,,7300 Hudson Boulevard N,Suite 270,Saint Paul,MN,551287143,,,2023-03-28,15000.00,,Fundraising calling and mailing services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014164,,,ORG,"Fulfillment Solutions, Inc",,,,,,44970 Falcon Place,Suite 400,Sterling,VA,20166,,,2023-03-22,2826.54,,Postage and Delivery,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997680,,,ORG,Wells Fargo Bank,,,,,,6930 Skyway,,Paradise,CA,959693908,,,2023-03-07,30.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2982554,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,,San Diego,CA,92116,,,2023-03-05,1800.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014162,,,ORG,"Fulfillment Solutions, Inc",,,,,,44970 Falcon Place,Suite 400,Sterling,VA,20166,,,2023-03-10,14164.56,,Postage and Delivery,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997669,,,ORG,"Russo Marsh & Associates, Inc.",,,,,,3105 Fite Circle,Suite 108,Sacramento,CA,95827,,,2023-03-07,25000.00,,Strategic Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2957459,,,ORG,"ADP, Inc.",,,,,,55 South Lake Avenue,,Pasadena,CA,91101,,,2023-03-03,79.59,,Payroll Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2977543,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,,,2023-03-02,21.28,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014168,,,ORG,DonorBureau,,,,,,1900 N Culpeper Street,,Arlington,VA,222072003,,,2023-03-30,524.88,,Statistical Modeling,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014165,,,ORG,OnPoint Data Strategy LLC (fka: Sunrise Data Services),,,,,,20130 Lakeview Center Plaza,Suite 300,Ashburn,VA,20147,,,2023-03-23,315.27,,Donor Data and List Management,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014195,,,ORG,Wells Fargo Bank,,,,,,6930 Skyway,,Paradise,CA,959693908,,,2023-03-08,11.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014171,,,ORG,OnPoint Data Strategy LLC (fka: Sunrise Data Services),,,,,,20130 Lakeview Center Plaza,Suite 300,Ashburn,VA,20147,,,2023-03-30,939.64,,Donor Data and list Management,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997670,,,ORG,"Russo Marsh & Associates, Inc.",,,,,,3105 Fite Circle,Suite 108,Sacramento,CA,95827,,,2023-03-07,3832.84,,"Office Supplies, Online Services and Subscriptions",001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3002768,,,IND,,Phelps,Alexandra,,,,432 Clayhall Street,,Gaithersburg,MD,20878,,,2023-03-29,2000.00,,Strategic Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3002769,,,IND,,Rivoli,Kay,L,Mrs.,,101 Seaway Avenue,,Daytona Beach,FL,32118,,,2023-03-29,5000.00,,Strategic Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014163,,,ORG,"Fulfillment Solutions, Inc",,,,,,44970 Falcon Place,Suite 400,Sterling,VA,20166,,,2023-03-20,2631.72,,Postage and Delivery,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997687,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,,,2023-03-07,7.50,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3002734,,,ORG,Western Health Advantage,,,,,,2349 Gateway Oaks Drive,Suite 100,Sacramento,CA,958334244,,,2023-03-20,474.31,,Insurance,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997681,,,ORG,Wells Fargo Bank,,,,,,6930 Skyway,,Paradise,CA,959693908,,,2023-03-07,30.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014166,,,ORG,OnPoint Data Strategy LLC (fka: Sunrise Data Services),,,,,,20130 Lakeview Center Plaza,Suite 300,Ashburn,VA,20147,,,2023-03-23,589.50,,Donor Data and list Management,003,,,,,,,,,,,,,,,,,,,
