form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00632133,500276230,500276065,SB29,ORG,Amazon Web Services,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-07-15,28.27,0.00,Office Supplies - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276231,500276065,SB29,ORG,Amazon Web Services,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-07-15,36.54,0.00,Office Supplies - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276219,500276065,SB29,ORG,"Blue Ridge Risk Partners, LLC",,,,,,1120 Professional Ct,Ste C,Hagerstown,MD,217408040,,,2024-07-15,751.41,0.00,Insurance - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276211,500276065,SB29,ORG,"Box, Inc.",,,,,,900 Jefferson Ave,,Redwood City,CA,940631837,,,2024-07-15,79.50,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276215,500276065,SB29,ORG,"Box, Inc.",,,,,,900 Jefferson Ave,,Redwood City,CA,940631837,,,2024-07-15,-79.50,0.00,Computer Software Refund- Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276214,500276065,SB29,ORG,Breezy HR,,,,,,1450 Flagler Ave,Unit 24,Jacksonville,FL,322078572,,,2024-07-15,1736.28,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276212,500276065,SB29,ORG,Calendly,,,,,,1315 Peachtree St NE,,Atlanta,GA,303097515,,,2024-07-15,148.13,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276220,500276065,SB29,ORG,CitizenM Hotels,,,,,,218 W 50Th St,,New York,NY,100196702,,,2024-07-15,-211.55,0.00,Lodging - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276221,500276065,SB29,ORG,CitizenM Hotels,,,,,,218 W 50Th St,,New York,NY,100196702,,,2024-07-15,211.55,0.00,Lodging - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276218,500276065,SB29,ORG,Downers Grove Park District,,,,,,935 Maple Ave,,Downers Grove,IL,605154930,,,2024-07-15,-100.00,0.00,Facility Rental Fee Refund - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276202,500276065,SB29,ORG,Expensify.Com,,,,,,88 Kearny St,,San Francisco,CA,941085530,,,2024-07-15,104.94,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276234,500276065,SB29,ORG,FedEx Office,,,,,,3875 Airways Blvd,,Memphis,TN,381165070,,,2024-07-15,12.57,0.00,Shipping & Printing - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276203,500276065,SB29,ORG,Geekbot,,,,,,Iris House John Kennedy Street,Suite 740B,Hooksett CY 3106 Cyprus,ZZ,00000,,,2024-07-15,240.00,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276217,500276065,SB29,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-07-15,122.11,0.00,Email Services - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276213,500276065,SB29,ORG,Help Scout Help Desk,,,,,,131 Tremont St,,Boston,MA,021111317,,,2024-07-15,206.70,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276238,500276065,SB29,ORG,Loop & Tie,,,,,,PO Box 1457,,Austin,TX,787671457,,,2024-07-15,97.50,0.00,Staff Gifts - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276240,500276065,SB29,ORG,Loop & Tie,,,,,,PO Box 1457,,Austin,TX,787671457,,,2024-07-15,127.50,0.00,Staff Gifts - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276246,500276065,SB29,ORG,Lyft,,,,,,185 Berry St,,San Francisco,CA,941075705,,,2024-07-15,7.17,0.00,Travel - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276247,500276065,SB29,ORG,Lyft,,,,,,185 Berry St,,San Francisco,CA,941075705,,,2024-07-15,9.08,0.00,Travel - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276248,500276065,SB29,ORG,Lyft,,,,,,185 Berry St,,San Francisco,CA,941075705,,,2024-07-15,35.84,0.00,Travel - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276250,500276065,SB29,ORG,Lyft,,,,,,185 Berry St,,San Francisco,CA,941075705,,,2024-07-15,45.80,0.00,Travel - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276205,500276065,SB29,ORG,Otter.Ai,,,,,,800 W El Camino Real,,Mountain View,CA,940402567,,,2024-07-15,16.99,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276229,500276065,SB29,ORG,Panera Bread,,,,,,3980 Barranca Pkwy,,Irvine,CA,926068238,,,2024-07-15,161.65,0.00,Meals - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276216,500276065,SB29,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-07-15,173.19,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276232,500276065,SB29,ORG,United States Postal Service,,,,,,8409 Lee Hwy,,Merrifield,VA,221168200,,,2024-07-15,8.39,0.00,Shipping & Printing - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276233,500276065,SB29,ORG,United States Postal Service,,,,,,8409 Lee Hwy,,Merrifield,VA,221168200,,,2024-07-15,9.85,0.00,Shipping & Printing - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276235,500276065,SB29,ORG,United States Postal Service,,,,,,8409 Lee Hwy,,Merrifield,VA,221168200,,,2024-07-15,21.20,0.00,Shipping & Printing - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500276022,,,ORG,Daisychain Inc.,,,,,,128 W Pierpont St,,Kingston,NY,124016653,,,2024-07-23,53.06,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276023,,,ORG,"Degree, Inc (DBA Lattice)",,,,,,PO Box 207585,,Dallas,TX,753207585,,,2024-07-22,47.54,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276002,,,ORG,Ethix Ventures,,,,,,9 Main St,Ste 3C,Sutton,MA,015901500,,,2024-07-03,619.86,0.00,Printing & Shipping Services - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276036,,,ORG,Friends Of Anna Payne,,,,,,346 Stratton Ct,,Langhorne,PA,190471664,G2024,,2024-07-30,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Anna Payne (HD142)
SB29,C00632133,500276040,,,ORG,Friends Of Brian Munroe,,,,,,414 Brandywine Ct,,Warminster,PA,189742094,G2024,,2024-07-30,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Brian Munroe (HD144)
SB29,C00632133,500276037,,,ORG,Friends Of Eleanor Breslin,,,,,,779 Cafferty Rd,,Upper Black Eddy,PA,189729517,G2024,,2024-07-30,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Eleanor Breslin (HD143)
SB29,C00632133,500276032,,,IND,,Hutchins,Nicholas,,,,611 Pennsylvania Ave SE,# 192,Washington,DC,200034303,,,2024-07-18,141.80,0.00,Travel Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500275985,,,IND,,Langer,Anna,,,,611 Pennsylvania Ave SE,# 192,Washington,DC,200034303,,,2024-07-03,2797.80,0.00,Reimbursement - See Below - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500275994,500275985,SB29,ORG,Cava Grill,,,,,,14 Ridge Sq NW,,Washington,DC,200162992,,,2024-07-03,18.76,0.00,Meals Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275988,500275985,SB29,ORG,CitizenM Hotels,,,,,,218 W 50Th St,,New York,NY,100196702,,,2024-07-03,978.48,0.00,Lodging Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275993,500275985,SB29,ORG,CitizenM Hotels,,,,,,218 W 50Th St,,New York,NY,100196702,,,2024-07-03,26.40,0.00,Meals Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275984,500275985,SB29,ORG,"Delta Air Lines, Inc.",,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-07-03,383.98,0.00,Airfare Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275997,500275985,SB29,ORG,Figma,,,,,,760 Market St,Fl 10,San Francisco,CA,941022300,,,2024-07-03,30.00,0.00,Subscription Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275990,500275985,SB29,ORG,High Flying Foods,,,,,,123 2Nd St,,Sausalito,CA,949652526,,,2024-07-03,10.54,0.00,Meals Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275986,500275985,SB29,ORG,Hilton Hotels & Resorts,,,,,,7930 Jones Branch Dr,,McLean,VA,221023388,,,2024-07-03,111.04,0.00,Lodging Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275998,500275985,SB29,ORG,"Lucid Software, Inc.",,,,,,10355 S Jordan Gtwy,Ste 150,South Jordan,UT,840953939,,,2024-07-03,9.95,0.00,Subscription Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275996,500275985,SB29,ORG,Lyft,,,,,,185 Berry St,,San Francisco,CA,941075705,,,2024-07-03,32.79,0.00,Travel Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275999,500275985,SB29,ORG,Otter.Ai,,,,,,800 W El Camino Real,,Mountain View,CA,940402567,,,2024-07-03,120.00,0.00,Subscription Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275995,500275985,SB29,ORG,Peet's Coffee,,,,,,1400 Park Ave,,Emeryville,CA,946083520,,,2024-07-03,7.11,0.00,Meals Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275992,500275985,SB29,ORG,Taylor Gourmet,,,,,,2400 Smith Blvd,,Arlington,VA,22202,,,2024-07-03,23.70,0.00,Meals Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275987,500275985,SB29,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2024-07-03,1015.05,0.00,Airfare Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275989,500275985,SB29,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2024-07-03,10.00,0.00,Airfare Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275991,500275985,SB29,ORG,WMATA,,,,,,600 5Th St NW,,Washington,DC,200012610,,,2024-07-03,20.00,0.00,Travel Reimbursement - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500275983,,,ORG,Real Space LLC,,,,,,121 Oak Rock Cir,,Folsom,CA,956302015,,,2024-07-17,150.00,0.00,Executive Coaching - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276057,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-07-05,6.73,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276058,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-07-25,4.31,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276059,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-07-31,2.57,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500276033,,,ORG,Steele For PA,,,,,,476 Old Mill Rd,,Pittsburgh,PA,152381916,G2024,,2024-07-30,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Mandy Steele (HD33)
SB29,C00632133,500276056,,,ORG,Swing Left,,,,,,611 Pennsylvania Ave SE,# 192,Washington,DC,200034303,,,2024-07-31,527049.61,0.00,Allocation of administrative expenses from non-contribution account for Apr-June 2024,,,,,,,,,,,,,,,,,,,X,*
