form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00839407,500000001,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-09-30,23703.94,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000027,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-08-19,18000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000021,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-08-23,10000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000029,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-08-28,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000012,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-05,4818.63,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000013,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-05,3655.40,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000019,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-09,14000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000022,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-17,3000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000024,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-17,20000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000026,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-23,25000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000025,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-25,25000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000023,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-26,16713.73,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000031,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-09-26,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000032,,,ORG,Grassroods Analytics,,,,,,806 7Th St NW,Ste 3,Washington,DC,200013868,,,2024-07-03,81000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000036,,,ORG,Grassroods Analytics,,,,,,806 7Th St NW,Ste 3,Washington,DC,200013868,,,2024-07-05,428.09,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000033,,,ORG,Grassroods Analytics,,,,,,806 7Th St NW,Ste 3,Washington,DC,200013868,,,2024-07-24,1904.81,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000034,,,ORG,Grassroods Analytics,,,,,,806 7Th St NW,Ste 3,Washington,DC,200013868,,,2024-08-02,30000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000035,,,ORG,Grassroods Analytics,,,,,,806 7Th St NW,Ste 3,Washington,DC,200013868,,,2024-08-08,28000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000040,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-07-24,2425.50,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000041,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-09-05,1348.50,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000042,,,ORG,Katz Compliance,,,,,,PO Box 33079,,Washington,DC,200330079,,,2024-09-05,3150.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000044,,,ORG,Message Digital,,,,,,2054 University Ave,Ste 600,Berkeley,CA,947041076,,,2024-09-30,10000.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000045,,,ORG,NGP VAN,,,,,,655 15Th St NW,,Washington,DC,200055701,,,2024-08-07,1590.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000049,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-07-05,5000.00,0.00,List Purchase,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000047,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-08-19,5000.00,0.00,List Purchase,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000048,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-08-19,10000.00,0.00,List Purchase,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000046,,,ORG,North Shore Strategies,,,,,,500 Fashion Ave,,New York,NY,100184502,,,2024-08-27,20000.00,0.00,List Purchase,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000050,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-07-03,30296.12,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000052,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-08-05,29187.84,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000053,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-08-08,3165.69,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000051,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-09-12,58062.96,0.00,Phonebanking and Text Banking,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000054,,,ORG,Winning Connections,,,,,,317 Pennsylvania Ave SE,# 2,Washington,DC,200031148,,,2024-09-13,5000.00,0.00,Phone Banking,,,,,,,,,,,,,,,,,,,,
