form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00804153,500490084,,,PAC,ACTBLUE,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-31,555.58,0.00,Merchant Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484949,,,ORG,Huntington Park Garage,,,,,,1141 W 3rd St,,Cleveland,OH,441131019,,,2023-10-18,960.00,0.00,Legacy Event Valet Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484943,,,ORG,Levy Restaurants,,,,,,1 Saint Clair Ave NE,,Cleveland,OH,441141251,,,2023-10-05,19282.74,0.00,Legacy Event Food and Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484950,,,ORG,Levy Restaurants,,,,,,1 Saint Clair Ave NE,,Cleveland,OH,441141251,,,2023-10-18,2270.89,0.00,Legacy Event Food and Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484948,,,ORG,Lo Key Entertainment,,,,,,5425 Warner Rd,Ste 2,Cleveland,OH,441251147,,,2023-10-17,1000.00,0.00,DJ Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500480435,,,ORG,Mainestream Creative LLC,,,,,,PO Box 18341,,Charlotte,NC,282180341,,,2023-10-03,356.77,0.00,Legacy Event Photography Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484947,,,ORG,Mainestream Creative,,,,,,403,,Alexandria,VA,22304,,,2023-10-17,356.77,0.00,Legacy Event Photography Deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484945,,,ORG,McTigue & Colombo LLC,,,,,,545 E Town St,,Columbus,OH,432154801,,,2023-10-13,750.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484954,,,ORG,Miller Mosley Group,,,,,,2121 Green Rd,,Cleveland,OH,441211111,,,2023-10-20,1534.28,0.00,Legacy Event Outreach Texts,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484953,,,ORG,"Qwestcom Graphics, Inc",,,,,,5572 Brecksville Rd,Ste A,Independence,OH,441311532,,,2023-10-20,453.60,0.00,Legacy Event Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484955,,,ORG,SMG Agent for Cleveland Convention Center and GCHI,,,,,,1 Saint Clair Ave NE,,Cleveland,OH,441141251,,,2023-11-06,5795.16,0.00,Legacy Event Venue Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484946,,,ORG,Wake Up Call Media,,,,,,PO Box 201281,,Shaker Heights,OH,441208104,,,2023-10-16,750.00,0.00,Legacy Event Video and Photography,,,,,,,,,,,,,,,,,,,,
