form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00431874,500047730,,,ORG,Elias Law Group,,,,,,10 G St NE,Ste 600,Washington,DC,200024253,,,2023-12-05,708.75,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046082,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-07-26,197.50,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046153,,,ORG,"Orlattle, LLC",,,,,,1027 4th St SE,,Washington,DC,200033484,,,2023-08-17,2000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046084,,,ORG,KBO Group LLC,,,,,,4037 Snelling Ave N,,Saint Paul,MN,551126947,,,2023-07-03,2000.00,0.00,Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046684,,,ORG,Campaign Compliance Solutions,,,,,,370 Selby Ave,Ste 201,Saint Paul,MN,551022855,,,2023-09-14,4875.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500047305,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-23,197.50,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046675,,,ORG,KBO Group LLC,,,,,,4037 Snelling Ave N,,Saint Paul,MN,551126947,,,2023-09-18,2000.00,0.00,Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046085,,,ORG,Campaign Finance Consultants,,,,,,750 1st St SE,Ste 1070,Washington,DC,200028008,,,2023-07-10,6093.27,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046685,,,ORG,"Intuit, Inc.",,,,,,2632 Marine Way,,Mountain View,CA,940431126,,,2023-08-11,777.75,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046156,,,ORG,Campaign Finance Consultants,,,,,,750 1st St SE,Ste 1070,Washington,DC,200028008,,,2023-08-17,12182.20,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046086,,,ORG,"Orlattle, LLC",,,,,,1027 4th St SE,,Washington,DC,200033484,,,2023-07-10,4000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046127,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2023-08-07,838.71,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500047267,,,ORG,KBO Group LLC,,,,,,4037 Snelling Ave N,,Saint Paul,MN,551126947,,,2023-10-19,2000.00,0.00,Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500047297,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-18,395.00,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500047318,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2023-10-27,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500048018,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-18,197.50,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046128,,,ORG,Campaign Finance Consultants,,,,,,750 1st St SE,Ste 1070,Washington,DC,200028008,,,2023-08-10,6091.10,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046238,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2023-08-24,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500047909,,,ORG,"Orlattle, LLC",,,,,,1027 4th St SE,,Washington,DC,200033484,,,2023-12-11,2000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046129,,,ORG,"Orlattle, LLC",,,,,,1027 4th St SE,,Washington,DC,200033484,,,2023-08-10,2000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500046949,,,ORG,"Orlattle, LLC",,,,,,1027 4th St SE,,Washington,DC,200033484,,,2023-10-03,2000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00431874,500047679,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2023-11-30,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
