form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00845305,SB21B.963048,,,ORG,CAMPAIGN DATA GROUP,,,,,,1281 TALLADEGA HWY,SYLACAUGA,SYLACAUGA,AL,35150,,,2023-09-25,44.07,,FUNDRAISING FEES
SB21B,C00845305,SB21B.975315,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-21,2.40,,MERCHANT FEES
SB21B,C00845305,SB21B.975451,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-22,0.04,,MERCHANT FEES
SB21B,C00845305,SB21B.975744,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-27,0.04,,MERCHANT FEES
SB21B,C00845305,SB21B.975747,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-28,2.02,,MERCHANT FEES
SB21B,C00845305,SB21B.975914,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-29,0.59,,MERCHANT FEES
SB21B,C00845305,SB21B.968888,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-01,1.03,,MERCHANT FEES
SB21B,C00845305,SB21B.969075,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-02,12.97,,MERCHANT FEES
SB21B,C00845305,SB21B.969460,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-03,3.95,,MERCHANT FEES
SB21B,C00845305,SB21B.969635,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-06,2.56,,MERCHANT FEES
SB21B,C00845305,SB21B.969838,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-07,0.28,,MERCHANT FEES
SB21B,C00845305,SB21B.970073,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-08,2.40,,MERCHANT FEES
SB21B,C00845305,SB21B.970272,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-09,24.05,,MERCHANT FEES
SB21B,C00845305,SB21B.970406,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-10,0.58,,MERCHANT FEES
SB21B,C00845305,SB21B.970604,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-13,3.34,,MERCHANT FEES
SB21B,C00845305,SB21B.971005,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-16,2.75,,MERCHANT FEES
SB21B,C00845305,SB21B.971380,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-20,0.82,,MERCHANT FEES
SB21B,C00845305,SB21B.971525,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-21,1.42,,MERCHANT FEES
SB21B,C00845305,SB21B.971802,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-24,1.10,,MERCHANT FEES
SB21B,C00845305,SB21B.972014,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-27,0.59,,MERCHANT FEES
SB21B,C00845305,SB21B.972020,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-28,2.46,,MERCHANT FEES
SB21B,C00845305,SB21B.972201,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-29,0.26,,MERCHANT FEES
SB21B,C00845305,SB21B.972355,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-11-30,0.20,,MERCHANT FEES
SB21B,C00845305,SB21B.963986,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-02,1.23,,MERCHANT FEES
SB21B,C00845305,SB21B.965443,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-04,3.35,,MERCHANT FEES
SB21B,C00845305,SB21B.965676,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-05,2.70,,MERCHANT FEES
SB21B,C00845305,SB21B.965882,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-06,0.20,,MERCHANT FEES
SB21B,C00845305,SB21B.966037,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-10,3.87,,MERCHANT FEES
SB21B,C00845305,SB21B.966400,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-11,0.99,,MERCHANT FEES
SB21B,C00845305,SB21B.966557,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-12,1.02,,MERCHANT FEES
SB21B,C00845305,SB21B.966725,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-13,13.79,,MERCHANT FEES
SB21B,C00845305,SB21B.966915,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-16,7.61,,MERCHANT FEES
SB21B,C00845305,SB21B.967050,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-17,12.21,,MERCHANT FEES
SB21B,C00845305,SB21B.967235,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-18,0.44,,MERCHANT FEES
SB21B,C00845305,SB21B.967396,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-19,17.62,,MERCHANT FEES
SB21B,C00845305,SB21B.967575,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-20,4.14,,MERCHANT FEES
SB21B,C00845305,SB21B.967759,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-23,0.83,,MERCHANT FEES
SB21B,C00845305,SB21B.967923,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-24,1.19,,MERCHANT FEES
SB21B,C00845305,SB21B.968079,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-24,2.26,,MERCHANT FEES
SB21B,C00845305,SB21B.968244,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-26,8.68,,MERCHANT FEES
SB21B,C00845305,SB21B.968389,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-27,1.39,,MERCHANT FEES
SB21B,C00845305,SB21B.968538,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-30,2.40,,MERCHANT FEES
SB21B,C00845305,SB21B.968712,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-10-31,1.63,,MERCHANT FEES
SB21B,C00845305,SB21B.960345,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-04,2.09,,MERCHANT FEES
SB21B,C00845305,SB21B.960636,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-06,5.26,,MERCHANT FEES
SB21B,C00845305,SB21B.960825,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-07,1.19,,MERCHANT FEES
SB21B,C00845305,SB21B.961070,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-08,7.30,,MERCHANT FEES
SB21B,C00845305,SB21B.961208,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-11,3.55,,MERCHANT FEES
SB21B,C00845305,SB21B.961358,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-12,13.82,,MERCHANT FEES
SB21B,C00845305,SB21B.961539,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-13,9.27,,MERCHANT FEES
SB21B,C00845305,SB21B.961795,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-14,23.13,,MERCHANT FEES
SB21B,C00845305,SB21B.962042,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-15,0.59,,MERCHANT FEES
SB21B,C00845305,SB21B.962229,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-18,0.59,,MERCHANT FEES
SB21B,C00845305,SB21B.962435,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-19,5.52,,MERCHANT FEES
SB21B,C00845305,SB21B.962591,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-20,13.64,,MERCHANT FEES
SB21B,C00845305,SB21B.962751,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-21,3.66,,MERCHANT FEES
SB21B,C00845305,SB21B.962907,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-22,4.14,,MERCHANT FEES
SB21B,C00845305,SB21B.963044,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-25,4.18,,MERCHANT FEES
SB21B,C00845305,SB21B.963261,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-26,1.03,,MERCHANT FEES
SB21B,C00845305,SB21B.963451,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-27,6.16,,MERCHANT FEES
SB21B,C00845305,SB21B.963594,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-28,4.66,,MERCHANT FEES
SB21B,C00845305,SB21B.963760,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-09-29,0.59,,MERCHANT FEES
SB21B,C00845305,SB21B.955564,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-14,0.99,,MERCHANT FEES
SB21B,C00845305,SB21B.955780,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-16,1.97,,MERCHANT FEES
SB21B,C00845305,SB21B.956027,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-17,0.04,,MERCHANT FEES
SB21B,C00845305,SB21B.956206,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-18,1.42,,MERCHANT FEES
SB21B,C00845305,SB21B.956310,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-21,1.19,,MERCHANT FEES
SB21B,C00845305,SB21B.958726,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-23,2.85,,MERCHANT FEES
SB21B,C00845305,SB21B.959439,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-24,23.77,,MERCHANT FEES
SB21B,C00845305,SB21B.959581,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-25,1.54,,MERCHANT FEES
SB21B,C00845305,SB21B.959678,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-28,1.94,,MERCHANT FEES
SB21B,C00845305,SB21B.959777,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-29,14.78,,MERCHANT FEES
SB21B,C00845305,SB21B.959954,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-30,2.41,,MERCHANT FEES
SB21B,C00845305,SB21B.960078,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-08-31,2.64,,MERCHANT FEES
