form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00773788,SB21B-1006803,,,ORG,AMERICAN INCORPORATORS LTD,,,,,,1013 CENTRE ROAD,SUITE 403A,WILMINGTON,DE,19805,,,2024-08-22,175.00,404.00,BUSINESS REGISTRATION SERVICES,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1008403,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-08-31,1069.80,3015.14,"COMBINED ""OFF THE TOP"" CC TRANSACTION FEES AUG",003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006821,,,ORG,REGUS,,,,,,ONE WESTBROOK CORPORATE CENTER,SUITE 300,WESTCHESTER,IL,60154,,,2024-08-19,107.77,858.27,RENT EXPENSE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006847,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-08-05,1104.82,9068.21,CAGING AND DATABASE SERVICES - CLEARING FROM 7/31,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006825,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-08-07,522.10,9068.21,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006827,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-08-14,292.81,9068.21,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006829,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-08-21,203.73,9068.21,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006831,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-08-28,309.73,309.73,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,X,Invoice unpaid by close of books
SB21B,C00773788,SB21B-1006833,,,ORG,WEGNER CPAS,,,,,,2921 LANDMARK PLACE,STE 300,MADISON,WI,53713,,,2024-08-14,730.00,921.00,ACCOUNTING SERVICES,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006849,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-08-05,2919.87,23609.50,PHONEBANK IT/TECH SUPPORT - CLEARING FROM 7/31,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006835,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-08-07,1379.82,23609.50,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006837,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-08-14,759.64,23609.50,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006839,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-08-21,538.41,23609.50,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00773788,SB21B-1006841,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-08-28,818.59,818.59,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,X,Invoice unpaid by close of books
