form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00764373,SB21B.4524,,,PAC,AMERICAN CHEMISTRY COUNCIL PAC,,,,,,"700 2ND STREET, NE",,WASHINGTON,DC,20002,,,2024-06-02,1190.70,,In-kind - Event Expense: Lodging/Food & Beverage,,C00252338,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4478,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-06-03,90.90,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4479,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-06-04,80.60,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4506,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-06-13,40.30,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4507,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-06-26,481.80,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4510,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-06-28,361.50,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4415,,,ORG,"LVH Consulting, LLC",,,,,,175 Civitas St,,Mt. Pleasant,SC,29464,,,2024-05-03,4266.24,,Reimbursement: See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4415.1,SB21B.4415,SB21B,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,30320,,,2024-03-24,288.10,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00764373,SB21B.4415.2,SB21B.4415,SB21B,ORG,The Westin Atlanta Airport,,,,,,4736 Best Rd,,Atlanta,GA,30337,,,2024-04-17,270.64,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00764373,SB21B.4415.3,SB21B.4415,SB21B,ORG,The Select,,,,,,6405 Blue Stone Rd,Suite 200,Sandy Springs,GA,30328,,,2024-04-25,3313.32,,Event Expense: Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00764373,SB21B.4415.5,SB21B.4415,SB21B,ORG,Uber,,,,,,1455 Market St,4th Fl,San Francisco,CA,94103,,,2024-04-25,72.09,,Transportation,,,,,,,,,,,,,,,,,,,X,
SB21B,C00764373,SB21B.4415.6,SB21B.4415,SB21B,ORG,Uber,,,,,,1455 Market St,4th Fl,San Francisco,CA,94103,,,2024-04-25,63.76,,Transportation,,,,,,,,,,,,,,,,,,,X,
