form_type,filer_committee_id_number,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,expenditure_date,expenditure_purpose_descrip,beneficiary_committee_name,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,category_code,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,election_code,election_other_description,expenditure_amount,semi_annual_refunded_bundled_amt,memo_code,memo_text_description,image_number,beneficiary_committee_fec_id
SB29,C00292136,MELISSA HEERMANN FOR HOUSE,,,,,,860 REGENCY CT,,BROOKINGS ,SD,57006,2024-05-08,CONTRIBUTION,,MELISSA HEERMANN,,,,,011,H,SD,,G,,150.00,,,,202407180300477083,C00292136
SB29,C00292136,TIM WALBURG FOR HOUSE,,,,,,1135 N WEST AVE,,MADISON,SD,57042,2024-05-08,CONTRIBUTION,,TIM WALBURG,,,,,011,H,SD,,G,,150.00,,,,202407180300477083,C00292136
SB29,C00292136,TIM REISCH FOR HOUSE,,,,,,703 S MAIN ST,,HOWARD,SD,573498730,2024-05-08,CONTRIBUTION,,TIM REISCH,,,,,011,H,SD,,G,,150.00,,,,202407180300477084,C00292136
SB29,C00292136,JERRY KLEIN FOR SENATE,,,,,,PO BOX 265,,FESSEDEN,ND,58438,2024-05-08,CONTRIBUTION,,JERRY KLEIN,,,,,011,S,ND,,G,,150.00,,,,202407180300477091,C00292136
SB29,C00292136,LIGNITE ENERGY COUNCIL,,,,,,1016 E OWENS AVENUE,,BISMARCK,ND,58501,2024-06-12,CONTRIBUTION,,,,,,,011,,ND,,G,,1000.00,,,,202407180300477092,C00292136
SB29,C00292136,MARK WILLADSEN FOR SENATE,,,,,,7712 W BENELLI CIRCLE,,SIOUX FALLS,SD,57106,2024-05-08,CONTRIBUTION,,MARK WILLADSEN,,,,,011,S,SD,,G,,150.00,,,,202407180300477079,C00292136
SB29,C00292136,TIM GOODWIN FOR HOUSE,,,,,,12873 J PINE ROAD,,RAPID CITY,SD,57702,2024-05-08,CONTRIBUTION,,TIM GOODWIN,,,,,011,H,SD,,G,,150.00,,,,202407180300477089,C00292136
SB29,C00292136,BRAD JANKORD FOR HOUSE,,,,,,705 W STERLING OAK CIR,,SIOUX FALLS,SD,57108,2024-05-08,CONTRIBUTION,,BRAD JANKORD,,,,,011,H,SD,,G,,150.00,,,,202407180300477085,C00292136
SB29,C00292136,MIKE DERBY FOR HOUSE,,,,,,3912 PARK DR,,RAPID CITY ,SD,57702,2024-05-08,CONTRIBUTION,,MIKE DERBY,,,,,011,H,SD,,G,,150.00,,,,202407180300477089,C00292136
SB29,C00292136,BECKY DRUBY FOR HOUSE,,,,,,2958 TOMAHAWK DR,,RAPID CITY,SD,57702,2024-05-08,CONTRIBUTION,,BECKY DRUBY,,,,,011,H,SD,,G,,150.00,,,,202407180300477090,C00292136
SB29,C00292136,MATT ROBY FOR HOUSE,,,,,,3500 12TH AVE CIR NW,,WATERTOWN,SD,57201,2024-05-08,CONTRIBUTION,,MATT ROBY,,,,,011,H,SD,,G,,150.00,,,,202407180300477082,C00292136
SB29,C00292136,AMBER ARLINT FOR HOUSE,,,,,,4000 S LOUISE AVE,,SIOUX FALLS,SD,57106,2024-05-08,CONTRIBUTION,,AMBER ARLINT,,,,,011,H,SD,,G,,150.00,,,,202407180300477084,C00292136
SB29,C00292136,GREG JAMISON FOR HOUSE,,,,,,6300 S GRAND PRAIRIE DR,,SIOUX FALLS,SD,57108,2024-05-08,CONTRIBUTION,,GREG JAMISON,,,,,011,H,SD,,G,,150.00,,,,202407180300477084,C00292136
SB29,C00292136,GARY CAMMACK FOR HOUSE,,,,,,PO BOX 100,,UNION CENTER,SD,57787,2024-05-08,CONTRIBUTION,,GARY CAMMACK,,,,,011,H,SD,,G,,150.00,,,,202407180300477088,C00292136
SB29,C00292136,STEPHANIE SAUDER FOR SENATE,,,,,,PO BOX 94,,BRYANT,SD,57221,2024-05-08,CONTRIBUTION,,STEPHANIE SAUDER,,,,,011,S,SD,,G,,300.00,,,,202407180300477078,C00292136
SB29,C00292136,KATHERINE WASHNOK FOR SENATE,,,,,,1406 BIRCHWOOD LANE,,ABERDEEN,SD,57401,2024-05-08,CONTRIBUTION,,KATHERINE WASHNOK,,,,,011,S,SD,,G,,150.00,,,,202407180300477078,C00292136
SB29,C00292136,TIM REED FOR SENATE,,,,,,1409 WHITETAIL PATH,,BROOKINGS,SD,57006,2024-05-08,CONTRIBUTION,,TIM REED,,,,,011,S,SD,,G,,150.00,,,,202407180300477078,C00292136
SB29,C00292136,CASEY CRABTREE FOR SENATE,,,,,,115 WOODLAND DR,,MADISON ,SD,57042,2024-05-08,CONTRIBUTION,,CASEY CRABTREE,,,,,011,S,SD,,G,,150.00,,,,202407180300477079,C00292136
SB29,C00292136,CHRIS KASSIN FOR HOUSE,,,,,,312 JOPLIN ST,,VERMILLION,SD,57069,2024-05-08,CONTRIBUTION,,CHRIS KASSIN,,,,,011,H,SD,,G,,150.00,,,,202407180300477086,C00292136
SB29,C00292136,WILL D MORTENSON FOR HOUSE,,,,,,PO BOX 190,,FORT PIERRE,SD,57532,2024-05-08,CONTRIBUTION,,WILL D MORTENSON,,,,,011,H,SD,,G,,150.00,,,,202407180300477088,C00292136
SB29,C00292136,WILLIAM SHORMA FOR HOUSE,,,,,,21 SPANISH BAY,,DAKOTA DUNES,SD,57049,2024-05-08,CONTRIBUTION,,WILLIAM SHORMA,,,,,011,H,SD,,G,,150.00,,,,202407180300477086,C00292136
SB29,C00292136,KENT ROE FOR HOUSE,,,,,,45022 SD HIGHWAY 22,,HALLTI,SD,57241,2024-05-08,CONTRIBUTION,,KENT ROE,,,,,011,H,SD,,G,,150.00,,,,202407180300477082,C00292136
SB29,C00292136,TAYLOR RAE REHFELDT FOR HOUSE,,,,,,2525 E OLD ORCHARD TRL,,SIOUX FALLS,SD,57103,2024-05-08,CONTRIBUTION,,TAYLOR RAE REHFELDT,,,,,011,H,SD,,G,,150.00,,,,202407180300477085,C00292136
SB29,C00292136,ERIN TOBIN FOR SENATE,,,,,,921 E 5TH ST,,WINNER,SD,57580 ,2024-05-08,CONTRIBUTION,,ERIN TOBIN,,,,,011,S,SD,,G,,150.00,,,,202407180300477080,C00292136
SB29,C00292136,TONY VENHUIZEN FOR HOUSE,,,,,,119 W CARMEL LN,,SIOUX FALLS,SD,57108,2024-05-08,CONTRIBUTION,,TONY VENHUIZEN,,,,,011,H,SD,,G,,150.00,,,,202407180300477085,C00292136
SB29,C00292136,TAMARA ST JOHN FOR HOUSE,,,,,,602 LONA HOLLOW DR #102,,SISSETON,SD,57262,2024-05-08,CONTRIBUTION,,TAMARA ST JOHN,,,,,011,S,SD,,G,,150.00,,,,202407180300477081,C00292136
SB29,C00292136,RANDY DEIBERT FOR SENATE,,,,,,1715 SCOTT AVE,,SPEARFISH,SD,57783,2024-05-08,CONTRIBUTION,,RANDY DEIBERT,,,,,011,S,SD,,G,,150.00,,,,202407180300477081,C00292136
SB29,C00292136,BYRON CALLIES FOR HOUSE,,,,,,1332 20TH ST NE,,WATERTOWN,SD,57201,2024-05-08,CONTRIBUTION,,BYRON CALLIES,,,,,011,H,SD,,G,,150.00,,,,202407180300477082,C00292136
SB29,C00292136,TYLER TORDSEN FOR HOUSE,,,,,,4705 E TIBER LILY STREET,,SIOUX FALLS,SD,57110,2024-05-08,CONTRIBUTION,,TYLER TORDSEN,,,,,011,H,SD,,G,,150.00,,,,202407180300477086,C00292136
SB29,C00292136,DREW PETERSON FOR HOUSE,,,,,,44174 245TH ST,,SALEM,SD,57058,2024-05-08,CONTRIBUTION,,DREW PETERSON,,,,,011,H,SD,,G,,150.00,,,,202407180300477087,C00292136
SB29,C00292136,JESSICA BAHMULLER FOR HOUSE,,,,,,PO BOX 522,,ALEXANDRIA,SD,573112216,2024-05-08,CONTRIBUTION,,JESSICA BAHMULLER,,,,,011,H,SD,,G,,150.00,,,,202407180300477087,C00292136
SB29,C00292136,MIKE WEISGRAM FOR HOUSE,,,,,,114 PORT CHARLOTTE AVE,,FORT PIERRE,SD,57532,2024-05-08,CONTRIBUTION,,MIKE WEISGRAM,,,,,011,H,SD,,G,,150.00,,,,202407180300477088,C00292136
SB29,C00292136,STEVE DUFFY FOR HOUSE,,,,,,1622 WEST BLVD,,RAPID CITY,SD,57701,2024-05-08,CONTRIBUTION,,STEVE DUFFY,,,,,011,H,SD,,G,,150.00,,,,202407180300477089,C00292136
SB29,C00292136,RYAN MAHER FOR HOUSE,,,,,,PO BOX 237,,ISABEL,SD,57633,2024-05-08,CONTRIBUTION,,RYAN MAHER,,,,,011,H,SD,,G,,150.00,,,,202407180300477090,C00292136
