form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00756056,500031010,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-05,250.07,0.00,Service Fee; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500031000,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE,# 500,Atlanta,GA,303081884,,,2024-06-07,1025.00,0.00,Website Services; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500032049,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE,# 500,Atlanta,GA,303081884,,,2024-06-21,800.00,0.00,Website Services; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500032050,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE,# 500,Atlanta,GA,303081884,,,2024-06-26,125.00,0.00,Website Services; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500030995,,,IND,,Rosendahl,Raymond,,,,18 Lakewood Ave,,East Quogue,NY,119424005,,,2024-06-04,11515.00,0.00,Finance Consulting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500031002,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-07,13.04,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500031003,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-10,29.00,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500031004,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-10,13.04,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500031005,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-13,13.04,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500031006,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-17,26.09,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500032054,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-18,6.52,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500032055,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-20,18.00,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500032056,,,ORG,Square Space,,,,,,8 Clarkson St,,New York,NY,100144301,,,2024-06-24,24.00,0.00,Website Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00756056,500030992,,,IND,,Torres,Alexis,,,,10822 Grenville Rd,,Laredo,TX,780458688,,,2024-06-05,750.00,0.00,Graphic Design; IE-Only Account,,,,,,,,,,,,,,,,,,,,
