form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00632133,500291638,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,22.16,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291640,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,13.34,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291642,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,1.98,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291637,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-06,0.20,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291639,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-06,4.98,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291641,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-06,2.43,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291649,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-12,2.78,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291650,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-12,1.38,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291651,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-12,12.36,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291652,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-12,11.63,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291658,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-19,4.30,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291659,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-19,3.99,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291660,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-19,5.43,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291661,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-19,7.13,0.00,Credit Card Processing Fees - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291931,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-29,301.50,0.00,Bank Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291932,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-29,98.13,0.00,Bank Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500292526,,,ORG,American Express,,,,,,PO Box 6504488,,Dallas,TX,75265,,,2024-10-18,276.80,0.00,Credit Card Payment - See Below - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500292502,500292526,SB29,ORG,Help Scout Help Desk,,,,,,131 Tremont St,,Boston,MA,021111317,,,2024-11-05,206.70,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292507,500292526,SB29,ORG,New York Times,,,,,,620 8Th Ave,# 1,New York,NY,100181618,,,2024-11-05,21.28,0.00,Subscription - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292504,500292526,SB29,ORG,Otter.Ai,,,,,,800 W El Camino Real,,Mountain View,CA,940402567,,,2024-11-05,8.49,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500291920,,,ORG,American Express,,,,,,PO Box 6504488,,Dallas,TX,75265,,,2024-11-05,3708.05,0.00,Credit Card Payment - See Below - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500292488,500291920,SB29,ORG,Adobe,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-11-05,19.99,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292489,500291920,SB29,ORG,Airtable,,,,,,155 5Th St,,San Francisco,CA,941032919,,,2024-11-05,57.24,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292490,500291920,SB29,ORG,Airtable,,,,,,155 5Th St,,San Francisco,CA,941032919,,,2024-11-05,171.72,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292491,500291920,SB29,ORG,Calendly,,,,,,1315 Peachtree St NE,,Atlanta,GA,303097515,,,2024-11-05,176.62,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292493,500291920,SB29,ORG,DoorDash,,,,,,116 New Montgomery St,Fl 4,San Francisco,CA,941053638,,,2024-11-05,89.45,0.00,Meals - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292495,500291920,SB29,ORG,Expensify.Com,,,,,,88 Kearny St,,San Francisco,CA,941085530,,,2024-11-05,85.86,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292498,500291920,SB29,ORG,Goldbelly,,,,,,27 Union Sq W,Ste 500,New York,NY,100033305,,,2024-11-05,2454.15,0.00,Meals - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292499,500291920,SB29,ORG,Goldbelly,,,,,,27 Union Sq W,Ste 500,New York,NY,100033305,,,2024-11-05,64.95,0.00,Meals - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292500,500291920,SB29,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-11-05,122.11,0.00,Email Services - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292503,500291920,SB29,ORG,Loop & Tie,,,,,,PO Box 1457,,Austin,TX,787671457,,,2024-11-05,25.00,0.00,Staff Gifts - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292506,500291920,SB29,ORG,New York Times,,,,,,620 8Th Ave,# 1,New York,NY,100181618,,,2024-11-05,24.47,0.00,Subscription - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500292505,500291920,SB29,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-11-05,142.04,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,X,*
SB29,C00632133,500291198,,,ORG,Angela Witwer For State Representative,,,,,,2122 Boxwood Ln,,Lansing,MI,489171317,G2024,,2024-10-17,12250.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,MI - Angela Witwer (HD76)
SB29,C00632133,500291200,,,ORG,Beth Helfrich For NC,,,,,,PO Box 771,,Davidson,NC,280360771,G2024,,2024-10-17,6400.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,NC - Beth Helfrich (HD98)
SB29,C00632133,500291199,,,ORG,Comm To Elect Garland Pierce,,,,,,21981 Buie St,,Wagram,NC,283969445,G2024,,2024-10-17,6400.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,NC - Garland Pierce (HD48)
SB29,C00632133,500291192,,,ORG,Committee To Elect Bryan Cohn,,,,,,119 W Front St,,Oxford,NC,275653665,G2024,,2024-10-17,6400.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,NC - Bryan Cohn (HD32)
SB29,C00632133,500291191,,,ORG,COMMITTEE TO ELECT JAMES MERCER,,,,,,271 Cotton Wood Rd,,Nashville,NC,278568768,G2024,,2024-10-17,6400.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,NC - James Mercer (SD11)
SB29,C00632133,500291840,,,ORG,"Degree, Inc (DBA Lattice)",,,,,,PO Box 207585,,Dallas,TX,753207585,,,2024-10-30,2607.61,0.00,Computer Software - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500292524,,,PAC,FF PAC,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,O2024,Other,2024-10-24,10000.00,0.00,Contribution to Committee - Non-Contribution Account,,C00669259,FF PAC,,,,,,,,,,,,,,,,,
SB29,C00632133,500291831,,,ORG,"Financial Innovations, Inc.",,,,,,1 Weingeroff Blvd,,Cranston,RI,029104009,,,2024-10-24,4072.13,0.00,Promotional Merchandise - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291832,,,ORG,"Financial Innovations, Inc.",,,,,,1 Weingeroff Blvd,,Cranston,RI,029104009,,,2024-11-20,96699.94,0.00,Promotional Merchandise - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291833,,,ORG,"Financial Innovations, Inc.",,,,,,1 Weingeroff Blvd,,Cranston,RI,029104009,,,2024-11-21,14910.73,0.00,Promotional Merchandise - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291184,,,ORG,Friends Of Anna Payne,,,,,,346 Stratton Ct,,Langhorne,PA,190471664,G2024,,2024-10-17,10000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Anna Payne (HD142)
SB29,C00632133,500291182,,,ORG,Friends Of Brian Munroe,,,,,,414 Brandywine Ct,,Warminster,PA,189742094,G2024,,2024-10-17,10000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Brian Munroe (HD144)
SB29,C00632133,500291183,,,ORG,Friends Of Eleanor Breslin,,,,,,779 Cafferty Rd,,Upper Black Eddy,PA,189729517,G2024,,2024-10-17,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Eleanor Breslin (HD143)
SB29,C00632133,500291186,,,ORG,Friends Of Hadley Haas,,,,,,PO Box 285,,Sewickley,PA,151430285,G2024,,2024-10-17,10000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Hadley Haas (HD44)
SB29,C00632133,500291185,,,ORG,Friends Of Jim Haddock,,,,,,855 Suscon Rd,,Pittston Township,PA,186409537,G2024,,2024-10-17,10000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Jim Haddock (HD118)
SB29,C00632133,500291197,,,ORG,Friends Of Nate Shannon,,,,,,PO Box 7091,,Sterling Heights,MI,483117091,G2024,,2024-10-17,12250.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,MI - Nate Shannon (HD58)
SB29,C00632133,500291202,,,ORG,Friends Of Nick Pisciottano,,,,,,PO Box 338,,West Mifflin,PA,151220338,G2024,,2024-10-17,20000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Nick Pisciottano (SD45)
SB29,C00632133,500291194,,,ORG,Friends Of Susie Greenberg INC,,,,,,PO Box 28654,,Sandy Springs,GA,303580654,G2024,,2024-10-17,3300.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,GA - Susie Greenberg (HD53)
SB29,C00632133,500291872,,,IND,,Garcia,Jennifer,,,,611 Pennsylvania Ave SE,# 192,Washington,DC,200034303,,,2024-11-20,250.00,0.00,Technology Stipend - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291860,,,IND,,Garmendia,Zoe,,,,4401 Boxwood Rd,,Bethesda,MD,208161817,,,2024-11-08,2625.00,0.00,Strategic Consulting - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291861,,,IND,,Garmendia,Zoe,,,,4401 Boxwood Rd,,Bethesda,MD,208161817,,,2024-11-20,1312.50,0.00,Strategic Consulting - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291179,,,ORG,Georgia Blue PAC,,,,,,PO Box 18622,,Atlanta,GA,311260622,O2024,Other,2024-10-17,35000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291180,,,ORG,Georgia Blue PAC,,,,,,PO Box 18622,,Atlanta,GA,311260622,O2023,Other,2024-10-17,15000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291188,,,ORG,Jasmine Clark For GA House,,,,,,PO Box 1922,,Lilburn,GA,300481922,G2024,,2024-10-17,3300.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,GA - Jasmine Clark (HD108)
SB29,C00632133,500291203,,,ORG,Jennifer Conlin For State Representative,,,,,,PO Box 131106,,Ann Arbor,MI,481131106,G2024,,2024-10-17,12250.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,MI - Jennifer Conlin (HD48)
SB29,C00632133,500291201,,,ORG,Lisa Grafstein Campaign,,,,,,1001 Wade Ave,Ste 323,Raleigh,NC,276053353,G2024,,2024-10-17,6400.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,NC - Lisa Grafstein (SD13)
SB29,C00632133,500291575,,,PTY,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,,,,,,606 Townsend St,,Lansing,MI,489332313,O2024,Other,2024-10-18,60000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00632133,500291626,,,PTY,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,,,,,,606 Townsend St,,Lansing,MI,489332313,O2023,Other,2024-10-31,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,,,,,,,,,,,,,,,,,
SB29,C00632133,500291181,,,ORG,Michigan House Democratic Fund,,,,,,215 S Washington Sq,Ste E,Lansing,MI,489331888,O2024,Other,2024-10-17,48875.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291195,,,ORG,"Mughal For Georgia, LLC",,,,,,710 Dacula Rd,Ste # 4A,Dacula,GA,300197014,G2024,,2024-10-17,3300.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,GA - Farooq Mughal (HD105)
SB29,C00632133,500291193,,,ORG,Nicole For PA,,,,,,1524 High Rd,,Jefferson Hills,PA,150253524,G2024,,2024-10-17,20000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,PA - Nicole Ruscitto (SD37)
SB29,C00632133,500291172,,,COM,North Carolina Democratic Party,,,,,,220 Hillsborough St,,Raleigh,NC,276031724,O2024,Other,2024-10-17,35000.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,North Carolina Democratic Party - House Caucus
SB29,C00632133,500291173,,,COM,North Carolina Democratic Party,,,,,,220 Hillsborough St,,Raleigh,NC,276031724,O2023,Other,2024-10-17,20000.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,North Carolina Democratic Party - Senate Caucus
SB29,C00632133,500291627,,,COM,North Carolina Democratic Party,,,,,,220 Hillsborough St,,Raleigh,NC,276031724,O2024,Other,2024-10-31,35000.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,North Carolina Democratic Party - House Caucus
SB29,C00632133,500291574,,,PTY,PENNSYLVANIA DEMOCRATIC PARTY,,,,,,229 State St,,Harrisburg,PA,171011110,O2024,Other,2024-10-25,50000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,C00167130,PENNSYLVANIA DEMOCRATIC PARTY,,,,,,,,,,,,,,,,,
SB29,C00632133,500291629,,,PTY,PENNSYLVANIA DEMOCRATIC PARTY,,,,,,229 State St,,Harrisburg,PA,171011110,O2024,Other,2024-10-31,5000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,C00167130,PENNSYLVANIA DEMOCRATIC PARTY,,,,,,,,,,,,,,,,,
SB29,C00632133,500291174,,,ORG,Pennsylvania House Democratic Campaign Committee,,,,,,800 N 3Rd St,,Harrisburg,PA,171022025,O2024,Other,2024-10-17,25000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291177,,,ORG,Pennsylvania House Democratic Campaign Committee,,,,,,800 N 3Rd St,,Harrisburg,PA,171022025,O2024,Other,2024-10-17,25000.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291190,,,ORG,Pittman For NC,,,,,,PO Box 902,,Wilson,NC,278940902,G2024,,2024-10-17,6400.00,0.00,Contribution to Non-Federal Committee,,,,,,,,,,,,,,,,,,,,NC - Dante Pittman (HD24)
SB29,C00632133,500291839,,,ORG,Raygun,,,,,,505 E Grand Ave,,Des Moines,IA,503091972,,,2024-10-29,1630.66,0.00,Branded Merchandise - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291843,,,ORG,Raygun,,,,,,505 E Grand Ave,,Des Moines,IA,503091972,,,2024-10-31,17980.50,0.00,Branded Merchandise - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291804,,,ORG,Real Space LLC,,,,,,121 Oak Rock Cir,,Folsom,CA,956302015,,,2024-10-22,150.00,0.00,Executive Coaching - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291790,,,IND,,Riveron,Andrea,M.,,,611 Pennsylvania Ave SE,# 192,Washington,DC,200034303,,,2024-10-22,250.00,0.00,Technology Stipend - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291808,,,ORG,"Salesberry Group, LLC",,,,,,5515 S Hyde Park Blvd,Apt 1N,Chicago,IL,606371544,,,2024-11-20,150.42,0.00,Bookkeeping Services - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291196,,,ORG,Shadia Martini For State Representative,,,,,,1717 Heron Ridge Dr,,Bloomfield Hills,MI,483020722,G2024,,2024-10-17,12250.00,0.00,Contribution to Non-Federal Committee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,MI - Shadia Martini (HD54)
SB29,C00632133,500291554,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-17,6.48,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291555,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-18,2.12,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291556,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-21,60.93,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291761,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-24,1.38,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
SB29,C00632133,500291762,,,ORG,Shopify,,,,,,33 New Montgomery St,Ste 750,San Francisco,CA,941054537,,,2024-10-25,6.64,0.00,Credit Card Processing Fee - Non-Contribution Account,,,,,,,,,,,,,,,,,,,,
