form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00427435,SB21B.15266,,,ORG,CORCORAN STRATEGIES LLC,,,,,,"602 M STREET, NW",#3,WASHINGTON,DC,20001,,,2023-04-26,10050.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15313,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-24,19.25,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15314,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-27,6.93,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15315,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-01,2.97,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15316,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-02,15.29,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15317,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-03,15.78,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15319,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-06,11.85,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15320,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-07,24.16,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15321,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-08,8.88,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15322,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-09,30.25,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15323,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-10,10.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15324,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-13,5.43,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15325,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-14,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15327,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-15,2.97,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15328,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-16,15.78,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15329,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-17,9.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15331,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-20,10.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15332,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-21,2.46,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15333,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-22,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15334,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-23,19.25,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15335,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-24,2.97,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15336,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-27,4.95,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15337,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-28,11.82,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15338,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-29,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15339,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-30,12.83,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15340,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-31,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15341,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-03,13.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15342,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-06,31.09,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15343,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-07,17.76,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15344,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-10,5.43,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15345,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-11,3.45,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15346,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-12,10.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15347,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-13,15.31,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15349,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-14,12.81,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15350,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-17,6.91,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15351,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-18,17.24,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15352,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-19,8.37,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15353,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-20,109.85,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15355,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-21,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15356,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-24,9.37,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15357,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-25,7.90,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15358,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-26,13.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15359,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-27,8.91,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15360,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-28,5.92,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15361,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-01,4.93,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15362,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-02,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15363,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-03,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15364,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-04,12.84,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15365,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-05,7.41,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15366,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-08,20.70,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15367,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-09,15.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15368,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-10,16.26,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15369,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-11,25.16,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15370,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-12,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15372,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-15,15.78,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15373,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-16,12.81,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15374,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-17,8.89,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15375,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-18,58.62,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15377,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-22,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15378,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-23,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15379,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-24,9.37,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15380,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-25,17.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15381,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-26,4.93,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15382,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-30,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15383,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-31,5.92,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15384,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-01,4.93,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15385,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-02,5.94,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15386,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-06,22.68,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15387,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-07,36.96,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15388,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-08,19.26,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15389,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-09,4.44,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15390,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-12,10.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15391,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-13,8.89,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15392,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-14,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15394,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-15,12.85,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15395,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-16,5.42,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15396,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-20,37.92,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15397,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-21,8.38,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15398,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-22,17.74,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15400,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-23,35.03,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
