form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00487470,SB21B.13062,,,ORG,Ad Victoriam,,,,,,525 East Market St.,,Leesburgh,VA,20176,,,2024-08-27,2576.43,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13076,,,ORG,DONOR BUREAU,,,,,,1900 Reston Metro Plaza,,Reston,VA,20190,,,2024-08-20,159.13,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13068,,,ORG,DONOR BUREAU,,,,,,1900 Reston Metro Plaza,,Reston,VA,20190,,,2024-08-27,352.88,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13091,,,ORG,"FatLab, LLC",,,,,,1732 11ST AVE,#24150,NEW YORK,NY,10128,,,2024-08-12,390.00,,website maintenance,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13092,,,ORG,"FatLab, LLC",,,,,,1732 11ST AVE,#24150,NEW YORK,NY,10128,,,2024-08-31,390.00,,website maintenance,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13081,,,ORG,FRONTLINE STRATEGIES,,,,,,108 South Washington St.,2nd floor,Alexandria,VA,22314,,,2024-08-27,4.12,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13082,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-08-06,1101.42,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13083,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-08-13,172.13,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13080,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-08-20,1186.78,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13084,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2024-08-27,779.33,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13085,,,ORG,PopActa,,,,,,PO Box 7865,,Loveland,CO,80537,,,2024-08-13,267.93,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13077,,,ORG,PopActa,,,,,,PO Box 7865,,Loveland,CO,80537,,,2024-08-20,189.31,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13096,,,ORG,SOLUTIONS FOR TEXAS IN FUNDRAI,,,,,,4238 Lomo Alto Ct.,,Dallas,TX,75219,,,2024-08-15,22500.00,,fundraising consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13056,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-08-02,8.47,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13057,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-08-09,19.43,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13058,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-08-16,308.71,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13059,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-08-23,1701.16,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13060,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2024-08-30,15.01,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13097,,,ORG,"The Trade Desk, Inc.",,,,,,42 N Chestnut St.,,Ventura,CA,93001,,,2024-08-06,3326.99,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13086,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-08-06,4755.36,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13087,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-08-13,348.06,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13079,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-08-20,2658.04,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13088,,,ORG,TMA,,,,,,2311 Wilson Blvd. Floor 2,,Arlington,VA,22201,,,2024-08-27,428.54,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13093,,,ORG,Truist Bank,,,,,,214 N TRYON ST,,Charlotte,NC,28202,,,2024-08-21,31.34,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13061,,,ORG,Truist Merchant Services,,,,,,PO Box 2394,,Omaha,NE,68103,,,2024-08-12,54.90,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13098,,,ORG,"Wiley Rein, LLC",,,,,,"2050 M ST., NW",,Washington,DC,20036,,,2024-08-15,18000.00,,legal fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13069,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-06,530.57,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13070,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-13,79.60,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13071,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-13,9.91,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13072,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-20,539.04,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13073,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-20,1.81,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13074,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-27,48.48,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.13075,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-27,412.52,,digital prospecting,,,,,,,,,,,,,,,,,,,,
