form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00139659,SB23.65334,,,CCM,ADAM FOR COLORADO,,,,,,PO BOX 371,,WOODY CREEK,CO,81656,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00805275,ADAM FOR COLORADO,H2CO03351,FRISCH,ADAM,,,,H,CO,03,,,,,,,X,
SB23,C00139659,SB23.65263,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-23,50.00,,"conduit earmarked through ActBlue-Peck, Stephen",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65264,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-24,50.00,,"conduit earmarked through ActBlue-Hacken, Carla",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65265,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-24,250.00,,"conduit earmarked through ActBlue-Balonick, Marcia",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.64984,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-28,2500.00,,direct campaign contribution,,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,,
SB23,C00139659,SB23.65266,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-10-29,2000.00,,"conduit earmarked through ActBlue-Ross, marcia",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65354,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-11-02,500.00,,"earmarked conduit through ActBlue-Perlstein, Stacey",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65355,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-11-03,150.00,,"earmarked conduit through ActBlue-Stringer, Eileen",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65356,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-11-03,150.00,,"earmarked conduit through ActBlue-Shaewitz, Allison",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65357,,,PAC,BOB CASEY FOR SENATE INC,,,,,,PO BOX 58746,,PHILADELPHIA,PA,19102,G2024,,2024-11-04,150.00,,"earmarked conduit through ActBlue-Shakin, Diane",,,,S6PA00217,CASEY,ROBERT P JR,,,,S,PA,00,,,,,,,X,
SB23,C00139659,SB23.65299,,,CCM,CARAVEO FOR CONGRESS,,,,,,PO BOX 953,,EASTLAKE,CO,80614,G2024,,2024-10-21,500.00,,"earmarked conduit through ActBlue-Washlow, Roberta",,C00787788,CARAVEO FOR CONGRESS,H2CO08020,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,
SB23,C00139659,SB23.65300,,,CCM,CARAVEO FOR CONGRESS,,,,,,PO BOX 953,,EASTLAKE,CO,80614,G2024,,2024-10-23,150.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00787788,CARAVEO FOR CONGRESS,H2CO08020,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,
SB23,C00139659,SB23.64980,,,CCM,CARAVEO FOR CONGRESS,,,,,,PO BOX 953,,EASTLAKE,CO,80614,G2024,,2024-10-28,2500.00,,direct campaign contribution,,C00787788,CARAVEO FOR CONGRESS,H2CO08020,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00139659,SB23.64990,,,CCM,CARTWRIGHT FOR CONGRESS,,,,,,PO BOX 414,,SCRANTON,PA,18501,G2024,,2024-10-28,1500.00,,direct campaign contribution,,C00509968,CARTWRIGHT FOR CONGRESS,H2PA17079,CARTWRIGHT,MATTHEW A.,,,,H,PA,08,,,,,,,,
SB23,C00139659,SB23.65332,,,CCM,CHRIS DELUZIO FOR CONGRESS,,,,,,PO BOX 16210,,PITTSBURGH,PA,15242,G2024,,2024-10-22,20.00,,"earmarked conduit through ActBlue-Lorber, Jessica",,C00787648,CHRIS DELUZIO FOR CONGRESS,H2PA17103,DELUZIO,CHRISTOPHER,,,,H,PA,17,,,,,,,X,
SB23,C00139659,SB23.65322,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO BOX 601631,,DALLAS,TX,75360,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00839597,COLIN ALLRED FOR SENATE,H8TX32098,ALLRED,COLIN,,,,H,TX,32,,,,,,,X,
SB23,C00139659,SB23.65323,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO BOX 601631,,DALLAS,TX,75360,G2024,,2024-10-18,50.00,,"earmarked conduit through ActBlue-Zisook, Amy",,C00839597,COLIN ALLRED FOR SENATE,H8TX32098,ALLRED,COLIN,,,,H,TX,32,,,,,,,X,
SB23,C00139659,SB23.65324,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO BOX 601631,,DALLAS,TX,75360,G2024,,2024-10-19,100.00,,"earmarked conduit through ActBlue-Ruder, Linda",,C00839597,COLIN ALLRED FOR SENATE,H8TX32098,ALLRED,COLIN,,,,H,TX,32,,,,,,,X,
SB23,C00139659,SB23.64971,,,CCM,COMMITTEE TO ELECT JARED GOLDEN,,,,,,PO BOX 7108,,LEWISTON,ME,04240,G2024,,2024-10-23,2500.00,,direct campaign contribution,,C00653816,COMMITTEE TO ELECT JARED GOLDEN,H8ME02185,GOLDEN,JARED,,,,H,ME,02,,,,,,,,
SB23,C00139659,SB23.65329,,,CCM,DEBBIE FOR FLORIDA,,,,,,PO BOX 432250,,SOUTH MIAMI,FL,33243,G2024,,2024-10-18,50.00,,"earmarked conduit through ActBlue-Zisook, Amy",,C00848648,DEBBIE FOR FLORIDA,H8FL26039,MUCARSEL-POWELL,DEBBIE,,,,H,FL,26,,,,,,,X,
SB23,C00139659,SB23.65366,,,CCM,DEBBIE FOR FLORIDA,,,,,,PO BOX 432250,,SOUTH MIAMI,FL,33243,G2024,,2024-11-01,100.00,,"earmarked conduit through ActBlue-Hirsch, Marilyn",,C00848648,DEBBIE FOR FLORIDA,H8FL26039,MUCARSEL-POWELL,DEBBIE,,,,H,FL,26,,,,,,,X,
SB23,C00139659,SB23.65273,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-17,500.00,,"earmarked conduit through ActBlue-Parmacek, Jacqueline",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65274,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65275,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-18,250.00,,"earmarked conduit through ActBlue-Zisook, Amy",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65276,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-19,100.00,,"earmarked conduit through ActBlue-Ruder, Linda",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.64970,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-23,2500.00,,direct campaign contribution,,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,,
SB23,C00139659,SB23.65277,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-23,50.00,,"earmarked conduit through ActBlue-Peck, Stephen",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65278,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-29,2000.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65279,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-10-31,150.00,,"earmarked conduit through ActBlue-Shaewitz, Allison",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65358,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-11-01,100.00,,"earmarked conduit through ActBlue-Hirsch, Marilyn",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65359,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-11-02,500.00,,"earmarked conduit through ActBlue-Perlstein, Stacey",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65360,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-11-02,20.00,,"earmarked conduit through ActBlue-Young, Denise",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65361,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,G2024,,2024-11-03,100.00,,"earmarked conduit through ActBlue-Shaewitz, Allison",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.65364,,,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO BOX 1172,,MOLINE,IL,61265,G2024,,2024-11-01,100.00,,"earmarked conduit through ActBlue-Hirsch, Marilyn",,C00793935,ERIC SORENSEN FOR ILLINOIS,H2IL17147,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,
SB23,C00139659,SB23.64962,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO BOX 1487,,WATERBURY,CT,06721,G2024,,2024-10-23,1500.00,,direct campaign contribution,,C00677898,FRIENDS OF JAHANA HAYES,H8CT05245,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00139659,SB23.65326,,,CCM,FRIENDS OF JANELLE STELSON,,,,,,PO BOX 41,,LEMOYNE,PA,17043,G2024,,2024-10-17,150.00,,"earmarked conduit through ActBlue-Shaewitz, Allison",,C00852368,FRIENDS OF JANELLE STELSON,H4PA10104,STELSON,JANELLE,,,,H,PA,10,,,,,,,X,
SB23,C00139659,SB23.64973,,,CCM,FRIENDS OF LUCY MCBATH INC.,,,,,,1860 SANDY PLAINS ROAD,SUITE 204-210,MARIETTA,GA,30066,G2024,,2024-10-28,1000.00,,direct campaign contribution,010,C00672295,FRIENDS OF LUCY MCBATH INC.,H8GA06393,MCBATH,LUCIA KAY MS.,,,,H,GA,06,,,,,,,,
SB23,C00139659,SB23.65267,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,2280 KRESGE DRIVE,Suite 800,AMHERST,OH,44001,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00264697,FRIENDS OF SHERROD BROWN,H2OH13033,BROWN,SHERROD,,,,H,OH,13,,,,,,,X,
SB23,C00139659,SB23.65268,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,2280 KRESGE DRIVE,Suite 800,AMHERST,OH,44001,G2024,,2024-10-18,250.00,,"earmarked conduit through ActBlue-Ross, marcia",,C00264697,FRIENDS OF SHERROD BROWN,H2OH13033,BROWN,SHERROD,,,,H,OH,13,,,,,,,X,
SB23,C00139659,SB23.65269,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,2280 KRESGE DRIVE,Suite 800,AMHERST,OH,44001,G2024,,2024-10-19,100.00,,"earmarked conduit through ActBlue-Ruder, Linda",,C00264697,FRIENDS OF SHERROD BROWN,H2OH13033,BROWN,SHERROD,,,,H,OH,13,,,,,,,X,
SB23,C00139659,SB23.65270,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,2280 KRESGE DRIVE,Suite 800,AMHERST,OH,44001,G2024,,2024-10-21,1000.00,,"earmarked conduit through ActBlue-Washlow, Roberta",,C00264697,FRIENDS OF SHERROD BROWN,H2OH13033,BROWN,SHERROD,,,,H,OH,13,,,,,,,X,
SB23,C00139659,SB23.65271,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,2280 KRESGE DRIVE,Suite 800,AMHERST,OH,44001,G2024,,2024-10-28,100.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00264697,FRIENDS OF SHERROD BROWN,H2OH13033,BROWN,SHERROD,,,,H,OH,13,,,,,,,X,
SB23,C00139659,SB23.65272,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,2280 KRESGE DRIVE,Suite 800,AMHERST,OH,44001,G2024,,2024-10-29,2000.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00264697,FRIENDS OF SHERROD BROWN,H2OH13033,BROWN,SHERROD,,,,H,OH,13,,,,,,,X,
SB23,C00139659,SB23.65301,,,CCM,GABE VASQUEZ FOR CONGRESS,,,,,,DRAWER L,,MESILLA,NM,88046,G2024,,2024-10-18,125.00,,"earmarked conduit through ActBlue-Zisook, Amy",,C00789404,GABE VASQUEZ FOR CONGRESS,H2NM02191,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,X,
SB23,C00139659,SB23.65302,,,CCM,GABE VASQUEZ FOR CONGRESS,,,,,,DRAWER L,,MESILLA,NM,88046,G2024,,2024-10-21,500.00,,"earmarked conduit through ActBlue-Washlow, roberta",,C00789404,GABE VASQUEZ FOR CONGRESS,H2NM02191,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,X,
SB23,C00139659,SB23.65318,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO BOX 1710,,PHOENIX,AZ,85001,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00558627,GALLEGO FOR ARIZONA,S4AZ00139,GALLEGO,RUBEN,,,,S,AZ,00,,,,,,,X,
SB23,C00139659,SB23.65319,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO BOX 1710,,PHOENIX,AZ,85001,G2024,,2024-10-25,100.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00558627,GALLEGO FOR ARIZONA,S4AZ00139,GALLEGO,RUBEN,,,,S,AZ,00,,,,,,,X,
SB23,C00139659,SB23.65320,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO BOX 1710,,PHOENIX,AZ,85001,G2024,,2024-10-27,100.00,,"earmarked conduit through ActBlue-Stringer, Eileen",,C00558627,GALLEGO FOR ARIZONA,S4AZ00139,GALLEGO,RUBEN,,,,S,AZ,00,,,,,,,X,
SB23,C00139659,SB23.65363,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO BOX 1710,,PHOENIX,AZ,85001,G2024,,2024-11-01,180.00,,"earmarked conduit through ActBlue-Hirsch, Marilyn",,C00558627,GALLEGO FOR ARIZONA,S4AZ00139,GALLEGO,RUBEN,,,,S,AZ,00,,,,,,,X,
SB23,C00139659,SB23.65306,,,CCM,GEORGE WHITESIDES FOR CONGRESS,,,,,,P.O. BOX 221776,,NEWHALL,CA,91322,G2024,,2024-10-25,100.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00834028,GEORGE WHITESIDES FOR CONGRESS,H4CA27111,WHITESIDES,GEORGE,,,,H,CA,27,,,,,,,X,
SB23,C00139659,SB23.65307,,,CCM,GEORGE WHITESIDES FOR CONGRESS,,,,,,P.O. BOX 221776,,NEWHALL,CA,91322,G2024,,2024-10-31,525.00,,"earmarked conduit through ActBlue-Shaewitz, Allison",,C00834028,GEORGE WHITESIDES FOR CONGRESS,H4CA27111,WHITESIDES,GEORGE,,,,H,CA,27,,,,,,,X,
SB23,C00139659,SB23.64960,,,CCM,GILLEN FOR NY,,,,,,PO BOX 33079,,WASHINGTON,DC,20036,G2024,,2024-10-23,1000.00,,direct campaign contribution,,C00840165,GILLEN FOR NY,H4NY04158,GILLEN,LAURA,,,,H,NY,04,,,,,,,,
SB23,C00139659,SB23.65303,,,CCM,HERTEL FOR MICHIGAN,,,,,,PO BOX 16037,,LANSING,MI,48901,G2024,,2024-10-21,500.00,,"earmarked conduit through ActBlue-Washlow, Roberta",,C00844480,HERTEL FOR MICHIGAN,H4MI07210,HERTEL,CURTIS JR.,,,,H,MI,07,,,,,,,X,
SB23,C00139659,SB23.64976,,,CCM,KAPTUR FOR CONGRESS,,,,,,545 E TOWN ST,,COUMBUS,OH,43215,G2024,,2024-10-28,1500.00,,direct campaign contribution,,C00154625,KAPTUR FOR CONGRESS,H2OH09031,KAPTUR,MARCY HON. M.C.,,,,H,OH,09,,,,,,,,
SB23,C00139659,SB23.65305,,,CCM,KRISTEN FOR MICHIGAN,,,,,,PO BOX 854,,BAY CITY,MI,48707,G2024,,2024-10-21,500.00,,"earmarked conduit through ActBlue-Washlow, Roberta",,C00864207,KRISTEN FOR MICHIGAN,H4MI08218,MCDONALD RIVET,KRISTEN,,,,H,MI,08,,,,,,,X,
SB23,C00139659,SB23.64975,,,CCM,KRISTEN FOR MICHIGAN,,,,,,PO BOX 854,,BAY CITY,MI,48707,G2024,,2024-10-28,2500.00,,direct campaign contribution,,C00864207,KRISTEN FOR MICHIGAN,H4MI08218,MCDONALD RIVET,KRISTEN,,,,H,MI,08,,,,,,,,
SB23,C00139659,SB23.65367,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO BOX 1240,,INDEPENDENCE,MO,64051,G2024,,2024-11-03,36.00,,"earmarked conduit through ActBlue-Zisook, Amy",,C00771972,LUCAS KUNCE FOR MISSOURI,S2MO00528,KUNCE,LUCAS,,,,S,MO,00,,,,,,,X,
