form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00821231,SB21B.32140,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENINGBROUGH PL,,LEESBURG,VA,20176,,,2024-07-29,35.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32168,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-10,0.16,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32169,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-11,1.05,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32170,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-12,0.03,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32171,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-15,0.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32172,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-17,4.58,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32173,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-18,26.86,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32174,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-19,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32175,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-22,6.81,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32176,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-23,1.59,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32177,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-24,1.14,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32178,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-25,14.11,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32180,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-26,0.11,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32179,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-29,2.05,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32181,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-30,0.01,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.32182,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-31,0.14,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
