form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.202574,,,ORG,Blue262 Creative LLC,,,,,,158 Island Ave,,Ramsey,NJ,07446,,,2024-10-03,810.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202665,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-10-09,2123.55,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202666,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-10-09,547.50,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202664,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-10-11,1269.85,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202561,,,ORG,Colibri Collective,,,,,,1425 N 1st Street,Suite 100,Phoenix,AZ,85004,,,2024-10-15,100000.00,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202562,,,ORG,Colibri Collective,,,,,,1425 N 1st Street,Suite 100,Phoenix,AZ,85004,,,2024-10-15,100000.00,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202563,,,ORG,Colibri Collective,,,,,,1425 N 1st Street,Suite 100,Phoenix,AZ,85004,,,2024-10-15,7500.00,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202606,,,ORG,Colonial Printing,,,,,,2997 S Howell Ave,,Milwaukee,WI,53207,,,2024-10-10,5930.18,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202716,,,ORG,Committee to Elect Phillip Ramirez,,,,,,625 Silver Ave SW,,Albuquerque,NM,87102,,,2024-10-16,2000.00,,contribution to no-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202572,,,ORG,Community Labor Administrative Services,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-10-07,25844.20,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202570,,,ORG,Heart and Mind LLC,,,,,,2555 Fairfax st,,Denver,CO,80207,,,2024-10-11,3750.00,,Video Production for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202569,,,ORG,J&R Printing,,,,,,638 W Indian School Rd,,Phoenix,AZ,85013,,,2024-10-11,3198.27,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202568,,,ORG,J&R Printing,,,,,,638 W Indian School Rd,,Phoenix,AZ,85013,,,2024-10-15,12119.76,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202653,,,COM,LaTasha D. Mayes for State Representitave,,,,,,PO Box 5482,,Pittsburg,PA,15206,,,2024-10-09,5000.00,,contribution to non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202645,,,PAC,LATEEFAH FOR CONGRESS,,,,,,1714 FRANKLIN ST,#100-438,OAKLAND,CA,94612,G2024,,2024-10-11,1000.00,,Contribution,,,,H4CA12154,SIMON,LATEEFAH,,,,H,CA,12,,,,,,,,
SB29,C00606962,SB29.202650,,,IND,,Leon,Amaris,,,,77 Sands Street,6th Fl,Brooklyn,NY,11201,,,2024-10-10,463.24,,Travel Reimbursement for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202741,,,IND,,Martinez,Claudio,,,,2136 North Prospect Ave,,Milwaukee,WI,53202,,,2024-10-11,300.00,,Graphic Design for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202749,,,ORG,Moxie Media,,,,,,PO Box 30084,,Seattle,WA,98113,,,2024-10-01,5400.00,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202566,,,ORG,Neta Collab LLC,,,,,,564 Saint Johns Place,,New York,NY,19958,,,2024-10-07,50000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202607,,,ORG,Pelican Print,,,,,,3930 Flagstone Ct,,Florissant,MO,63033,,,2024-10-03,23284.59,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202564,,,ORG,Powers Interactive Digital,,,,,,16192 Coastal Highway,,Lewes,DE,19958,,,2024-10-02,47430.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202608,,,ORG,Realco,,,,,,ghtower Rd,,Roswell,GA,30075,,,2024-10-03,1672.71,,Office Rent,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202610,,,ORG,Realco,,,,,,ghtower Rd,,Roswell,GA,30075,,,2024-10-11,2676.34,,rental space,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202612,,,ORG,Red Cypress,,,,,,1456 N Prieur St,,New Prleans,LA,70116,,,2024-10-10,50195.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202542,,,ORG,Red Cypress,,,,,,1456 N Prieur St,,New Prleans,LA,70116,,,2024-10-16,42000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202611,,,ORG,Red Cypress,,,,,,1456 N Prieur St,,New Prleans,LA,70116,,,2024-10-16,899.25,,Digital Ads for Non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202573,,,ORG,Turn it Blue,,,,,,780 Utica Ave,,Coulder,CO,80304,,,2024-10-08,20000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202651,,,COM,Vote Molly Marshall,,,,,,PO Box 48505,,Spokane,WA,32801,,,2024-10-15,1200.00,,contribution to no-federal candidate,,,,,,,,,,,,,,,,,,,,
