form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00676247,SB21B.8371,,,ORG,"Anedot, Inc.",,,,,,4017 Buena Vista St,#109,Dallas,TX,75204,,,2024-03-31,604.62,,CC Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8349,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-02-12,430.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8350,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-02-12,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8354,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-02-20,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8358,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-04,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8359,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-04,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8361,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-11,430.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8362,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-11,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8363,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-11,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8365,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-15,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8369,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,02451,,,2024-03-29,5.00,,E-mail Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8340,,,ORG,Hilton Hotels,,,,,,7930 Jones Branch Dr,,McLean,VA,22102,,,2024-02-02,294.41,,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8328,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-01-17,400.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8333,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-01-24,400.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8338,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-02-01,400.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8343,,,ORG,Lil Havana Cigar Club,,,,,,1355-A Chain Bridge Rd,,McLean,VA,22101,,,2024-02-06,400.00,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8345,,,ORG,Tower Club of Tysons Corner,,,,,,8000 Towers Cresecent Dr,Suite 1700,Tysons,VA,22182,,,2024-02-06,2990.46,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00676247,SB21B.8360,,,ORG,Tower Club of Tysons Corner,,,,,,8000 Towers Cresecent Dr,Suite 1700,Tysons,VA,22182,,,2024-03-07,2990.46,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
