form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00849729,500173384,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-15,133900.00,2024-10-11,24562388.26,Digital Media Buy,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173385,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-15,434600.00,2024-10-11,24562388.26,Digital Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173383,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-15,11332.78,2024-10-15,24562388.26,Digital Media Production Costs,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173388,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-16,17000.00,2024-10-15,24562388.26,Digital Media Buy,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173389,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-16,15633.00,2024-10-16,24562388.26,Digital Media Production Costs,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172757,,,ORG,People First Marketing,,,,,,85 Bedford St,,New York,NY,100143753,G2024,,2024-10-04,2010.00,2024-10-09,24562388.26,Online Content & Production,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172758,,,ORG,Peters Consulting LLC,,,,,,4531 Hollywood Blvd,,Los Angeles,CA,900274355,G2024,,2024-10-04,50.00,2024-10-10,24562388.26,Online Content & Production,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172180,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-01,1439036.68,2024-10-01,24562388.26,Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172184,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-01,479678.89,2024-10-01,24562388.26,Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172635,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-08,1937948.56,2024-10-04,24562388.26,Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172181,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-01,25620.00,2024-10-09,24562388.26,Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173066,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-09,15721.43,2024-10-09,24562388.26,Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173067,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-09,17313.00,2024-10-09,24562388.26,Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173068,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-09,24948.25,2024-10-09,24562388.26,Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173386,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-15,1980080.22,2024-10-11,24562388.26,Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173387,,,ORG,Waterfront Strategies,,,,,,3050 K St NW,Ste 100,Washington,DC,200075161,G2024,,2024-10-16,22448.17,2024-10-16,24562388.26,Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
